,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,4ra1n_super-xray,2022-11-30 10:02:30,a4fcb0f036390e1b779dba5d0756e9926d3777b6,4.0,4.0,3.0,0.0
1,Commit,4ra1n_super-xray,2022-11-30 06:42:31,7a302315806518a7821f9ff1dc1e2f5ead391ff9,15.0,0.0,2.0,0.0
2,Commit,4ra1n_super-xray,2022-11-30 06:36:28,b51b41aa71a0f09111c564399ac25941fe7a5740,4.0,0.0,2.0,0.0
3,Commit,4ra1n_super-xray,2022-11-29 02:16:43,1f21420b00e83c9750393194baf1d4cd3e438719,2.0,30.0,5.0,0.0
4,Commit,4ra1n_super-xray,2022-11-28 07:47:13,4cf20b861181ff9592f30a2c4531b56c3cdaff4f,8.0,6.0,4.0,0.0
5,Commit,4ra1n_super-xray,2022-11-28 07:35:58,d7b2122ae942f029412299950da56e3a0cacc906,12.0,3.0,3.0,0.0
6,Commit,4ra1n_super-xray,2022-11-28 07:01:45,8bcde6691fa66e6c3f8d667415ef6c89735660e4,2.0,2.0,4.0,0.0
7,Commit,4ra1n_super-xray,2022-11-28 07:00:14,76fbb56f8ab2a92c19309efcdb14322d4235e6f9,450.0,7.0,8.0,0.0
8,Commit,4ra1n_super-xray,2022-11-28 03:52:42,99bed2c35c967a01f0ecdaddd0bdc5aaa8950c02,366.0,41.0,13.0,0.0
9,Commit,4ra1n_super-xray,2022-11-28 02:27:58,eee79373394b60701b1f62e205a5e111da885da0,3.0,2.0,3.0,0.0
10,Commit,4ra1n_super-xray,2022-11-27 17:07:47,fe0b0e0477db0021061f08e7c6d6c17c5d5d1cb0,110.0,16.0,8.0,0.0
11,Commit,4ra1n_super-xray,2022-11-26 06:01:08,63433950e9f7a12b7efa62a4303961918040120e,43.0,0.0,4.0,0.0
12,Commit,4ra1n_super-xray,2022-11-25 04:01:04,8b2f015aafddc6542a8c67dbc362890ad2157dc2,2.0,9.0,3.0,0.0
13,Commit,4ra1n_super-xray,2022-11-25 03:48:03,06714674a1a98ebf5fadc65f8e2b9f49c409f93a,40.0,24.0,4.0,0.0
14,Commit,4ra1n_super-xray,2022-11-24 13:25:40,8975f261e5236c95b35dc7eb123c728659f8d15d,1.0,0.0,1.0,0.0
15,Commit,4ra1n_super-xray,2022-11-24 13:21:22,d4ef92f06b4c1fa4e4b3b6bf92c757be869eab46,2.0,2.0,2.0,0.0
16,Commit,4ra1n_super-xray,2022-11-24 13:12:10,7a1dcf51f741cb65d7a542bf3d31e562287a42bd,1.0,1.0,1.0,0.0
17,Commit,4ra1n_super-xray,2022-11-24 13:01:06,a8941b8d2416cd009fe2491160e8d9aea53216c3,54.0,5.0,7.0,0.0
18,Commit,4ra1n_super-xray,2022-11-24 12:45:39,4d0d59663596db03f39d7edd2be251d48b52dcfc,14.0,6.0,4.0,1.0
19,Commit,4ra1n_super-xray,2022-11-24 12:27:41,e6d373892265a739b6062ee3d55ef1dce7dc86ab,19.0,25.0,4.0,0.0
20,Commit,4ra1n_super-xray,2022-11-24 11:44:47,f90277999ce3712b62ddf4335ec090f531430340,20.0,6.0,3.0,0.0
21,Commit,4ra1n_super-xray,2022-11-24 11:33:29,49bc9a1ab07bfbcb3b602915d1e49f74c3b225f2,20.0,7.0,2.0,0.0
22,Commit,4ra1n_super-xray,2022-11-24 10:44:11,2bcd20d7a96b2c39c065c808711357f011867367,55.0,59.0,1.0,0.0
23,Commit,4ra1n_super-xray,2022-11-24 10:32:07,b27f4e502ad0216fd36fb16feb5fbe3b34a88ed9,134.0,27.0,3.0,0.0
24,Commit,4ra1n_super-xray,2022-11-24 06:32:27,bfa3b78e9b7fb322a9f7c91dae25c9e3e8954778,0.0,1.0,1.0,0.0
25,Commit,4ra1n_super-xray,2022-11-24 06:30:14,2738600fb0e979e37ec3f02d483a873e3dedd2ab,0.0,0.0,0.0,0.0
26,Commit,4ra1n_super-xray,2022-11-24 06:27:43,35b7d6fd2b12f3aed369910e7434c606a5c172f0,17.0,20.0,1.0,0.0
27,Commit,4ra1n_super-xray,2022-11-24 06:27:42,22fb626689fcae0ea5419b4072db03e1143e4886,20.0,17.0,1.0,0.0
28,Commit,4ra1n_super-xray,2022-11-24 06:19:47,93b5ed348a1ea494f82651184f201e14fdfb7301,0.0,0.0,0.0,0.0
29,Commit,4ra1n_super-xray,2022-11-24 06:19:24,3beb5c37c0e14b8ba8a2a01a326a445efaa2ccab,27.0,20.0,2.0,0.0
30,Commit,4ra1n_super-xray,2022-11-24 06:19:24,f613d32285ad87903862bf5e0533493327b497cc,53.0,7.0,3.0,0.0
