,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,aaron-junker_usoc,2022-02-10 23:31:55,57c76f107ea67559b9d369fade6e75735fb8a1dc,1.0,1.0,84.0,0.0
1,Commit,aaron-junker_usoc,2022-01-27 13:13:33,b4c74f1c5dc80e62c9622a3ad3e49a788666dd97,1.0,1.0,84.0,0.0
2,Commit,aaron-junker_usoc,2022-01-27 12:53:37,68fe1c091177e79f7aec4e00c33e90aadd71b2f4,1.0,1.0,84.0,0.0
3,Commit,aaron-junker_usoc,2022-01-27 12:48:05,6aefe823b96573f5909fa56b3ead47414f58eeb2,1.0,1.0,84.0,0.0
4,Commit,aaron-junker_usoc,2022-01-27 12:34:09,e4bd65ad3ce3098f302ebe0afd4bdf1ae78250e1,253.0,253.0,210.0,0.0
5,Commit,aaron-junker_usoc,2022-01-27 12:14:52,64b29906f611b6df42722bb6dd7c19176d05d5d9,2515.0,1.0,92.0,0.0
6,Commit,aaron-junker_usoc,2022-01-27 12:09:22,9196c5efce9c536d115d0b3a1cf4c7435c3262f9,1.0,1.0,84.0,0.0
7,Commit,aaron-junker_usoc,2022-01-27 12:06:24,3f9450e336a569e3b70a7459bf6367507db7b3e5,1.0,1.0,84.0,0.0
8,Commit,aaron-junker_usoc,2022-01-22 07:32:06,55f01c712ba27a65511289b2fad534465bfa85b9,1.0,1.0,84.0,0.0
9,Commit,aaron-junker_usoc,2022-01-22 06:52:02,bb0fd8b0bb0576feb1ac4dd2177ca3329a222bb1,43.0,54.0,87.0,0.0
10,Commit,aaron-junker_usoc,2022-01-22 06:51:02,15056fe9533a529c55bdd3bc5f3d52aa52eaa722,0.0,0.0,0.0,0.0
11,Commit,aaron-junker_usoc,2022-01-22 06:50:40,ad5021c680ad539b07186c6a04998b1b8a9105a7,89.0,37.0,3.0,0.0
12,Commit,aaron-junker_usoc,2022-01-09 07:04:41,e1f8d1415c26ccbeaf37f701ee6466551428498a,1.0,1.0,84.0,0.0
13,Commit,aaron-junker_usoc,2022-01-03 16:04:45,1be52f38162dc0a5dec386cab26cbf454371f833,1.0,1.0,84.0,0.0
14,Commit,aaron-junker_usoc,2022-01-03 16:02:25,2e88d65517354df40f48598518be94d02c0e5ab1,1.0,1.0,84.0,0.0
15,Commit,aaron-junker_usoc,2022-01-02 18:05:29,52b0888f907da622d760ab756f755449ca9aafe2,1.0,1.0,84.0,0.0
16,Commit,aaron-junker_usoc,2022-01-02 18:02:52,8d8363d9dc06beb405a8013fd8276b892f1229ed,1.0,1.0,84.0,0.0
17,Commit,aaron-junker_usoc,2022-01-02 17:01:07,325cd3cd3c181728df1a2930a773630c8ed06201,1.0,1.0,84.0,0.0
18,Commit,aaron-junker_usoc,2022-01-02 16:56:59,75b5d7a6fe86aea22d2208e776817e34ae39305b,1.0,1.0,84.0,0.0
19,Commit,aaron-junker_usoc,2022-01-02 16:51:44,315b3a9949bbade8a259606d269c7aee9a3fb4be,1.0,1.0,84.0,0.0
20,Commit,aaron-junker_usoc,2022-01-02 16:47:43,ef9558d610fa91684dd9f452bd1ac3ca4cebb470,1.0,1.0,84.0,0.0
21,Commit,aaron-junker_usoc,2022-01-02 16:44:26,f2eaf9185f51fd75ad52388fd4f45424d0d9be7e,1.0,1.0,84.0,0.0
22,Commit,aaron-junker_usoc,2022-01-02 16:41:39,ee5d243f603e9c5262ec0ddfbf1d17714f11b4ca,1.0,1.0,84.0,0.0
23,Commit,aaron-junker_usoc,2022-01-02 16:40:26,fd790c016b26214f4a389dc4529c8317081a5a36,3.0,7.0,86.0,0.0
24,Commit,aaron-junker_usoc,2022-01-02 16:34:56,9a82f0e2e9322ffde78d8e5c6bf7d0e368b235ff,1.0,1.0,85.0,0.0
25,Commit,aaron-junker_usoc,2022-01-02 16:30:32,781d0579355413fe45f2be34147262a5698c710f,1.0,1.0,85.0,0.0
26,Commit,aaron-junker_usoc,2022-01-02 16:25:05,f391deaa85273811c54d9b0822ea8b5affa36b6f,1.0,1.0,85.0,0.0
27,Commit,aaron-junker_usoc,2022-01-02 16:24:25,5a4eff58b7cf13f466fb3e0b293a20146177c693,1.0,1.0,85.0,0.0
28,Commit,aaron-junker_usoc,2022-01-02 16:21:33,ddc6c8995b32b7c2c778ff6509095f2cf8a89b00,6069.0,14138.0,275.0,0.0
29,Commit,aaron-junker_usoc,2022-01-02 07:35:34,3aa2b7665e9cdbbc8a3e8e424854932dd22383b8,0.0,0.0,0.0,0.0
30,Commit,aaron-junker_usoc,2022-01-02 07:35:09,5020f0b4b1fd23837ef277920c03b37fdeb7dfa9,5.0,4.0,1.0,0.0
31,Commit,aaron-junker_usoc,2022-01-02 06:51:21,38d939435410ff0fb21cb2cae50460a5e403d1d8,32.0,3.0,2.0,0.0
32,Commit,aaron-junker_usoc,2022-01-02 06:31:31,62be3df6f1b5be863b33342e3b97d0291bfb5147,0.0,1032.0,344.0,0.0
33,Commit,aaron-junker_usoc,2022-01-02 06:30:10,dcfe4daebf20669570253e4a788e3280f033b44c,2.0,1.0,1.0,0.0
34,Commit,aaron-junker_usoc,2022-01-02 06:29:40,d8d0b74833a8224c52f1a82d29bb4d636848d1dd,102940.0,0.0,859.0,0.0
35,Commit,aaron-junker_usoc,2022-01-02 06:26:56,c112647b88933db4cbb4d81a19d02a288c29c6c3,723.0,24343.0,33.0,0.0
36,Commit,aaron-junker_usoc,2021-09-12 07:31:17,de4a1cf3c5a155c8764bb33a917edf0f98424f3a,24137.0,157885.0,1220.0,0.0
37,Commit,aaron-junker_usoc,2021-09-01 14:28:36,fb318aadc81203ca8c944bca0f2ba2316e1c70e7,1142664.0,829943.0,25901.0,0.0
38,Commit,aaron-junker_usoc,2021-04-24 10:01:30,006f8bcf1f28f90be59a98d5eba6a6e588d9c40d,2.0,3.0,1.0,0.0
39,Commit,aaron-junker_usoc,2021-04-24 09:55:48,19b19dc78d3759c36cbc9f06c34c9f23195091c0,84.0,34.0,20.0,0.0
40,Commit,aaron-junker_usoc,2021-04-10 08:01:37,9af1cce81a9daa3765b311c0854aca315bf08aad,141.0,159.0,40.0,0.0
41,Commit,aaron-junker_usoc,2021-03-19 16:22:21,c460166b686a6bb50a823c80cb9a6066bf4a54a0,0.0,122452.0,1000.0,0.0
42,Commit,aaron-junker_usoc,2021-03-14 19:10:56,6da02d825aa1c428c15c35c6c66965aa516e7cde,523.0,353.0,10.0,0.0
