,type,name,created_at,Hash,Add,Del,Files,Vuln
536403,PushEvent,ambiot_amb1_arduino,2020-01-08 02:30:29 UTC,,,,,
600102,PushEvent,ambiot_amb1_arduino,2020-01-08 03:17:47 UTC,,,,,
698006,PushEvent,ambiot_amb1_arduino,2020-01-08 11:44:17 UTC,,,,,
716585,PushEvent,ambiot_amb1_arduino,2020-01-08 02:39:34 UTC,,,,,
717119,PushEvent,ambiot_amb1_arduino,2020-01-08 04:10:45 UTC,,,,,
874910,PushEvent,ambiot_amb1_arduino,2020-01-08 03:04:37 UTC,,,,,
1061100,PushEvent,ambiot_amb1_arduino,2020-01-08 07:49:19 UTC,,,,,
2357052,CreateEvent,ambiot_amb1_arduino,2020-01-07 08:37:52 UTC,,,,,
2402889,CreateEvent,ambiot_amb1_arduino,2020-01-08 02:28:49 UTC,,,,,
0,Commit,ambiot_amb1_arduino,2022-05-25 07:35:56,1f6989f03c9191e7e072261767f70291b3d04ec6,2.0,0.0,1.0,0.0
1,Commit,ambiot_amb1_arduino,2022-05-09 10:47:29,9a03d02992fe18125afb83b0ae76a5953c622f2b,402.0,7741.0,69.0,0.0
2,Commit,ambiot_amb1_arduino,2022-03-21 02:29:29,72b41c1b76e13dc1fd0918615cc98b90dc067c03,43.0,43.0,1.0,0.0
3,Commit,ambiot_amb1_arduino,2022-03-21 01:41:45,db1e1f95242aa5b9e8e7684041ac5855589c485f,3.0,4.0,1.0,0.0
4,Commit,ambiot_amb1_arduino,2022-03-17 07:00:36,b93b8064911344e8b8c6b57a33c2a056cd0505e3,95203.0,30240.0,1797.0,0.0
5,Commit,ambiot_amb1_arduino,2021-09-06 18:35:46,b4c0c95b9c6695e5adc0e2b9664999799af851f2,8.0,8.0,3.0,0.0
6,Commit,ambiot_amb1_arduino,2021-08-19 08:50:26,8bdfbb48c469c10737f4464c789aef165588e114,8.0,15.0,30.0,0.0
7,Commit,ambiot_amb1_arduino,2021-08-19 08:27:35,7e42e6b0029f4680e19a841a2cb10610a83b1a65,8.0,15.0,30.0,0.0
8,Commit,ambiot_amb1_arduino,2021-08-10 11:23:56,4eab201b5aa3e150e934cebee4cd09aec8705554,243.0,22.0,12.0,0.0
9,Commit,ambiot_amb1_arduino,2021-06-30 13:00:54,85e7cdea96a7148e4dd3eba45f0029f4b6ffbe6d,8.0,8.0,3.0,0.0
10,Commit,ambiot_amb1_arduino,2021-06-18 07:17:46,fdf7d8f34e223a09d231054922b2f072d117bbe2,15.0,0.0,7.0,0.0
11,Commit,ambiot_amb1_arduino,2021-06-17 08:58:42,be4fccc80a680d7a008a335d77e9106d6934f708,52.0,11.0,32.0,0.0
12,Commit,ambiot_amb1_arduino,2021-02-25 17:41:12,8d7e1efa4db63f79ae3a05f2fa3d59e0a7f5d269,39.0,9.0,33.0,0.0
13,Commit,ambiot_amb1_arduino,2021-02-10 09:40:26,0ab20c57238b79010a1f63b03f37750e9338975a,60.0,0.0,3.0,0.0
14,Commit,ambiot_amb1_arduino,2021-02-03 10:08:58,04fc0402e240b834e2fa1dd9f44647d1e495b972,30.0,0.0,4.0,0.0
15,Commit,ambiot_amb1_arduino,2021-01-20 11:05:47,f9366f82990a863f629459445bcb4843211d458c,45.0,4.0,4.0,0.0
16,Commit,ambiot_amb1_arduino,2021-01-05 07:23:46,a3151077500aa71db2f97089de30feb923d9169e,560162.0,8800.0,1299.0,0.0
17,Commit,ambiot_amb1_arduino,2020-12-14 10:22:53,5fc049ab95e073092ba5e49f6ec1475e5b5c90ba,31.0,1.0,5.0,0.0
18,Commit,ambiot_amb1_arduino,2020-12-03 03:43:12,426236f957bdb6c4ee55cb8230b53fe2ba5dd3db,34.0,4.0,8.0,0.0
19,Commit,ambiot_amb1_arduino,2020-11-19 15:34:20,ccb2d4fd1aa3319b4d4bc32fe5d4f713cfbb85b4,4.0,4.0,5.0,0.0
20,Commit,ambiot_amb1_arduino,2020-04-21 10:23:45,afac3404090c83e5c94e43ce6d1c6fad91a01a17,378.0,953.0,29.0,0.0
21,Commit,ambiot_amb1_arduino,2020-04-01 11:59:50,64be91b3a4fb95f1beb9f14c47f32c252fe80f5c,30.0,0.0,2.0,0.0
22,Commit,ambiot_amb1_arduino,2020-03-03 03:44:45,f7dac71d351dd0a0636a32c8739d10e1dbb82091,51.0,21.0,7.0,0.0
23,Commit,ambiot_amb1_arduino,2020-02-27 08:05:18,fdee07ca982640eede17466da574f189978fe59c,2.0,2.0,1.0,0.0
24,Commit,ambiot_amb1_arduino,2020-02-27 07:38:39,5e22e56f8c5e34bea84ddcc4a05f8ec2468a5a57,2.0,2.0,1.0,0.0
25,Commit,ambiot_amb1_arduino,2020-02-27 07:25:15,0167739375ee9605920130b510e1c6d86547d65d,30.0,0.0,2.0,0.0
