,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,andya_cgi--simple,2010-12-27 14:19:12,636a026387d629969a6d94cf0af9be4f7a12ad8b,4.0,0.0,1.0,0.0
1,Commit,andya_cgi--simple,2010-12-27 14:17:32,aa477fea11c02210dd7024763c753b37eb867a83,1.0,1.0,1.0,0.0
2,Commit,andya_cgi--simple,2010-12-27 13:11:51,b7deba0880d2f3f19af1306240ecea2342a2808f,6.0,6.0,5.0,0.0
3,Commit,andya_cgi--simple,2010-12-27 13:09:35,2c2fefdf539af26a694c5b238cb9e6ea93596a94,56.0,2.0,1.0,0.0
4,Commit,andya_cgi--simple,2010-12-27 12:55:24,2c0f6d297b40aa92c0c3bc0f5494ac89588c38fb,103.0,56.0,6.0,0.0
5,Commit,andya_cgi--simple,2010-12-27 12:51:52,85e5b6c588d9f98165858d45da777409d990acad,4.0,0.0,1.0,0.0
6,Commit,andya_cgi--simple,2010-12-27 12:51:28,bb4be4e58801c90e62845289177803603b538a76,4.0,0.0,1.0,0.0
7,Commit,andya_cgi--simple,2010-12-27 12:47:05,c235bacd54261f918cbbe81de9f0fc9bb370f544,0.0,0.0,0.0,0.0
8,Commit,andya_cgi--simple,2010-12-26 13:25:58,b3c2e3e78164885b9db6ea5f7aa3222da1c95837,6.0,5.0,1.0,0.0
9,Commit,andya_cgi--simple,2010-12-26 11:31:12,5a861280ef524661105e132536ff7d1a9084941f,0.0,0.0,0.0,0.0
10,Commit,andya_cgi--simple,2010-12-26 11:28:55,b4b2f1b03270c8402556bbaf8b3a9c38700c8a66,0.0,1.0,1.0,0.0
11,Commit,andya_cgi--simple,2010-12-26 11:27:06,91c4cad2400328f5b29e1f8377b964e2d271d6ab,0.0,0.0,0.0,0.0
12,Commit,andya_cgi--simple,2010-12-26 05:09:39,0a2df8ab01402a6acf9df2adb8d75d1ac21c73d1,46.0,4.0,3.0,0.0
13,Commit,andya_cgi--simple,2010-12-26 03:34:07,8cb31df8f874e6225d34ce73258f148c226e48be,4.0,3.0,1.0,0.0
14,Commit,andya_cgi--simple,2010-12-26 03:24:40,f47a48ad3e349138be0d7e0e4739894b873e82ba,2.0,1.0,1.0,0.0
15,Commit,andya_cgi--simple,2010-12-26 03:22:22,654464be6a92b174ba5d9737e53088a6d0f24a10,1.0,1.0,1.0,0.0
16,Commit,andya_cgi--simple,2010-12-26 03:05:14,9a469e5c39ed5fc331a475f34fb4d8696b0e4f74,5.0,5.0,1.0,0.0
17,Commit,andya_cgi--simple,2010-12-26 01:30:44,72ca21b1f1eeaedcc2895bd38d758dc591ce7460,9.0,9.0,1.0,0.0
18,Commit,andya_cgi--simple,2010-11-13 13:58:38,675c205f951ba617fa9f1072076b778adb1e5ff6,3.0,1.0,2.0,0.0
19,Commit,andya_cgi--simple,2010-11-13 13:56:37,e4942b871a26c1317a175a91ebb7262eea59b380,15.0,5.0,3.0,1.0
20,Commit,andya_cgi--simple,2010-11-11 00:15:48,11da64d9ba985e3307bc9f6a1fbe44b013a8777a,39.0,19.0,2.0,0.0
21,Commit,andya_cgi--simple,2010-11-11 00:06:54,dbc1cc30f46665534a43f6c889afb7b27126823c,27.0,8.0,3.0,0.0
22,Commit,andya_cgi--simple,2010-04-14 09:24:12,6405b5d548f8f2a8c924ff818016d4f30b9233eb,2.0,1.0,1.0,0.0
23,Commit,andya_cgi--simple,2010-04-14 09:09:40,9afa40b8c72b1cbfd242c04f058c2dc2de663cb3,1.0,1.0,1.0,0.0
24,Commit,andya_cgi--simple,2010-04-14 09:08:43,cf6b53502bf624e54fd848359b3a170643ad8d76,5.0,1.0,2.0,0.0
25,Commit,andya_cgi--simple,2010-04-14 09:08:37,115ee68bd7871cdaf4cf79f1ccdd6c00bd6ffba4,3.0,1.0,3.0,0.0
26,Commit,andya_cgi--simple,2010-04-14 08:58:51,f6a9045c9e56808c4542d4f2fb3726310b1a513b,33.0,23.0,3.0,0.0
27,Commit,andya_cgi--simple,2010-04-14 08:55:52,af1d0780b1f26fb2b5dd02960104c37cf1e44288,2.0,1.0,1.0,0.0
28,Commit,andya_cgi--simple,2010-04-14 08:55:51,e9f6b58ae7718f0b0ffc28e8b791d66f93fcd12a,55.0,1.0,3.0,0.0
29,Commit,andya_cgi--simple,2010-04-14 08:55:50,70ddeca5e281fd97a8911c4e0b762c59da17b199,1.0,1.0,1.0,0.0
30,Commit,andya_cgi--simple,2010-01-19 20:55:57,c1cd6c9e1167063e6c8439892eccb4b1911d9ddd,1.0,0.0,1.0,0.0
31,Commit,andya_cgi--simple,2010-01-17 02:47:15,87d77e57cea951d8df59a6805166d8567d93245e,1.0,1.0,1.0,0.0
32,Commit,andya_cgi--simple,2010-01-17 02:46:21,b20c72fa61b0d1adddd8a293ee384653034eb34d,43.0,0.0,2.0,0.0
33,Commit,andya_cgi--simple,2009-08-20 01:15:10,9da94494ba0e503f3e5c9249e33c8a8637670cd4,4.0,4.0,1.0,0.0
34,Commit,andya_cgi--simple,2009-08-19 00:52:10,3b30023c21f99f7d709434c42b671943ec2cd90f,9.0,3.0,1.0,0.0
35,Commit,andya_cgi--simple,2009-08-18 18:29:17,23c8770ed669bb51a7a4cf4cfa369aedc4a5394f,1.0,1.0,1.0,0.0
36,Commit,andya_cgi--simple,2009-05-31 10:44:16,6ee479f7e13098cfe0f44dcbdf44d313a4d8f8cc,6.0,6.0,5.0,0.0
37,Commit,andya_cgi--simple,2009-05-31 10:41:52,c67482a07daf436318736bd5f7b23ee21d538696,13.0,5.0,3.0,0.0
38,Commit,andya_cgi--simple,2009-05-30 22:29:40,1c360720b70d9dc7ac0ade91b108313d7c4f80c1,2.0,2.0,2.0,0.0
39,Commit,andya_cgi--simple,2009-05-29 19:52:37,a3e4a11fdffa6f17c6ab612c9d6f16d98eba4dcf,8.0,7.0,2.0,0.0
40,Commit,andya_cgi--simple,2009-05-28 18:01:17,4884085183561b92a01b81661cadd4031d4f5419,6.0,6.0,5.0,0.0
41,Commit,andya_cgi--simple,2009-05-28 18:00:08,26dbc9b8e417e744b6029b956b99bd294388f08d,4.0,0.0,1.0,0.0
42,Commit,andya_cgi--simple,2009-05-28 17:43:46,4367922cf6b08294e47427629d8d127f1ea405ee,12.0,45.0,1.0,0.0
43,Commit,andya_cgi--simple,2009-05-28 17:36:27,847ab3b08f57c18aa5fb6347dba495dc83443c11,22.0,18.0,3.0,0.0
44,Commit,andya_cgi--simple,2009-05-28 16:52:36,c1bcbdae23d1b82d044aa6fb70da655d7a0982d3,69.0,101.0,5.0,0.0
45,Commit,andya_cgi--simple,2009-05-24 22:46:01,3e6bf09850fd4168a5d8bcca350fa136cc6e0577,2.0,0.0,1.0,0.0
46,Commit,andya_cgi--simple,2009-05-24 22:44:42,fe67f6a90454c097317039281a0145216d8fc541,45.0,12.0,1.0,0.0
47,Commit,andya_cgi--simple,2009-05-24 21:28:04,dbafa82faa2abd925036e7c10c3fdc30b976f2be,6.0,6.0,5.0,0.0
48,Commit,andya_cgi--simple,2009-05-24 21:24:21,29de765d9a725166b07548255bee02c6917b7862,2.0,1.0,1.0,0.0
49,Commit,andya_cgi--simple,2009-05-24 21:16:23,1f6ccd22ab76b6d4c96140ef1ad7c39abe2450df,16.0,1.0,4.0,0.0
50,Commit,andya_cgi--simple,2009-05-24 20:49:38,8cf8b3a6f18f02cb183239002aa3067e29f07a38,80.0,0.0,1.0,0.0
51,Commit,andya_cgi--simple,2009-05-11 22:07:29,ccd8255f19f99b31ba60e4e8fc3df235ab7e93b9,0.0,0.0,0.0,0.0
52,Commit,andya_cgi--simple,2009-04-16 20:21:02,4d61d2b2ffe5497fcc33fdba3fa587edfc71b4d8,13.0,19.0,2.0,0.0
53,Commit,andya_cgi--simple,2009-04-16 19:37:58,808b50c995451dbd436a1524a73c3d15a0bb2b75,7.0,3.0,1.0,0.0
54,Commit,andya_cgi--simple,2009-04-16 19:22:42,857b44218f049098b3c4f13a7ca712d66b58d9b3,20.0,0.0,3.0,0.0
55,Commit,andya_cgi--simple,2009-04-16 18:01:36,0207f797ce39804961bc0732563ce9132b3362a6,4.0,0.0,2.0,0.0
56,Commit,andya_cgi--simple,2009-04-16 17:57:25,13d75e804261c2015905702c80ee4d49ae9f87ce,6.0,6.0,5.0,0.0
57,Commit,andya_cgi--simple,2009-04-16 17:49:20,4b8817b414c9156ca632636d726cb1108a801067,134.0,75.0,6.0,0.0
58,Commit,andya_cgi--simple,2009-03-13 14:07:03,5bf0815c4df2a3d6a27d5944fbd982d9090fc7fb,0.0,0.0,0.0,0.0
59,Commit,andya_cgi--simple,2009-03-13 14:06:34,5ab934e68b1d9909f9d803cd4e49c1643e67466c,6.0,6.0,5.0,0.0
60,Commit,andya_cgi--simple,2009-03-13 14:05:08,075f5e285b5b6303f03a08588996091e8752a9fb,5.0,86.0,3.0,0.0
