,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,ansible-collections_community.crypto,2022-12-09 22:10:26,664f34f2acd8ee2e3fa307862dadcbc5133fbe4b,1.0,0.0,1.0,0.0
1,Commit,ansible-collections_community.crypto,2022-12-07 18:54:22,eef4df9063bf4412b7339b9fca810d0a394493be,2.0,0.0,1.0,0.0
2,Commit,ansible-collections_community.crypto,2022-11-27 17:55:12,ba9c50c3580e2ac754a20e788adca72c83446d0d,1.0,1.0,1.0,0.0
3,Commit,ansible-collections_community.crypto,2022-11-27 17:15:33,e1e5dfccc195e84fa94114d22d7dc7e4c1c422d5,23.0,3.0,4.0,0.0
4,Commit,ansible-collections_community.crypto,2022-11-27 16:44:19,0b08d6bc525699c95ce17eb8b3416b06ebc45e6d,2.0,0.0,2.0,0.0
5,Commit,ansible-collections_community.crypto,2022-11-26 08:53:59,72ed39a481b176e6436b6626c4d433d657e9269d,10.0,0.0,1.0,0.0
6,Commit,ansible-collections_community.crypto,2022-11-26 08:38:36,d4683d941fb510d4369cccf909841aa0dc10d2aa,74.0,4.0,2.0,0.0
7,Commit,ansible-collections_community.crypto,2022-11-17 11:43:40,f853108d6986958e93b23ada89a35182ff4f1f47,1.0,0.0,1.0,0.0
8,Commit,ansible-collections_community.crypto,2022-11-17 11:41:33,045ff10826c93e83a4194a7cffaa8fa30b749cec,1.0,0.0,1.0,0.0
9,Commit,ansible-collections_community.crypto,2022-11-06 21:31:21,a050250153596de36e83891b63f2f171c86b2b2a,1.0,1.0,1.0,0.0
10,Commit,ansible-collections_community.crypto,2022-11-06 21:02:07,42e27a360dacf9d2d01eb2870c814ccc6dd11f4c,14.0,1.0,3.0,0.0
11,Commit,ansible-collections_community.crypto,2022-11-06 20:13:02,95b9df187f9cbeb9058d6e71222c5b2f14ad2c7d,2.0,1.0,2.0,0.0
12,Commit,ansible-collections_community.crypto,2022-11-02 12:33:30,0c67afb6c39ea1139cd8eeaa5a6ceb7fa128ae69,1.0,1.0,1.0,0.0
13,Commit,ansible-collections_community.crypto,2022-11-02 11:56:08,68b7c0d38c442c223927730a341fe943e3fb0852,33.0,9.0,6.0,0.0
14,Commit,ansible-collections_community.crypto,2022-11-01 18:52:23,9a64347ea64ec389e73636ff669fc08304a7d9e0,1.0,0.0,1.0,0.0
15,Commit,ansible-collections_community.crypto,2022-10-17 20:57:28,f5d98e314884dab8c7f279ae8095361753d8a368,11.0,0.0,1.0,0.0
16,Commit,ansible-collections_community.crypto,2022-10-17 20:47:26,5f9536af06b2bf52ad4fd607765dfb02e12a56b6,1.0,1.0,1.0,0.0
17,Commit,ansible-collections_community.crypto,2022-10-17 20:47:26,7c41b31c3757e3c4813d8ad7575deb23113c076f,2.0,2.0,2.0,0.0
18,Commit,ansible-collections_community.crypto,2022-10-17 20:24:20,a5c43c26f3718e02dd2483263334c5eb73563c75,24.0,3.0,4.0,0.0
19,Commit,ansible-collections_community.crypto,2022-10-17 19:41:04,82aa1480afe83efdfb51c0249ff1778dc2d16e1a,2.0,1.0,2.0,0.0
20,Commit,ansible-collections_community.crypto,2022-09-23 06:06:55,52bc2cb2664cae8d27d1d3832d12b08dc3783396,1.0,1.0,1.0,0.0
21,Commit,ansible-collections_community.crypto,2022-09-23 05:40:12,18502d5250d053275fc7222da3f267b6358b64e1,32.0,5.0,5.0,0.0
22,Commit,ansible-collections_community.crypto,2022-09-23 04:48:26,8ebf1279f9a690c7acd708a859726338f0638c58,1.0,0.0,1.0,0.0
23,Commit,ansible-collections_community.crypto,2022-09-22 04:39:51,19161ae4a015401eacace25fba5084a9ca85aaf0,0.0,1.0,1.0,0.0
24,Commit,ansible-collections_community.crypto,2022-09-19 19:34:32,9e4209b837f37b73717ba348a7ba3b9fed0935af,1.0,1.0,1.0,0.0
25,Commit,ansible-collections_community.crypto,2022-09-19 18:46:26,ed52123206f1781992bd99e18b64b5c4e9c977ec,26.0,7.0,5.0,0.0
26,Commit,ansible-collections_community.crypto,2022-09-19 18:46:13,d10bcd3d6c24b4c07ae7b1b19941072b24ad50f6,1.0,1.0,1.0,0.0
27,Commit,ansible-collections_community.crypto,2022-09-19 18:11:29,45e81a1b0c305af6ec4cb1963b873b46da9d3002,1.0,0.0,1.0,0.0
28,Commit,ansible-collections_community.crypto,2022-08-04 21:24:04,c0bab015a4b2650765a17c9596b68c90a07d99d8,1.0,1.0,1.0,0.0
29,Commit,ansible-collections_community.crypto,2022-08-04 21:06:49,4428daa41190a626ab0b2a198cd3a0c462eed831,25.0,3.0,4.0,0.0
30,Commit,ansible-collections_community.crypto,2022-08-04 20:47:16,f821fa0f2de2521fe18551c7218ab5034b62e4e3,1.0,0.0,1.0,0.0
31,Commit,ansible-collections_community.crypto,2022-07-09 12:11:28,c106638648be04d03c4b236883421fc4d94a22db,1.0,1.0,1.0,0.0
32,Commit,ansible-collections_community.crypto,2022-07-09 11:20:28,4dcbbfba5b18a3ec83203279c935f1299c99c429,35.0,5.0,5.0,0.0
33,Commit,ansible-collections_community.crypto,2022-07-09 11:19:48,036c4c8e6fb5e23e7872c480b041701f5d232a83,1.0,0.0,1.0,0.0
34,Commit,ansible-collections_community.crypto,2022-06-21 10:22:01,9df02aa335d62effda21e16ce0a386ec670f86f5,1.0,1.0,1.0,0.0
35,Commit,ansible-collections_community.crypto,2022-06-21 10:21:46,d60d3fe1cb8c005621a2eb9e437215a597aecea6,2.0,0.0,1.0,0.0
36,Commit,ansible-collections_community.crypto,2022-06-21 10:11:22,a554a588c9d746bc1fd61a47c1bad16ec62aed68,40.0,1.0,3.0,0.0
37,Commit,ansible-collections_community.crypto,2022-06-21 10:09:00,4a1842c00412c596001431c2b45cd93b37aec2b3,0.0,2.0,1.0,0.0
38,Commit,ansible-collections_community.crypto,2022-06-17 07:26:38,39ec2081717cab1a77289fb363fa71d77e07c3d6,2.0,0.0,1.0,0.0
39,Commit,ansible-collections_community.crypto,2022-06-17 07:26:36,899de8227d670ca32a4ea6a65d422d36334be447,1.0,1.0,1.0,0.0
40,Commit,ansible-collections_community.crypto,2022-06-17 06:25:13,5af4a16e57bf6ef03527ec5e901c3ca6c9f81592,32.0,7.0,6.0,0.0
41,Commit,ansible-collections_community.crypto,2022-06-17 06:24:47,fc07de73e35efca53ddecbeb7ffbafd9191e077e,2.0,2.0,3.0,0.0
42,Commit,ansible-collections_community.crypto,2022-06-17 06:24:03,f5ccc1516b382f949ef2d0efd43be62a725488dc,0.0,2.0,1.0,0.0
43,Commit,ansible-collections_community.crypto,2022-06-15 20:16:49,2941bb9bb8c2ac85f8abfd716f379619148addc9,1.0,0.0,1.0,0.0
44,Commit,ansible-collections_community.crypto,2022-06-02 10:52:58,cb77d81f8d3ebe029522458b5794a3ae3cf1818c,2.0,0.0,1.0,0.0
45,Commit,ansible-collections_community.crypto,2022-06-02 10:52:37,b87617945e2b741c6a052ff00b6efba4b18f2ab4,1.0,1.0,1.0,0.0
46,Commit,ansible-collections_community.crypto,2022-06-02 10:28:12,9289ce853461a831f0b5a05c5653710908912fc7,26.0,5.0,5.0,0.0
47,Commit,ansible-collections_community.crypto,2022-06-02 05:49:28,798d12b4990e53f3e400e0c79f4f0642a00e68fd,0.0,2.0,1.0,0.0
48,Commit,ansible-collections_community.crypto,2022-06-02 05:49:16,5146760def2b6d78729a6d0f0005b9119d3b1d14,1.0,1.0,1.0,0.0
49,Commit,ansible-collections_community.crypto,2022-06-02 05:46:42,48649d50b5de1d38fa1de4bd5b507da1f5891d92,2.0,1.0,2.0,0.0
50,Commit,ansible-collections_community.crypto,2022-05-16 11:02:15,40cf8ba2ce15650440874ab3a462be205d9c3d6b,1.0,1.0,1.0,0.0
51,Commit,ansible-collections_community.crypto,2022-05-16 10:27:29,ffc0ab2d4066802af0bf89db6ac419a403bb9e95,22.0,3.0,4.0,0.0
52,Commit,ansible-collections_community.crypto,2022-05-16 05:13:15,4074ff41329fc94d43e4fd73a557e7d4a94e6acd,2.0,1.0,2.0,0.0
53,Commit,ansible-collections_community.crypto,2022-05-09 19:11:07,e7f9885aa3d5a3c6553ad47d2a7f015b8142c1ae,1.0,1.0,1.0,0.0
54,Commit,ansible-collections_community.crypto,2022-05-09 18:53:39,5641e2ac9be4bd7ffe0ccf97063eb60f3fff26cf,81.0,35.0,10.0,0.0
55,Commit,ansible-collections_community.crypto,2022-05-03 17:24:20,43665a389294306990d356601713ebb49220bcbc,1.0,0.0,1.0,0.0
56,Commit,ansible-collections_community.crypto,2022-03-22 12:44:19,9e611a614880a98e43ce1aa7be3ce7c53d89f3ea,1.0,1.0,1.0,0.0
57,Commit,ansible-collections_community.crypto,2022-03-22 12:17:36,025091c3fb6a31921e651aca7d64a4d86ba6bbe9,23.0,5.0,4.0,0.0
58,Commit,ansible-collections_community.crypto,2022-03-22 06:31:54,b0cede823198a74d06280cbef0c93bfd42ba4aab,2.0,1.0,2.0,0.0
59,Commit,ansible-collections_community.crypto,2022-03-04 07:12:32,47d9fad45f98b3356ff1e8bdc31c7a2c643a9870,1.0,1.0,1.0,0.0
60,Commit,ansible-collections_community.crypto,2022-03-04 06:38:44,f82dcbea215508971b1b4a60a6c7afcf80987cc7,23.0,3.0,4.0,0.0
61,Commit,ansible-collections_community.crypto,2022-03-03 20:18:07,67f511b5adab6a6447ccd4fc09e8bd8a73f92bef,2.0,1.0,2.0,0.0
62,Commit,ansible-collections_community.crypto,2022-02-21 21:41:39,2f2c8b57e8e0dcccf026fab99f73330215baa32b,1.0,1.0,1.0,0.0
63,Commit,ansible-collections_community.crypto,2022-02-21 21:11:55,b952b103e29c13d506bbea9eb9e4de12ae974bee,49.0,13.0,7.0,0.0
64,Commit,ansible-collections_community.crypto,2022-02-19 17:55:41,c85659ebfc2f87e90911fe337b01683a3184b2b2,4.0,0.0,1.0,0.0
65,Commit,ansible-collections_community.crypto,2022-02-05 20:51:19,7e92f04c93c4a07920bebf02015a0f8b5450a9dc,1.0,1.0,1.0,0.0
66,Commit,ansible-collections_community.crypto,2022-02-05 20:28:47,8a74b3e259143f10b0f681205e05a11f803f70d3,24.0,6.0,4.0,0.0
67,Commit,ansible-collections_community.crypto,2022-02-05 19:18:32,a9fcd584e9d6182380cab34b96c325b51f621f20,2.0,1.0,2.0,0.0
68,Commit,ansible-collections_community.crypto,2022-02-01 05:25:49,12749088a0501193ee3be839de3dfbd7e28c2dd4,1.0,1.0,1.0,0.0
69,Commit,ansible-collections_community.crypto,2022-02-01 04:49:27,90da2333417444dddb2505169c171ecc379c0a12,33.0,6.0,5.0,0.0
70,Commit,ansible-collections_community.crypto,2022-01-31 05:02:48,9faed1dad013e1c34244c8fb791e26a504f2dabf,1.0,0.0,1.0,0.0
71,Commit,ansible-collections_community.crypto,2022-01-10 22:03:02,9dfdaaf47152f1d9bf063a3310294543efe89369,1.0,1.0,1.0,0.0
72,Commit,ansible-collections_community.crypto,2022-01-10 21:48:03,950d1d072f7490bbd4a3e108ac38fe8e01d43847,52.0,8.0,6.0,0.0
73,Commit,ansible-collections_community.crypto,2022-01-10 20:03:19,cb14e73c616ef9037c779a9a3448db36e42612e3,1.0,0.0,1.0,0.0
74,Commit,ansible-collections_community.crypto,2021-12-20 19:37:59,11c3974b0fddacd856e262ccf32f2537ecd9afb9,1.0,1.0,1.0,0.0
75,Commit,ansible-collections_community.crypto,2021-12-20 19:20:32,605cf2631e0df0fa2ce410503e5973e7d483a735,14.0,1.0,3.0,0.0
76,Commit,ansible-collections_community.crypto,2021-12-20 19:15:27,ee196fd8a34d418782b877e145b0605a258dc0bf,2.0,1.0,2.0,0.0
77,Commit,ansible-collections_community.crypto,2021-11-22 11:19:10,5b1816719f69a84a554228033da5026a267d6e13,1.0,1.0,1.0,0.0
78,Commit,ansible-collections_community.crypto,2021-11-22 10:41:56,bd2270fb05bafee4409fbb1caed34f3cf3da575c,52.0,11.0,8.0,0.0
79,Commit,ansible-collections_community.crypto,2021-11-22 06:41:39,f832c0a4acef746aa9390c5bd39632e8f704d30d,1.0,1.0,1.0,0.0
