,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,avar_plack,2012-09-03 22:13:53,9c47fb35044fac7ee1f82f085cadf11ef58603bd,0.0,0.0,0.0,0.0
1,Commit,avar_plack,2012-09-03 22:11:15,a1097b6dcbd771544fe0e450d035bc5d9f389ec5,34.0,34.0,1.0,0.0
2,Commit,avar_plack,2012-09-03 22:09:03,da10dd8d9646f7a36d4cc15ac8ea37c5a66604ba,4.0,0.0,1.0,0.0
3,Commit,avar_plack,2012-08-29 20:47:54,f5204d7396d9f69d375259d5f43ab126f4575197,9.0,3.0,4.0,0.0
4,Commit,avar_plack,2012-08-29 20:41:26,07f70b139461612bf248b62575dfa9906db621cc,12.0,2.0,2.0,0.0
5,Commit,avar_plack,2012-08-19 07:53:38,9486b8bce3d32dfafe976b49f18b785868e1df20,1.0,1.0,1.0,0.0
6,Commit,avar_plack,2012-08-15 23:13:52,5b5624184293d98d048aca00d6b1f6e5f854b65d,1.0,1.0,1.0,0.0
7,Commit,avar_plack,2012-08-15 23:11:20,c70f72d2d4f8ab5c1b348c87f56dcd8eb6fd12a6,0.0,0.0,0.0,0.0
8,Commit,avar_plack,2012-08-15 11:58:57,ab6f9f0981a9c0de475fd2c672b2e348041b4df7,11.0,1.0,1.0,0.0
9,Commit,avar_plack,2012-08-14 00:08:54,53f0f908d20a7830350272b3bb2b47bdf750c9e9,16.0,3.0,4.0,0.0
10,Commit,avar_plack,2012-08-14 00:00:31,09e203453b64bdd72f47fbb62422d266fbc2958f,15.0,5.0,2.0,0.0
11,Commit,avar_plack,2012-08-13 23:51:58,7f851c7f786d141806a63695c522aa05c73fd188,0.0,3.0,2.0,0.0
12,Commit,avar_plack,2012-08-13 23:51:00,6d10096281bd17c195ab8194507342d4e57d0aed,0.0,0.0,0.0,0.0
13,Commit,avar_plack,2012-08-13 23:49:52,931e92116330d028b1a20e771f38221df55b25d2,7.0,0.0,1.0,0.0
14,Commit,avar_plack,2012-08-13 23:47:26,2a84ce393392576219d89c7a8721450487978418,1.0,1.0,1.0,0.0
15,Commit,avar_plack,2012-08-13 23:44:18,7adc98f086ce4ae2d09cda598a0181f5c16c44cd,0.0,0.0,0.0,0.0
16,Commit,avar_plack,2012-08-13 23:43:57,3a49ce6894acd5f8cac9bba50e3683a68181af37,5.0,2.0,1.0,0.0
17,Commit,avar_plack,2012-08-13 23:40:13,2aad8f9b6ee14851dae4a09973e9a7bd93bdbec3,0.0,0.0,0.0,0.0
18,Commit,avar_plack,2012-08-13 21:33:44,be119992bdb00ea5b1db0bdba6530bba7244b03f,0.0,0.0,0.0,0.0
19,Commit,avar_plack,2012-08-13 20:57:04,5f9c372480619f84ccbe80293d38703e8a0fda74,19.0,3.0,2.0,0.0
20,Commit,avar_plack,2012-08-12 23:28:46,9b7b2feab800d0b80f7f787ac00f0c2e9ddf3303,0.0,0.0,0.0,0.0
21,Commit,avar_plack,2012-08-12 23:27:06,91f4fe2acdf96f5963f0475dbb0578f29c521e6c,1.0,1.0,1.0,0.0
22,Commit,avar_plack,2012-08-11 15:28:04,6a56ba323de998358ccd9941a473e80dae3d6202,58.0,51.0,10.0,0.0
23,Commit,avar_plack,2012-08-06 02:03:32,30181dd20128fa3c71a78ff45f7f34947d89ebf2,2.0,2.0,2.0,0.0
24,Commit,avar_plack,2012-07-26 23:27:28,ea7c0cf18a9f2ab6ef452d5f20a8cf30d06153a8,16.0,14.0,5.0,0.0
25,Commit,avar_plack,2012-07-26 19:16:51,84dd5e0f0a687d8b5e63913e73066eb6ad309b45,2.0,1.0,1.0,0.0
26,Commit,avar_plack,2012-07-26 19:14:09,e6708eafdbfbf9e91bd0d22aa36989e16f09f74c,0.0,7.0,1.0,0.0
27,Commit,avar_plack,2012-07-26 19:13:35,d8e05b31b4f24a789b8be4cb291cd62db1b26684,0.0,7.0,1.0,0.0
