,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,barrykooij_related-posts-for-wp,2022-10-13 18:48:44,dd6edf94d00bc8dbeb44f0d13e4aa93c013d3467,4.0,4.0,4.0,0.0
1,Commit,barrykooij_related-posts-for-wp,2022-10-13 18:47:46,a933ccd7629711001fb28c3092a273c20cc5e8b9,3.0,0.0,1.0,0.0
2,Commit,barrykooij_related-posts-for-wp,2022-10-13 12:33:29,37733398dd88863fc0bdb3d6d378598429fd0b81,4.0,4.0,1.0,1.0
3,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:13:54,3f8d40d25bd4430174648249e42b50d358104c9e,4.0,4.0,4.0,0.0
4,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:08:23,f25deaf2235dc91dd701f6123550f02183246b09,3.0,2.0,1.0,0.0
5,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:08:04,6c0c20bcb768fcd9dd009597399b2ebcba7027da,1.0,1.0,1.0,0.0
6,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:04:16,066163a57f283706b3889c88443c66c8ef843b50,1.0,1.0,1.0,0.0
7,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:03:06,5b4eaeaa9ef0b1c8bd2cf43d406153828f835c99,2.0,2.0,1.0,0.0
8,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:00:34,238071fcc9136187a890b6b4b732f5f3e9fffdd0,5.0,0.0,1.0,0.0
9,Commit,barrykooij_related-posts-for-wp,2022-10-01 12:00:20,80abd01375fdde47892eb3f2c104540a5e1f5891,10.0,5.0,1.0,0.0
10,Commit,barrykooij_related-posts-for-wp,2022-10-01 11:39:58,8ee056c8410a274a269f53169e53115ea0433261,2.0,2.0,1.0,0.0
11,Commit,barrykooij_related-posts-for-wp,2022-10-01 11:35:49,269e0a4a5e4528a265e31f34ce6cfe1315cb8cc7,4.0,4.0,1.0,0.0
12,Commit,barrykooij_related-posts-for-wp,2022-09-17 09:56:59,a6fb4dc1158fc7a80dae0c25f038df5b4ba458f3,5.0,5.0,4.0,0.0
13,Commit,barrykooij_related-posts-for-wp,2022-09-17 09:55:20,2c6763980087869aad8e980cb44e4170c155278e,6.0,6.0,1.0,0.0
14,Commit,barrykooij_related-posts-for-wp,2022-09-17 09:54:51,25df880e0036f195d90336d0996a13322c8a05f5,9.0,0.0,1.0,0.0
