,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,bpmn-io_min-dash,2022-11-30 17:08:43,9822cc49c890c2f952b375eae52c06ffbc0a1362,70.0,363.0,2.0,0.0
1,Commit,bpmn-io_min-dash,2022-11-30 17:08:08,467e4f62cbbca97b48f21ae6c9bb88d28ed19f15,252.0,3759.0,2.0,0.0
2,Commit,bpmn-io_min-dash,2022-09-15 10:09:20,6a4ca14aff9dc86389aa7bd22003768fb20dceb0,11.0,9.0,4.0,0.0
3,Commit,bpmn-io_min-dash,2022-09-14 09:23:18,88f3b79d40269a3585de981a72c2ff762f5e049f,3.0,3.0,2.0,0.0
4,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,ce42d7b16c7b515a80ceb10648e65748eb478d4d,1.0,1.0,1.0,0.0
5,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,c97576a3ccc932e26a02e13b120a9da3e1e6e8d8,1.0,1.0,1.0,0.0
6,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,d5f9b92639ec51ea2c4590b174179c44362f68d5,1.0,1.0,1.0,0.0
7,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,2ee005de98b3482b9c7843843e7cd0c8077284dc,4598.0,8113.0,13.0,0.0
8,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,ffc44968d6b2021e560492af965b481f7239b56f,1.0,1.0,1.0,0.0
9,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,be76399c32887c0cdb692df20d1343d165c5d351,8.0,0.0,1.0,0.0
10,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,1bbb2c56b98c08ee56274dca7be6e726e334ed36,5490.0,7793.0,8.0,0.0
11,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,7582e48a24dacaad0f56611443e5fcb0421cf353,3.0,9.0,2.0,0.0
12,Commit,bpmn-io_min-dash,2022-09-14 07:49:41,ace204d090691bbace5b3aecd63f900c8c10271f,10205.0,12.0,1.0,0.0
13,Commit,bpmn-io_min-dash,2022-01-17 12:06:44,df745fdb6ed6861a3cf58e29208d5554786765f6,2.0,2.0,2.0,0.0
14,Commit,bpmn-io_min-dash,2022-01-17 12:04:47,67cd32dd024f0af36ca11ee5b42d97810bfb91be,4.0,0.0,1.0,0.0
