,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,bustle_mobiledoc-kit,2022-09-08 14:20:49,8b7e1c9b6ba722ae15e937a46dc7c95d55b9bc0b,21.0,17.0,2.0,0.0
1,Commit,bustle_mobiledoc-kit,2022-09-06 15:33:10,ae74ce9342884ef8d09a7c49116b81a7b08fc520,3.0,2.0,1.0,0.0
2,Commit,bustle_mobiledoc-kit,2022-09-01 14:35:26,3b235bcd35098037aa512c6239647b816dcd13e2,16.0,5.0,3.0,0.0
3,Commit,bustle_mobiledoc-kit,2022-08-31 22:31:22,4b225fa607444cf41d92095409f34489e8ef749d,85.0,60.0,4.0,0.0
4,Commit,bustle_mobiledoc-kit,2022-08-31 14:25:40,c3a6523615f4eb230591c1376be80d9f785eca7c,51.0,15.0,2.0,0.0
5,Commit,bustle_mobiledoc-kit,2022-08-22 12:24:35,3d5048bf378db0e71e2e5ed4ee4c855dfc3079b8,29.0,19.0,4.0,0.0
6,Commit,bustle_mobiledoc-kit,2022-08-18 14:50:50,612d315a77e0fe8fb8d839725845515cfd38ff22,58.0,16.0,3.0,0.0
7,Commit,bustle_mobiledoc-kit,2022-08-12 13:26:29,c2df73e7a3ea1784ca9f836c3f16b39d4545eaac,366.0,284.0,3.0,0.0
8,Commit,bustle_mobiledoc-kit,2022-08-11 16:26:56,1b44ca15cbb7f549c5f78f4d9bf9c1ddd6ee55b7,14.0,3.0,3.0,0.0
9,Commit,bustle_mobiledoc-kit,2022-08-11 13:51:12,87a046fb02dd5b35811ed9c354f9489d3572faea,16942.0,4175.0,3.0,0.0
10,Commit,bustle_mobiledoc-kit,2022-05-25 21:13:06,5fc54ab323cb5da7ce1b03a702a0f86b676d823d,9.0,1.0,2.0,0.0
11,Commit,bustle_mobiledoc-kit,2022-05-25 21:10:18,81790bb9e82fd45eea081bf53be1fc7d90a7b090,0.0,0.0,0.0,0.0
12,Commit,bustle_mobiledoc-kit,2022-05-19 13:27:56,e1adb0c4e3c2fd29776d5459854f928df456b9a6,357.0,398.0,2.0,0.0
13,Commit,bustle_mobiledoc-kit,2022-05-19 13:12:47,7768fa5625274c03c2a62bd284d696951c5bcd19,37.0,0.0,4.0,0.0
14,Commit,bustle_mobiledoc-kit,2021-09-23 16:12:52,33cbf1db2b3d3c8eebf8921d94ddce27240b6cfe,11.0,1.0,2.0,0.0
15,Commit,bustle_mobiledoc-kit,2021-09-22 18:25:44,2121de66adea693ad26cfe9f108f439f5a104589,4.0,2.0,1.0,0.0
16,Commit,bustle_mobiledoc-kit,2020-11-06 13:35:54,e8454e3ef0cc1ea9923043cd92645301a0c81fde,8.0,1.0,2.0,0.0
17,Commit,bustle_mobiledoc-kit,2020-10-07 12:54:07,49238cd3046dd967144af4ffc9190cf6b91c7603,20.0,1.0,2.0,0.0
18,Commit,bustle_mobiledoc-kit,2020-07-08 08:08:36,12c997328c31b4d797e280320e1d6331fb9ff3c7,4.0,6.0,2.0,0.0
