,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,codecov_codecov-python,2020-05-22 17:03:52,098c82bf13bc68b15413eeb83337a5505a0f06fc,1.0,1.0,1.0,0.0
1,Commit,codecov_codecov-python,2020-05-22 16:56:01,08b098829820e9e19900dd54b461d3c16b5e6d29,0.0,8.0,1.0,0.0
2,Commit,codecov_codecov-python,2020-05-22 16:39:06,9d43fb49590451744724752aed66bd2143b67b1c,1.0,1.0,1.0,0.0
3,Commit,codecov_codecov-python,2020-05-22 16:31:06,ad9e538589e6acda2378413e59087358234b2cdf,1.0,1.0,1.0,0.0
4,Commit,codecov_codecov-python,2020-05-22 16:23:02,7d705be5a30958ba9c22de141f002dc2d98e8439,1.0,1.0,1.0,0.0
5,Commit,codecov_codecov-python,2020-05-22 15:57:46,e7c339ca3b6db8acb8362a309f6e4f54289e03e7,1.0,1.0,1.0,0.0
6,Commit,codecov_codecov-python,2020-05-22 15:56:21,c85765c38a3b71b63c66075d734bd27ae3186c32,0.0,0.0,0.0,0.0
7,Commit,codecov_codecov-python,2020-05-22 15:55:11,8c616eb81c37205d61d1d81eabe9caeada618c80,9.0,5.0,3.0,0.0
8,Commit,codecov_codecov-python,2020-05-22 15:53:08,30444067e790ab4727df2f31be8b7526250e777f,6.0,2.0,3.0,0.0
9,Commit,codecov_codecov-python,2020-05-22 14:56:41,9a329b996079c9907a1749521dd34fb1affe2ec0,2.0,2.0,2.0,0.0
10,Commit,codecov_codecov-python,2020-05-22 14:55:33,4caf9ecc59e5d49b8479e9a42f3638dd78ebb9d0,1.0,1.0,1.0,0.0
11,Commit,codecov_codecov-python,2020-05-22 14:53:37,5324ae48c8a2e9fa6dfed77caf90994a8afc2804,47.0,33.0,8.0,0.0
12,Commit,codecov_codecov-python,2020-05-21 14:59:02,6a8d72214f8c83d19537feb18efd68bb1f5ec6af,28.0,12.0,2.0,0.0
13,Commit,codecov_codecov-python,2020-05-21 14:25:43,65d596e454d7a24fd0114418d1f13e6e5f66f0ee,33.0,23.0,1.0,0.0
14,Commit,codecov_codecov-python,2020-05-18 16:45:21,dd16c654582e28613789882d1568a7e249ffdbf0,8.0,10.0,1.0,0.0
15,Commit,codecov_codecov-python,2020-05-18 12:38:22,1caf8366faefdbc031cf8da6e0821b364caefcdc,1.0,4.0,1.0,0.0
16,Commit,codecov_codecov-python,2020-05-18 04:51:00,0b17575077b7067d2e49ca031d275745c08363ca,1329.0,884.0,4.0,0.0
17,Commit,codecov_codecov-python,2020-03-17 20:28:12,bc18afda1a6cc41d3eebaff097ff6142c5a7ca7d,12.0,4.0,1.0,0.0
18,Commit,codecov_codecov-python,2020-03-17 19:25:42,93c990310fd5abab0649430759b7a24ad64ef839,8.0,4.0,3.0,0.0
19,Commit,codecov_codecov-python,2020-03-17 19:15:48,3ad07c2353a917687bf04f951986c206a0ff1a11,6.0,2.0,3.0,0.0
20,Commit,codecov_codecov-python,2020-03-17 19:10:23,47c8206551f2f2e25396b9da17b77bc2117ef507,1.0,1.0,1.0,0.0
21,Commit,codecov_codecov-python,2020-03-17 18:59:38,38f2303e37f3dd65f27e9821eb692d889f40c3dd,1.0,1.0,1.0,0.0
22,Commit,codecov_codecov-python,2020-03-17 18:57:15,95d0c545544febfa5066a4b05eb22ecfdc4b2aa3,1.0,1.0,1.0,0.0
23,Commit,codecov_codecov-python,2020-03-17 18:56:11,7d782f3f716996951c2340eb49c5d2f3d57e09b1,10.0,2.0,3.0,0.0
24,Commit,codecov_codecov-python,2020-03-17 18:51:35,213b8f187e4872f70826f3f5a5329a41ebbcdc73,2.0,1.0,1.0,0.0
25,Commit,codecov_codecov-python,2020-03-17 18:17:15,b0e060e39065290acb6e119938a1436f11475f95,2.0,2.0,2.0,0.0
26,Commit,codecov_codecov-python,2020-03-17 18:06:57,2a1e0c8bd1bf84db42344f6ec091e963755a32e0,6.0,4.0,1.0,0.0
27,Commit,codecov_codecov-python,2020-03-17 14:33:31,c8622a40c5026f9dad12183d2b0e4e81f2e27045,4.0,3.0,1.0,0.0
28,Commit,codecov_codecov-python,2020-03-13 13:11:26,0fdc00a9227b044c420e4917cec2d81ffb2840dd,4.0,4.0,1.0,0.0
29,Commit,codecov_codecov-python,2020-03-11 14:33:35,6fe18b3d2ec35f4201b887d3f3932ef519908d7b,71.0,37.0,2.0,0.0
30,Commit,codecov_codecov-python,2020-03-11 14:10:06,cb647931255bed37440c3562624857077ac347c5,3.0,2.0,1.0,0.0
31,Commit,codecov_codecov-python,2020-03-11 14:02:17,8dd5720b8e9b8514fe91e2a01207e9264cfdd339,1.0,3.0,1.0,0.0
32,Commit,codecov_codecov-python,2020-03-11 13:59:49,6b74ecf3c7ce6dcbb80e11fd3709a40178d60012,3.0,0.0,1.0,0.0
33,Commit,codecov_codecov-python,2020-03-11 13:56:20,6cd43174832a97f57b31c0cd2df79ff724c3a59a,1.0,2.0,1.0,0.0
34,Commit,codecov_codecov-python,2020-03-11 13:40:14,9f50cca7e5c5e0bb5e2859db238da08e3195e105,162.0,70.0,3.0,0.0
35,Commit,codecov_codecov-python,2020-02-24 18:26:08,3a8b06b2c7de69bfa6a7fa8eb2517df558b39342,4.0,1.0,2.0,0.0
36,Commit,codecov_codecov-python,2020-02-19 14:36:10,2a80aa434f74feb31242b6f213b75ce63ae97902,10.0,3.0,2.0,1.0
37,Commit,codecov_codecov-python,2019-03-04 16:24:29,6ad9b73bbf7f8b6d27df8b898986b878760157fe,0.0,1.0,1.0,0.0
38,Commit,codecov_codecov-python,2019-03-04 16:24:10,a4d620be54e68ec7b63f5f4e2ef915f62f1c294e,6.0,6.0,2.0,0.0
39,Commit,codecov_codecov-python,2019-03-04 16:15:45,684ab7f8a3d99b671826ce87b2bf2618f9ece338,2.0,2.0,2.0,0.0
40,Commit,codecov_codecov-python,2019-03-04 16:08:57,71735221a19cac9cc5f76f5e28df528866e753d6,5.0,17.0,5.0,0.0
41,Commit,codecov_codecov-python,2019-03-04 16:08:57,cf4d43c853c2f2dc542736c3fde5bb8da718cdb5,3.0,1.0,1.0,0.0
42,Commit,codecov_codecov-python,2019-03-04 16:08:57,976e9d595dc1fb516d1e006fe835e3f57e31637c,1.0,0.0,1.0,0.0
43,Commit,codecov_codecov-python,2019-03-04 16:08:57,bd4822464a92158425ebfa17ed130bc685ebac8d,6.0,0.0,2.0,0.0
44,Commit,codecov_codecov-python,2019-03-04 16:08:57,4b111c8bf5f6b358b6a4b5b0d53000be372779f9,2.0,2.0,2.0,0.0
45,Commit,codecov_codecov-python,2019-03-04 15:50:41,8d48369bc6229f6c40a0eaa3f096b21e8ee5cdfc,1.0,2.0,1.0,0.0
46,Commit,codecov_codecov-python,2019-01-23 04:47:32,483b9a4331aa03d0eb43ad6ad5b05b984ffdc5b3,16.0,14.0,1.0,0.0
47,Commit,codecov_codecov-python,2019-01-23 04:24:02,b6b52828f82c1f7dd8ab676116ad6d42b94b2516,1.0,2.0,2.0,0.0
48,Commit,codecov_codecov-python,2019-01-22 22:52:20,9b24833a51e30dc9b3dcf70637fafa9294f4865a,4.0,1.0,3.0,0.0
49,Commit,codecov_codecov-python,2019-01-22 22:22:18,939643497009251bb1f768537eee5a2ce551d2f9,1.0,1.0,1.0,0.0
50,Commit,codecov_codecov-python,2019-01-19 17:44:59,ad4cc424e354661b3569ae87bc64e998bda4be0a,1.0,1.0,1.0,0.0
51,Commit,codecov_codecov-python,2019-01-19 17:37:10,a6f411280df50f0f3e715bb858105d9e830e7f25,1.0,1.0,1.0,0.0
52,Commit,codecov_codecov-python,2018-01-29 15:52:17,0743daa83647f12ff31b84d07113d2c24c27b924,5.0,2.0,3.0,0.0
53,Commit,codecov_codecov-python,2018-01-29 15:51:22,6591da4924850a61667993e4cd9c0c01a3e1d015,45.0,40.0,1.0,0.0
54,Commit,codecov_codecov-python,2018-01-22 11:41:07,0452255b1080186b8c4d8e8fc2ff4f0d560bb674,13.0,0.0,2.0,0.0
55,Commit,codecov_codecov-python,2018-01-18 09:22:58,15a6b154bfc4c75d2d8bafdfe57f6628cc95b372,7.0,4.0,3.0,0.0
56,Commit,codecov_codecov-python,2018-01-08 10:57:15,c30509bdb740f59018c831576860ee93c842c788,5.0,2.0,3.0,0.0
57,Commit,codecov_codecov-python,2018-01-07 16:24:25,81b9518c9feff2746f961b5ddb9b63e58587727d,7.0,1.0,1.0,0.0
58,Commit,codecov_codecov-python,2018-01-07 16:24:20,8bd19f63634a590603dd7bcd26c7f1f1fb205baf,19.0,1.0,1.0,0.0
59,Commit,codecov_codecov-python,2018-01-07 16:24:13,bc28818b253d6966e64a84a783bd86aaf8eb1d67,5.0,1.0,1.0,0.0
60,Commit,codecov_codecov-python,2018-01-05 11:05:14,1d77b8f592a24ea1e6a4ab4c9010b3e2cacdb035,5.0,2.0,3.0,0.0
