,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,cog-creators_red-dashboard,2021-02-05 18:43:59,9dcf17e9546278416d5091c6364d7babd5318e1c,4.0,2.0,1.0,0.0
1,Commit,cog-creators_red-dashboard,2021-02-05 18:43:59,6ab390534e208ed0b39b41ac2263fca20bed56e2,1.0,0.0,1.0,0.0
2,Commit,cog-creators_red-dashboard,2021-02-05 18:43:59,da8e50f0b296411992e96efae9550f98487b4047,28.0,0.0,1.0,0.0
3,Commit,cog-creators_red-dashboard,2021-01-23 21:58:15,0566448a249517a16e60d92d510b09ad383ea724,0.0,3.0,1.0,0.0
4,Commit,cog-creators_red-dashboard,2021-01-23 21:39:02,4136368830391eb209dc7102c08489d95ac984e1,5.0,5.0,4.0,0.0
5,Commit,cog-creators_red-dashboard,2021-01-23 21:36:50,fd7797716c580aecffd356d613a7eda696b08709,721.0,707.0,33.0,0.0
6,Commit,cog-creators_red-dashboard,2020-12-02 14:38:49,c1b3bac534782f356bf183f475ba7a2b063f80db,17.0,5.0,1.0,0.0
7,Commit,cog-creators_red-dashboard,2020-12-02 13:46:58,52a8041c6801424a248cf080c44affe10ba91dbe,66.0,42.0,5.0,0.0
8,Commit,cog-creators_red-dashboard,2020-12-01 14:35:40,7989e5775f3f4a15416b11480f994488e23fe0ca,1.0,1.0,1.0,0.0
9,Commit,cog-creators_red-dashboard,2020-12-01 14:28:20,79e1ea82eab06250139657bbf9c2caed61a96178,2.0,0.0,1.0,0.0
10,Commit,cog-creators_red-dashboard,2020-12-01 14:15:49,a6b9785338003ec87fb75305e7d1cc2d40c7ab91,41.0,16.0,1.0,1.0
11,Commit,cog-creators_red-dashboard,2020-11-30 12:27:08,261f00f52bbfee4db67f624fd7409bf08124a6c4,25.0,17.0,5.0,0.0
12,Commit,cog-creators_red-dashboard,2020-11-30 11:49:18,99d88b840674674166ce005b784ae8e31e955ab1,6.0,2.0,1.0,1.0
13,Commit,cog-creators_red-dashboard,2020-10-05 16:04:54,14615852163036c1ea3ef6c237d04b3f1b2cc692,2.0,2.0,2.0,0.0
14,Commit,cog-creators_red-dashboard,2020-10-05 16:00:12,ba8af60a8d509d543f2dde858f2283a3ce48f7f8,6.0,9.0,1.0,0.0
15,Commit,cog-creators_red-dashboard,2020-10-05 15:50:04,426b8324b6070871c49af0a8bbc6e6ba4b418f9a,9.0,1.0,1.0,0.0
16,Commit,cog-creators_red-dashboard,2020-09-13 01:54:14,8250fe3885b1616835e279e3d93582ae22bf03df,2.0,2.0,2.0,0.0
17,Commit,cog-creators_red-dashboard,2020-09-13 01:37:53,50b47e5d042dbca95b486d186f84916530a668f8,2.0,2.0,2.0,0.0
18,Commit,cog-creators_red-dashboard,2020-09-13 01:20:08,88fd266a1f66e92986df2fc958e54c71b29fd976,4.0,4.0,2.0,0.0
19,Commit,cog-creators_red-dashboard,2020-09-13 01:11:30,b16e1371d9baa88438904dabd9defe7513e0d87e,102.0,148.0,11.0,0.0
20,Commit,cog-creators_red-dashboard,2020-08-07 13:35:26,83f12e7390315b0cf6711ed90cc8c14d091790e5,147.0,29.0,12.0,0.0
21,Commit,cog-creators_red-dashboard,2020-07-29 15:38:50,32c1d45f31cb0b800e556291f94db076d2c74a0f,1.0,1.0,1.0,0.0
22,Commit,cog-creators_red-dashboard,2020-07-29 15:35:13,6dba5a24740ada984f9d8689250db50f03deec63,67.0,96.0,13.0,0.0
23,Commit,cog-creators_red-dashboard,2020-07-20 22:17:11,855b468e0ee61be67e71be276409301ee7d6a3a0,4.0,4.0,2.0,0.0
24,Commit,cog-creators_red-dashboard,2020-07-20 22:05:35,3651a46b1a28de04a8d30ad81087f54398a61c25,7.0,15.0,1.0,0.0
25,Commit,cog-creators_red-dashboard,2020-07-20 21:24:17,cd26b5e08faf807c5a79743b0e2cb191453feac3,33.0,876.0,4.0,0.0
26,Commit,cog-creators_red-dashboard,2020-07-20 21:12:27,0fb3708123fd1722e26aeb2f9182c750e4ee8e56,6.0,1.0,1.0,0.0
27,Commit,cog-creators_red-dashboard,2020-07-20 20:55:38,231d974f85c9712d70b5cbdcc728fa1dc733af17,1.0,1.0,1.0,0.0
28,Commit,cog-creators_red-dashboard,2020-07-20 20:52:40,b715230240dd069feda532467576ab9240a006ff,843.0,3.0,2.0,0.0
29,Commit,cog-creators_red-dashboard,2020-07-20 20:49:35,c2e0527399a5ae0ccff4308369c6c9562a9ef343,3.0,0.0,1.0,0.0
30,Commit,cog-creators_red-dashboard,2020-07-20 20:41:05,17e5cfe9e279bce99ba7613b408d3b1b0170eeb5,74.0,27826.0,36.0,0.0
31,Commit,cog-creators_red-dashboard,2020-07-19 20:45:44,63000ab6e7ed5d9ee3eb0a02522c1b171f2bc5b7,0.0,0.0,0.0,0.0
32,Commit,cog-creators_red-dashboard,2020-07-19 20:44:55,2af84f8520a9712f3340251f2b9d0c7ca6f6bef9,29181.0,873.0,59.0,0.0
33,Commit,cog-creators_red-dashboard,2020-07-15 13:38:40,f8d4c41c4836f5a958d8ef1ac6f59ed0f9a18f16,0.0,1.0,1.0,0.0
34,Commit,cog-creators_red-dashboard,2020-07-15 13:36:17,bc5835afe4f96b56e3179284a97ea4d17697d70d,81.0,2.0,4.0,0.0
35,Commit,cog-creators_red-dashboard,2020-07-15 12:55:11,4b25829b65832624c7b9e96c9a9a58cd0830aaf4,2.0,2.0,1.0,0.0
36,Commit,cog-creators_red-dashboard,2020-07-13 21:31:25,79f1ae7299fda725152530027bd9c96b0246d8f1,1.0,1.0,1.0,0.0
37,Commit,cog-creators_red-dashboard,2020-07-13 21:28:36,cc183c1b57505e53fd427c8b3c8577063e4c04b0,1.0,1.0,1.0,0.0
38,Commit,cog-creators_red-dashboard,2020-07-13 21:27:31,db71a41d0ecd5fec31087b7983d2ef18d6299d8f,4.0,0.0,1.0,0.0
39,Commit,cog-creators_red-dashboard,2020-07-13 21:12:38,cd414f13659738016287dd0ac72efd0a589a8b90,1.0,1.0,1.0,0.0
40,Commit,cog-creators_red-dashboard,2020-07-13 21:08:44,8d68fc64f9e3e06cf8abf33d89af745352194506,18.0,0.0,1.0,0.0
41,Commit,cog-creators_red-dashboard,2020-07-13 21:00:48,190fc6d57ea40df54d88528d79b2c4f6f9d50a7d,1.0,1.0,1.0,0.0
42,Commit,cog-creators_red-dashboard,2020-07-13 20:35:37,a2fd4dbf70058e727c28f0e20d63425767400305,153.0,3.0,6.0,0.0
43,Commit,cog-creators_red-dashboard,2020-07-13 19:32:18,a9dd968ec887164b4635a0aef36e0d08978c377e,3.0,0.0,1.0,0.0
44,Commit,cog-creators_red-dashboard,2020-07-13 19:28:21,e42482bfc70a892ade6f9508e851392beff00b0a,0.0,0.0,0.0,0.0
45,Commit,cog-creators_red-dashboard,2020-07-13 19:27:56,606e491170de522cfac460932781c6b3883340a7,782.0,757.0,28.0,0.0
46,Commit,cog-creators_red-dashboard,2020-07-09 13:12:07,20b237093daf0158a29eade38ba12b6ec82eed25,13.0,10.0,2.0,0.0
47,Commit,cog-creators_red-dashboard,2020-07-09 03:06:54,454cc8a41fa48116eaa76e2e4702b9c86375fd5b,0.0,0.0,16.0,0.0
48,Commit,cog-creators_red-dashboard,2020-07-09 03:04:56,4540c23eb66ab7c8efdfaf095ba50081a4cddbb1,0.0,0.0,0.0,0.0
49,Commit,cog-creators_red-dashboard,2020-07-09 02:47:14,d3a633aa36706dca68bc47dfed864364f38e0cf3,42621.0,0.0,244.0,0.0
50,Commit,cog-creators_red-dashboard,2020-06-20 19:19:10,817892fd0d240603d68250a9691b3ad2507f64d4,1890.0,630.0,14.0,0.0
51,Commit,cog-creators_red-dashboard,2020-06-14 21:29:42,23aedee385b35a01a6894fcedca435663d65d95c,53.0,0.0,2.0,0.0
52,Commit,cog-creators_red-dashboard,2020-06-14 21:09:41,345ab1ed75cae6975fd9fe44342d96fc9ff7f798,2.0,1.0,1.0,0.0
53,Commit,cog-creators_red-dashboard,2020-06-09 19:03:45,073d072b1fbf4c6e62f430b632fbb10470e4b12e,137.0,35.0,2.0,0.0
54,Commit,cog-creators_red-dashboard,2020-06-09 17:42:40,b18ff98b651ef09e728fc11dce65c33ad514d26e,194.0,7.0,4.0,0.0
55,Commit,cog-creators_red-dashboard,2020-06-08 23:18:29,c3c8bd029d2481c6c7f882b32f0e3dff8ae9d724,9.0,0.0,1.0,0.0
56,Commit,cog-creators_red-dashboard,2020-06-04 13:55:57,08da342e8d4d93be4a13d28acd994af1139c47dd,1.0,1.0,1.0,0.0
57,Commit,cog-creators_red-dashboard,2020-06-04 13:47:54,afb030daa41743e37420c8a464bddf6cd2bb359e,2.0,2.0,2.0,0.0
58,Commit,cog-creators_red-dashboard,2020-06-04 12:40:30,702386f9e069c71f3e5b2bb7556b1d3480ef9fe1,0.0,0.0,0.0,0.0
59,Commit,cog-creators_red-dashboard,2020-06-04 12:39:10,942317c8cb8f54e10b384f42c97e02482a2e87d1,825.0,95.0,13.0,0.0
60,Commit,cog-creators_red-dashboard,2020-05-31 16:20:18,0cf6b134603049eae4235610a8ea17dd4feddbf4,2.0,2.0,2.0,0.0
61,Commit,cog-creators_red-dashboard,2020-05-31 16:17:07,e5d3f04e00370c33a1f136895be8107472d2f95c,27.0,0.0,1.0,0.0
62,Commit,cog-creators_red-dashboard,2020-05-31 16:07:56,f07125bdb3fcac213684e38b21baa1aa366b103c,1.0,0.0,1.0,0.0
63,Commit,cog-creators_red-dashboard,2020-05-31 16:07:06,5e363806d797069c2fbed81c0152cedc636924ba,10.0,0.0,2.0,0.0
64,Commit,cog-creators_red-dashboard,2020-05-31 16:02:37,862129e8c2f3113bbc3fe0c23e0003091860b76b,47.0,1.0,1.0,0.0
65,Commit,cog-creators_red-dashboard,2020-05-31 15:31:38,8172a5b3c672045397b0adeaecd70769a88a456d,39466.0,1.0,212.0,0.0
0,forks,cog-creators_red-dashboard,2020-07-07 21:38:49+00:00,,,,,
1,forks,cog-creators_red-dashboard,2020-07-14 05:03:32+00:00,,,,,
2,forks,cog-creators_red-dashboard,2020-08-23 00:39:04+00:00,,,,,
