,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,creharmony_node-etsy-client,2022-10-26 11:47:59,cd6ceb8b4d3131e48af26db440a3ebc646f210a4,3.0,3.0,2.0,0.0
1,Commit,creharmony_node-etsy-client,2022-10-26 11:47:31,c94021017cab5e0891230c3b7b87d26558cca1b4,38.0,4.0,3.0,0.0
2,Commit,creharmony_node-etsy-client,2022-10-26 11:42:07,70b92b6f18b69fb382fe9cb1a62882dabaa845db,34.0,721.0,15.0,0.0
3,Commit,creharmony_node-etsy-client,2022-10-23 11:41:51,d8f4804190bb2f658751af7a71f11c721c605ed2,3.0,3.0,2.0,0.0
4,Commit,creharmony_node-etsy-client,2022-10-22 18:07:50,19d73fe2865a61b10809feb6b00caa7d09ce2b08,20.0,24.0,2.0,0.0
5,Commit,creharmony_node-etsy-client,2022-10-13 19:57:46,da80adbcbab53dade25f4f97b921fecec8578f4a,18.0,15.0,1.0,0.0
6,Commit,creharmony_node-etsy-client,2022-10-13 18:22:24,ec5a4a5015679dce378c0efcf450bca66aabcca6,3.0,3.0,2.0,0.0
7,Commit,creharmony_node-etsy-client,2022-10-13 18:22:00,74cbd4bdc83a9e68c59dac3a9d04936ef575044a,94.0,228.0,4.0,0.0
8,Commit,creharmony_node-etsy-client,2022-10-13 07:02:04,f9341be8218b5f53c13f4759c133bed652c68b6d,3.0,3.0,2.0,0.0
9,Commit,creharmony_node-etsy-client,2022-10-12 13:18:52,da66a3f841ad386363f769af2daa5f54ec282f09,280.0,171.0,11.0,0.0
10,Commit,creharmony_node-etsy-client,2022-08-17 12:00:51,ad76f92d2d6ce4733e9d9f0e1ddddf37661f1a87,3.0,3.0,2.0,0.0
11,Commit,creharmony_node-etsy-client,2022-08-17 11:55:11,8c50344b873f62e36ab1b3bc477aa2e0f325ea53,110.0,3195.0,3.0,0.0
12,Commit,creharmony_node-etsy-client,2022-04-17 18:59:11,8dc0d563fb2725f599f3b314f4cbfcf05e193e19,3.0,3.0,2.0,0.0
13,Commit,creharmony_node-etsy-client,2022-04-17 18:58:26,a3b72a66a5caa090670404d595803d1ada21882a,297.0,18.0,13.0,0.0
14,Commit,creharmony_node-etsy-client,2022-04-11 19:10:09,6c70df24f1ec4ea62a9ec3544987fe660c5c15dd,3.0,3.0,2.0,0.0
15,Commit,creharmony_node-etsy-client,2022-04-11 19:09:31,9180d0feba922d01651208f36ae8af0461088460,46.0,19.0,6.0,0.0
16,Commit,creharmony_node-etsy-client,2022-04-03 14:41:29,f799fceb40e8ce8678797eaf7cc05a54731483c6,3.0,3.0,2.0,0.0
17,Commit,creharmony_node-etsy-client,2022-04-03 14:40:16,56bf8a831923c00ce90d3f4c95f386324b1c7b63,16.0,3.0,3.0,0.0
18,Commit,creharmony_node-etsy-client,2022-04-03 12:26:12,757ba2332a6847e6d49a1ebc5852542d46b1a4be,4.0,1.0,1.0,0.0
