,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,datatables_dist-datatables,2022-12-05 10:55:50,6f1e60c75900789c30502847ba79137728dd5c15,1.0,1.0,1.0,0.0
1,Commit,datatables_dist-datatables,2022-11-16 16:30:34,6f7d40523a9c3fc66b49bd51f29638b1caf535c7,1.0,1.0,1.0,0.0
2,Commit,datatables_dist-datatables,2022-11-15 11:15:51,1854dd2f27252e402be4376b3580ff3ab586b93d,1.0,1.0,1.0,0.0
3,Commit,datatables_dist-datatables,2022-11-08 14:01:10,5619abf267228a924a30ba59ac60323d3ef486a7,3.0,3.0,3.0,0.0
4,Commit,datatables_dist-datatables,2022-11-08 14:00:34,e6262b7045e7c1a3977d84ff7e9524547f8ec020,10.0,10.0,5.0,0.0
5,Commit,datatables_dist-datatables,2022-11-08 12:25:31,28119cd0ff69b10f6666494979bcc937aae94f23,1.0,1.0,1.0,0.0
6,Commit,datatables_dist-datatables,2022-11-08 11:30:31,96ebb62fb04a059f4cd1be2746e72cc69bcdffce,4.0,4.0,3.0,0.0
7,Commit,datatables_dist-datatables,2022-11-07 15:40:34,f3733640d7e1ca1005562e1e72b0669e8e6a80c8,1.0,1.0,1.0,0.0
8,Commit,datatables_dist-datatables,2022-11-04 17:03:54,c3e832e0c55be3a8e7a20c3b74b61282ee2872a3,9.0,12.0,5.0,0.0
9,Commit,datatables_dist-datatables,2022-11-04 14:50:42,46451fa828393eba9284fc0fadd7e180b4e44120,4.0,5.0,3.0,0.0
10,Commit,datatables_dist-datatables,2022-11-04 11:55:31,e1b5ed03957ac8e9f041c1667f7a2db4df907e1f,1.0,1.0,1.0,0.0
11,Commit,datatables_dist-datatables,2022-11-04 11:49:13,3fd835995947402d6fa5b00c81255c14f805d7c9,1.0,1.0,1.0,0.0
12,Commit,datatables_dist-datatables,2022-11-04 10:13:16,75192e84bce3e51e93f75597c45961c07b577d7f,43.0,24.0,6.0,0.0
13,Commit,datatables_dist-datatables,2022-10-28 18:23:14,c7e4bdd183791d0db31b0b106c2abe4f801e3221,7.0,3.0,3.0,0.0
14,Commit,datatables_dist-datatables,2022-10-27 15:11:45,9926e91d7075defb9026096e6883ea1e33c2a3de,2192.0,2330.0,3.0,0.0
15,Commit,datatables_dist-datatables,2022-10-10 19:48:03,44a8a3ce0e578f2731de6235348ea0b0da54c7ae,15581.0,11.0,5.0,0.0
16,Commit,datatables_dist-datatables,2022-09-25 19:30:53,625699a972bb30974275fe66e7d9666b5be1a7c7,0.0,2687.0,1.0,0.0
17,Commit,datatables_dist-datatables,2022-09-25 15:46:43,406ba4c429c0704d746a1d9bf19382287903a420,1.0,1.0,1.0,0.0
18,Commit,datatables_dist-datatables,2022-09-13 18:30:30,d73e14d13774e5104c5f7f2703026d97a9c7a840,1.0,1.0,1.0,0.0
19,Commit,datatables_dist-datatables,2022-09-11 22:10:29,066b98b56177998b8611bf3a33197e6d28f94000,1.0,1.0,1.0,0.0
20,Commit,datatables_dist-datatables,2022-09-08 21:20:30,145e0dcff82d9a143c91d39e9ab37b61fbd7bcb2,1.0,1.0,1.0,0.0
21,Commit,datatables_dist-datatables,2022-09-08 17:02:17,8c6c0c8b757677bedae557a5b6ac9884dade79d6,1.0,1.0,1.0,0.0
22,Commit,datatables_dist-datatables,2022-09-07 20:40:38,9875f1a888bc9b35d2294236d50c5ad39a5ebf7b,12.0,4.0,3.0,0.0
23,Commit,datatables_dist-datatables,2022-08-24 20:30:41,250d411adc756fa305c3053eb16fc52e5e284b41,2.0,193.0,2.0,0.0
24,Commit,datatables_dist-datatables,2022-08-23 21:05:24,57b6f565f0018331024488c80edf7f10109853a8,1.0,1.0,1.0,0.0
25,Commit,datatables_dist-datatables,2022-07-26 15:21:25,9d777bda7079b431f1fb09823d43147d68d05e4e,3.0,3.0,3.0,0.0
26,Commit,datatables_dist-datatables,2022-07-26 13:41:26,1c68488f264b2d3fb65ac9164932e88f12fd5db6,4.0,4.0,3.0,0.0
27,Commit,datatables_dist-datatables,2022-07-26 13:36:33,9e2fca0fdf936c61f84c304e1c0790b72794860a,2.0,2.0,2.0,0.0
28,Commit,datatables_dist-datatables,2022-07-14 16:21:21,f69069eb5e0aa40c513d160c37d82810d39ad16e,1.0,1.0,1.0,0.0
29,Commit,datatables_dist-datatables,2022-07-11 08:56:29,8e1d6b3ea2fb397666aa9356e9a4f99196f9e1e4,2.0,2.0,2.0,0.0
30,Commit,datatables_dist-datatables,2022-06-30 15:26:30,e4b48e1a107e9251636fafe1873658e3aae94f31,1.0,1.0,1.0,0.0
31,Commit,datatables_dist-datatables,2022-06-28 15:46:34,d49a3964335b02c918b646a8484953337bb95ece,2.0,2.0,2.0,0.0
32,Commit,datatables_dist-datatables,2022-06-20 08:06:38,f5a6202fb2f6270c6118cb7f266008de54c7b3b7,1.0,1.0,1.0,0.0
33,Commit,datatables_dist-datatables,2022-06-07 15:26:38,85c049199a0832d750c188477b3ad9adca688fa5,1.0,1.0,1.0,0.0
34,Commit,datatables_dist-datatables,2022-06-03 08:11:29,40bd5323f5b4c884cbee63bc9490a86067ec66d9,1.0,1.0,1.0,0.0
35,Commit,datatables_dist-datatables,2022-06-02 13:32:01,60bf21eb407b36bc1c52c5224bb8cc6291401151,1.0,1.0,1.0,0.0
36,Commit,datatables_dist-datatables,2022-05-31 08:36:34,176cca9d5d093be23557e64844f6eac2d0ea90ba,1.0,1.0,1.0,0.0
37,Commit,datatables_dist-datatables,2022-05-27 13:51:42,31513c787f54e61939d2d4c4f1a3d7c9e788ae23,39.0,35.0,3.0,0.0
38,Commit,datatables_dist-datatables,2022-05-19 15:40:08,faa9e0cce93609c3ecc1586df4bf5a47bc1942be,3.0,3.0,3.0,0.0
39,Commit,datatables_dist-datatables,2022-05-19 15:26:57,149a3efdc0e7fd66e278af2dd8f701db8114b485,6.0,6.0,3.0,0.0
40,Commit,datatables_dist-datatables,2022-05-19 08:36:45,c40904ba99f52fc019404d9ecf2d8d40d9c2ee7f,1.0,1.0,1.0,0.0
41,Commit,datatables_dist-datatables,2022-05-18 15:06:30,dbb1e4c3abf2d4fcba736dc359dfcf224495bd57,160.0,157.0,3.0,0.0
