,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,djabberd_djabberd,2020-10-27 22:01:21,fde404e420c194c65f4d24a338694aa1857d950f,3.0,0.0,1.0,0.0
1,Commit,djabberd_djabberd,2020-10-27 21:43:30,780b222efb283ba2399d1e3107f389f263db3bc2,12.0,5.0,1.0,0.0
2,Commit,djabberd_djabberd,2020-10-27 21:43:30,7891571c82ed94662c50867b129ddebc423cfb52,2.0,2.0,1.0,0.0
3,Commit,djabberd_djabberd,2020-10-27 21:43:30,9acea7701c2f098015a1d3bcf4df78067e5edf1f,57.0,11.0,15.0,0.0
4,Commit,djabberd_djabberd,2020-10-27 21:43:30,bb5ff9ee30ca45b18b9f5d2325ed2cdfd01c83ca,3.0,2.0,2.0,0.0
5,Commit,djabberd_djabberd,2020-10-27 21:43:30,17086acc1ea16493fbd1d7c4b173c465691f5aaf,5.0,2.0,2.0,0.0
6,Commit,djabberd_djabberd,2020-10-27 21:43:30,5240c4f93a622fee6c0251762419ea27f5a1a220,1.0,2.0,1.0,0.0
7,Commit,djabberd_djabberd,2020-10-27 21:43:30,10c6c6d329ff617d74e9083d63e27a6ef5fc8083,3.0,1.0,1.0,0.0
8,Commit,djabberd_djabberd,2020-10-27 21:43:30,34afd2b4a4a2d06d162a05633438a92ef1d31af7,1.0,1.0,1.0,0.0
9,Commit,djabberd_djabberd,2020-10-27 21:36:45,5c972627c1fd27baeffa6c03aa7505b29cdc4434,2.0,2.0,1.0,0.0
10,Commit,djabberd_djabberd,2020-10-26 22:20:28,4df6eca877f2110045b186fa30c272e5b43c0e3e,1.0,0.0,1.0,0.0
11,Commit,djabberd_djabberd,2020-10-26 22:16:10,ec12a3927af6784f6999551d88175ead16ad3cbb,6.0,1.0,1.0,0.0
12,Commit,djabberd_djabberd,2020-10-25 18:00:29,ae2c5cfaf66fe65e75d71d9d77e33e7f6c27ca77,13.0,11.0,1.0,0.0
13,Commit,djabberd_djabberd,2020-10-25 18:00:29,2eeea8e726d4db8032eeddf3449d09433007ac52,53.0,10.0,2.0,0.0
14,Commit,djabberd_djabberd,2020-10-25 18:00:29,f8d0552958eaecf7f3470f1ead3fed6250016b6f,36.0,5.0,1.0,0.0
15,Commit,djabberd_djabberd,2020-10-25 18:00:29,aef197a912b029657e3758be944179255cc98ee9,465.0,9.0,6.0,0.0
16,Commit,djabberd_djabberd,2020-10-25 18:00:29,21b30174a64dd05a979e3f3e9801dec8669f3a09,1.0,1.0,1.0,0.0
17,Commit,djabberd_djabberd,2020-10-25 18:00:29,5683861a19a9a01e35fdc383d4e2a87cd1286b78,18.0,4.0,2.0,0.0
18,Commit,djabberd_djabberd,2020-10-25 18:00:29,6c988a791364c163bc781123f18d4388cd7fbd3f,7.0,0.0,1.0,0.0
19,Commit,djabberd_djabberd,2020-10-25 18:00:29,2b8fd30ef9586b0dd7a1d144d51db6aa3f0a587b,15.0,7.0,1.0,0.0
20,Commit,djabberd_djabberd,2020-10-25 17:47:49,768d982409d3fb3b861352e9f26149ca4032a623,29.0,8.0,3.0,0.0
21,Commit,djabberd_djabberd,2020-10-23 20:07:39,4283a371cc2756d4618ee66ed52eaee66e82814a,41.0,26.0,7.0,0.0
