,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,emca-it_energy-log-server-6.x,2020-04-29 07:10:39,533201d5c51b8266ecd6cacedb703723f3f2c1ae,13.0,9.0,1.0,0.0
1,Commit,emca-it_energy-log-server-6.x,2020-04-29 06:16:40,1da2fd4a8d5213f06fc40b5c6ed6692574fd5e31,2.0,5.0,1.0,0.0
2,Commit,emca-it_energy-log-server-6.x,2020-04-28 09:06:48,e52cae157a8581b631bddd8f153b4558e9745d05,158.0,57.0,1.0,0.0
3,Commit,emca-it_energy-log-server-6.x,2020-02-03 10:41:13,fea308e4b112ea6ef83fe19563660b337ede801b,274.0,210.0,1.0,0.0
4,Commit,emca-it_energy-log-server-6.x,2020-01-31 14:33:45,33212258e37b7dbf006fcff1e3790ba153403a1d,103.0,81.0,1.0,0.0
5,Commit,emca-it_energy-log-server-6.x,2020-01-15 07:57:11,0f9c0336f763f53f36c1efb129a56cf7df0918e6,2.0,3.0,1.0,0.0
6,Commit,emca-it_energy-log-server-6.x,2020-01-14 13:47:19,0558ba54313ba128259eb1dc6d4defcf66eacbd6,4.0,4.0,1.0,0.0
7,Commit,emca-it_energy-log-server-6.x,2020-01-14 13:46:13,611e74635fd66d642954a75fb76f4f50157ff1ea,3.0,3.0,1.0,0.0
8,Commit,emca-it_energy-log-server-6.x,2020-01-14 13:43:01,cd6c2ef7073f762619ce9305a430f56c537edb58,231.0,221.0,2.0,0.0
9,Commit,emca-it_energy-log-server-6.x,2020-01-14 13:11:05,fee8c096847192c670034e151a1c6d4b681b8a00,3.0,3.0,1.0,0.0
10,Commit,emca-it_energy-log-server-6.x,2020-01-14 13:01:20,a819febb334062a9801fa6488b93784f0663f6bd,29.0,20.0,1.0,0.0
11,Commit,emca-it_energy-log-server-6.x,2020-01-14 12:53:40,2f4c2db9ade2f5287d01a360a1cf35b1b5036a3b,23.0,23.0,1.0,0.0
12,Commit,emca-it_energy-log-server-6.x,2020-01-14 12:48:58,44ff4f9c4000718b641cf0230006c988c2230ce1,234.0,138.0,1.0,0.0
13,Commit,emca-it_energy-log-server-6.x,2020-01-14 12:00:11,deeeba766cd5e8c89bd91644014c56a24e2d9188,331.0,230.0,2.0,0.0
14,Commit,emca-it_energy-log-server-6.x,2020-01-10 13:55:56,fbf8423bd3abd8d0a8272278f2093a1953b7575d,162.0,2.0,3.0,0.0
15,Commit,emca-it_energy-log-server-6.x,2020-01-10 13:50:54,daaeba1910c49d072d7bcdf89f136d5e162cecc2,76.0,15.0,1.0,0.0
16,Commit,emca-it_energy-log-server-6.x,2020-01-02 10:53:53,05a84cc07063dd26950ab7dbd3a838a1dbc235a0,72.0,27.0,2.0,0.0
17,Commit,emca-it_energy-log-server-6.x,2019-12-30 12:36:05,a8fc3151436512d309b1ef87a2ab36dbdf0127b5,2.0,0.0,1.0,0.0
18,Commit,emca-it_energy-log-server-6.x,2019-12-30 12:29:37,d7f2899b6c217a4ba6be89b81a6dfd98a41cf9ea,2.0,0.0,1.0,0.0
19,Commit,emca-it_energy-log-server-6.x,2019-12-30 12:23:47,e1d4e1a8b145e5e448799de60b61018f1e4d1006,73.0,8.0,3.0,0.0
20,Commit,emca-it_energy-log-server-6.x,2019-12-27 13:06:40,0e9b61b5805a0704bdf77a99cb64839b0bb96ce3,4.0,2.0,1.0,0.0
21,Commit,emca-it_energy-log-server-6.x,2019-12-27 12:57:49,d89a4e7f158084916d526ee30e3812334af285fa,26.0,8.0,1.0,0.0
22,Commit,emca-it_energy-log-server-6.x,2019-12-27 12:46:16,fc32ed079553ab529e1b0469d38b0ba33feb507a,164.0,1.0,1.0,0.0
23,Commit,emca-it_energy-log-server-6.x,2019-12-13 14:02:36,bf10f84f2943017e6dcbd7425a136666dfc18134,5.0,1.0,3.0,0.0
24,Commit,emca-it_energy-log-server-6.x,2019-12-13 13:04:55,3e13d13f8d7f6c5bbec9dbacf090ad41314d8337,20.0,25.0,2.0,0.0
25,Commit,emca-it_energy-log-server-6.x,2019-12-13 12:49:35,fe86b8327a98d49cefcf74b29c4ad5dbed11ce26,11.0,12.0,1.0,0.0
26,Commit,emca-it_energy-log-server-6.x,2019-12-13 12:37:56,83b43f556db638e4f93bd564c8c1fc9ab416c3c0,280.0,127.0,2.0,0.0
27,Commit,emca-it_energy-log-server-6.x,2019-12-06 08:16:16,69a3f10800e0850b655c2bb33b7a7a195e437f5f,5.0,3.0,1.0,0.0
28,Commit,emca-it_energy-log-server-6.x,2019-12-05 12:56:03,72b9ca9de3f7384f5e74da5c49adf7eaa08a0916,0.0,0.0,1.0,0.0
29,Commit,emca-it_energy-log-server-6.x,2019-12-05 11:27:51,3f38c05daafeed79ca687bdadc08c6b11f44a8cb,73.0,4.0,2.0,0.0
30,Commit,emca-it_energy-log-server-6.x,2019-12-03 13:57:52,b17d6222331636e211dbedb2115d26b5bf24ee8e,12.0,0.0,1.0,0.0
31,Commit,emca-it_energy-log-server-6.x,2019-11-25 13:09:45,b0c6532ce94e35248c023113e475877a107ca74b,85.0,5.0,1.0,0.0
32,Commit,emca-it_energy-log-server-6.x,2019-11-25 12:37:47,cad77138ab21cd1e85ad1dc98d6a0ca501bd9984,103.0,2.0,1.0,0.0
33,Commit,emca-it_energy-log-server-6.x,2019-11-25 10:16:59,a511479bc1a5c1b03aba1a8195701bc2a201656f,253.0,12.0,6.0,0.0
34,Commit,emca-it_energy-log-server-6.x,2019-11-25 09:35:27,c0a4e9b2d8b08a6729ef7c30f034f38472b729e5,306.0,190.0,3.0,0.0
