,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,evgeniypatlan_qpress,2022-08-21 21:16:50,8984ecf66b868c0811f4274378a8da29d4e44678,1.0,3.0,1.0,0.0
1,Commit,evgeniypatlan_qpress,2022-08-19 21:49:49,3f9a772b153af6d5793dcd68df47a214c4f21ab2,3.0,0.0,1.0,0.0
2,Commit,evgeniypatlan_qpress,2022-08-19 21:41:46,aaac22199dfc16d4e4510de3e24fc81b45e28280,1.0,1.0,1.0,0.0
3,Commit,evgeniypatlan_qpress,2021-10-30 15:30:12,1b7d0851c533863feef840baefa939f8b6f5079f,1.0,1.0,1.0,0.0
4,Commit,evgeniypatlan_qpress,2021-07-14 07:44:21,ad14e2cffe63d6396ea428d6a38d63abbabd0111,1.0,1.0,1.0,0.0
5,Commit,evgeniypatlan_qpress,2021-07-14 07:35:58,9cca7e038f1a5be5093fbb7ed3ad21d122e0f42e,5.0,3.0,1.0,0.0
6,Commit,evgeniypatlan_qpress,2020-12-23 13:42:44,18ad1fb25806b89db84c4cee81e9b02880b1202f,9.0,2.0,2.0,0.0
7,Commit,evgeniypatlan_qpress,2020-03-22 17:35:38,16eb31819477295d9c43017075ab0c7628ff5f29,5.0,3.0,1.0,0.0
8,Commit,evgeniypatlan_qpress,2017-04-18 14:31:50,3f7cb291449fbd26bb8c720346618c146705451c,1.0,0.0,1.0,0.0
9,Commit,evgeniypatlan_qpress,2017-04-18 14:31:24,de38d4a36c26e209eb2b3fd77a304cd94448e721,2.0,2.0,1.0,0.0
10,Commit,evgeniypatlan_qpress,2017-04-18 14:18:36,b4ed4102434d6dbd21b0c5d754e28f888e272f6d,8.0,1.0,1.0,0.0
11,Commit,evgeniypatlan_qpress,2017-04-15 18:00:17,a4fd341a7676fd8c767bc5a96fb261409fcc2227,3.0,1.0,1.0,0.0
12,Commit,evgeniypatlan_qpress,2017-04-15 17:44:43,d1e0ce8dbfd7a62827a171c995f61473ae58e8d8,1.0,1.0,1.0,0.0
13,Commit,evgeniypatlan_qpress,2017-04-15 17:33:16,6d9b4593671f181a243cadd8e70603a02fea510c,21.0,6.0,1.0,0.0
14,Commit,evgeniypatlan_qpress,2017-04-13 19:31:34,e6b055f15845cacfa9fece0b2f94c8c9825dee8e,17.0,7.0,4.0,0.0
15,Commit,evgeniypatlan_qpress,2017-04-13 15:09:19,dd3f87e173ce0928632b5569a2f17ea9794b80ce,1.0,1.0,1.0,0.0
16,Commit,evgeniypatlan_qpress,2017-04-13 14:38:24,c6ad3ade8bdc52722938332334763cf5ed4a1144,14.0,24.0,1.0,0.0
17,Commit,evgeniypatlan_qpress,2017-04-13 14:38:00,fe6827e98785ca658ace00f6af6ff7769f47a47f,0.0,2.0,1.0,0.0
18,Commit,evgeniypatlan_qpress,2017-04-13 14:04:32,eb30da2fbfec1618c898bec870529345e4b83569,1.0,1.0,1.0,0.0
19,Commit,evgeniypatlan_qpress,2017-04-13 14:04:16,b1d41f064e0c17440868031357db7c527eefa135,9.0,17.0,1.0,0.0
20,Commit,evgeniypatlan_qpress,2017-04-13 14:03:53,db192a7c4f090db153bacf57e21ac91b183420b9,0.0,1.0,1.0,0.0
21,Commit,evgeniypatlan_qpress,2017-04-13 13:51:13,3f40d3e9d501425b0fa13ce239442d2286e41062,2.0,0.0,1.0,0.0
22,Commit,evgeniypatlan_qpress,2017-04-13 13:47:49,2d203fc1a322f819fc46000ad3ab8d66df4b1f3d,3.0,0.0,1.0,0.0
23,Commit,evgeniypatlan_qpress,2017-04-13 13:44:28,811bf152d92be99bf6acad3b6d1ddaff856c65d9,9.0,0.0,1.0,0.0
24,Commit,evgeniypatlan_qpress,2017-04-13 13:39:11,12bfefac4639d9c6a53d7d6094e6b1bfabcd83b7,74.0,0.0,1.0,0.0
25,Commit,evgeniypatlan_qpress,2017-04-13 13:39:06,ac1edd49b8f502c301330a8bf39b7fa92111dd5d,56.0,56.0,1.0,0.0
26,Commit,evgeniypatlan_qpress,2017-04-13 13:25:39,cf568a8319072d1618bfee1f138708fbedbb5b0a,1.0,1.0,1.0,0.0
27,Commit,evgeniypatlan_qpress,2017-04-13 13:19:05,9f7fb3b44b7562ecb21e3a654ce948354c3fb2cd,4.0,0.0,1.0,0.0
28,Commit,evgeniypatlan_qpress,2017-04-13 13:15:58,bc1cfb6c6731be1049bddc6e28be90adec66cc62,3389.0,0.0,12.0,0.0
