,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,f21_jwt,2017-03-10 05:42:00,d549135ed992e257d22a78828114d3335b7d498f,3.0,1.0,1.0,0.0
1,Commit,f21_jwt,2017-03-10 05:40:52,19a38c374d42e0c0175b5a95d893b3841dc1cd46,4.0,1.0,1.0,0.0
2,Commit,f21_jwt,2015-05-01 12:21:32,a327cf9052df8f9f97728ca0b5fa78a8231b79b6,17.0,6.0,2.0,1.0
3,Commit,f21_jwt,2014-03-13 11:31:53,632f5fcc2222067fae9e367de2be6989c1b9f14d,27.0,23.0,1.0,0.0
4,Commit,f21_jwt,2013-05-22 10:56:40,c31f839ac9c612d00aa9570f44da57b96b759195,2.0,2.0,1.0,0.0
5,Commit,f21_jwt,2013-05-22 10:55:46,99caadd3a47f017cebf17976776ec97d9f03c3d8,137.0,134.0,1.0,0.0
6,Commit,f21_jwt,2013-01-25 00:09:04,f9dde44546b1e316d839773092eff7daf4a575b5,4.0,4.0,1.0,0.0
7,Commit,f21_jwt,2013-01-25 00:07:56,0f9ea2b4e44776d52e203f851283db24e954f39f,13.0,14.0,1.0,0.0
8,Commit,f21_jwt,2013-01-24 23:58:46,ac198f779a2ee5d70712be79e4001e38919acb6d,0.0,0.0,0.0,0.0
9,Commit,f21_jwt,2013-01-24 23:56:12,8a6736641799adc3b292823b95c505a4eaeb79cc,1.0,1.0,1.0,0.0
10,Commit,f21_jwt,2013-01-24 23:55:24,741624d99fce97c8dd09bf73a7829c04a3a01336,0.0,0.0,0.0,0.0
11,Commit,f21_jwt,2013-01-24 23:54:21,ca4986e836fb0a035c9b53a4383351410151f087,37.0,2.0,2.0,0.0
12,Commit,f21_jwt,2013-01-24 16:12:41,2f07fa10d29f5f1751e2909f30cb669913edef47,1.0,1.0,1.0,0.0
13,Commit,f21_jwt,2013-01-11 06:03:54,4ffeb949b1298b6d213590c759db8d8cdeee3abe,1.0,1.0,1.0,0.0
14,Commit,f21_jwt,2013-01-11 00:51:49,69bd8f68171e407ba14284cd2ea2e46a1ebd10b7,3.0,3.0,1.0,0.0
15,Commit,f21_jwt,2013-01-11 00:48:25,80585e4d614b4361653af58fbe7a84482c6e5602,0.0,114.0,1.0,0.0
16,Commit,f21_jwt,2013-01-11 00:43:05,af671fb38f708b8a2e42f52b238784aa76f87321,0.0,0.0,0.0,0.0
17,Commit,f21_jwt,2013-01-11 00:41:46,927d1e1369b18504744c9fbb3b481b48792669b9,4.0,0.0,1.0,0.0
18,Commit,f21_jwt,2013-01-11 00:40:01,c9153805e1b88a445eb252cdc07b4581011d46ac,137.0,0.0,2.0,0.0
19,Commit,f21_jwt,2013-01-11 00:15:22,b7d449cfe4e3119dbe09f3e98ab0ff41b4235ee0,113.0,0.0,1.0,0.0
20,Commit,f21_jwt,2013-01-10 22:19:53,8acd3fd019e5c1e453f89fe125c102290d8e8651,4.0,0.0,1.0,0.0
0,forks,f21_jwt,2013-01-24 16:12:11+00:00,,,,,
1,forks,f21_jwt,2013-05-21 14:31:39+00:00,,,,,
2,forks,f21_jwt,2015-01-08 02:01:14+00:00,,,,,
3,forks,f21_jwt,2015-03-11 07:06:02+00:00,,,,,
4,forks,f21_jwt,2016-01-25 01:44:45+00:00,,,,,
5,forks,f21_jwt,2016-09-08 02:07:38+00:00,,,,,
6,forks,f21_jwt,2017-02-07 07:51:01+00:00,,,,,
7,forks,f21_jwt,2017-06-15 07:30:39+00:00,,,,,
8,forks,f21_jwt,2017-10-14 13:05:19+00:00,,,,,
9,forks,f21_jwt,2017-10-17 18:33:05+00:00,,,,,
10,forks,f21_jwt,2018-02-27 05:43:17+00:00,,,,,
11,forks,f21_jwt,2018-06-28 08:35:15+00:00,,,,,
12,forks,f21_jwt,2018-11-02 09:51:20+00:00,,,,,
0,issues,f21_jwt,2014-03-13 11:13:44+00:00,,,,,
1,issues,f21_jwt,2016-12-26 19:36:47+00:00,,,,,
0,pullRequests,f21_jwt,2013-01-24 16:12:44+00:00,,,,,
1,pullRequests,f21_jwt,2016-09-08 02:14:42+00:00,,,,,
0,stargazers,f21_jwt,2014-02-17 20:33:01+00:00,,,,,
1,stargazers,f21_jwt,2014-06-12 12:50:09+00:00,,,,,
2,stargazers,f21_jwt,2014-06-14 11:58:22+00:00,,,,,
3,stargazers,f21_jwt,2014-09-20 15:18:07+00:00,,,,,
4,stargazers,f21_jwt,2014-09-26 10:12:12+00:00,,,,,
5,stargazers,f21_jwt,2014-10-10 18:47:26+00:00,,,,,
6,stargazers,f21_jwt,2014-12-12 18:51:58+00:00,,,,,
7,stargazers,f21_jwt,2015-01-30 18:51:55+00:00,,,,,
8,stargazers,f21_jwt,2015-06-14 10:07:53+00:00,,,,,
9,stargazers,f21_jwt,2015-09-18 16:48:51+00:00,,,,,
10,stargazers,f21_jwt,2015-11-17 17:04:55+00:00,,,,,
11,stargazers,f21_jwt,2016-01-25 13:49:47+00:00,,,,,
12,stargazers,f21_jwt,2016-04-15 06:26:23+00:00,,,,,
13,stargazers,f21_jwt,2016-05-25 08:09:36+00:00,,,,,
14,stargazers,f21_jwt,2016-05-26 18:09:05+00:00,,,,,
15,stargazers,f21_jwt,2016-06-20 21:32:24+00:00,,,,,
16,stargazers,f21_jwt,2016-09-06 08:41:43+00:00,,,,,
17,stargazers,f21_jwt,2016-10-06 13:01:16+00:00,,,,,
18,stargazers,f21_jwt,2016-10-19 03:56:03+00:00,,,,,
19,stargazers,f21_jwt,2016-11-23 08:50:36+00:00,,,,,
20,stargazers,f21_jwt,2017-02-07 07:50:54+00:00,,,,,
21,stargazers,f21_jwt,2017-03-22 05:36:15+00:00,,,,,
22,stargazers,f21_jwt,2017-05-09 08:19:01+00:00,,,,,
23,stargazers,f21_jwt,2017-08-30 02:59:34+00:00,,,,,
24,stargazers,f21_jwt,2017-10-22 09:14:41+00:00,,,,,
25,stargazers,f21_jwt,2018-06-28 06:31:42+00:00,,,,,
26,stargazers,f21_jwt,2019-04-26 08:24:55+00:00,,,,,
27,stargazers,f21_jwt,2019-07-22 08:31:20+00:00,,,,,
28,stargazers,f21_jwt,2020-04-27 08:51:31+00:00,,,,,
29,stargazers,f21_jwt,2021-05-14 07:23:39+00:00,,,,,
30,stargazers,f21_jwt,2021-11-18 14:38:39+00:00,,,,,
