,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,fastify_fastify-multipart,2022-09-05 06:38:44,54e889d3704068edcac8f3565ae3893accc51aa0,1.0,1.0,1.0,0.0
1,Commit,fastify_fastify-multipart,2022-06-10 16:17:04,6b7f85ccb8f19ca07bb37c9eeec21b2e6d15cef2,2.0,2.0,1.0,0.0
2,Commit,fastify_fastify-multipart,2022-06-10 15:01:37,1e66c5e85be17f7565961605ec4d2ab732c1d257,1.0,1.0,1.0,0.0
3,Commit,fastify_fastify-multipart,2022-06-09 23:52:31,f11b49855eee36ec0b213ed7f77c9a6f4cd11775,1.0,1.0,1.0,0.0
4,Commit,fastify_fastify-multipart,2022-05-09 21:45:02,84d707b56d38b63347a65d2e3a6ba30d8f5fd6cd,1.0,1.0,1.0,0.0
5,Commit,fastify_fastify-multipart,2022-01-21 09:48:07,ddd75b67c135c1f344b3c2b8e9078460c98db88c,1.0,1.0,1.0,0.0
6,Commit,fastify_fastify-multipart,2021-12-08 13:02:02,2c634e8acf34c4ee86f6770c4c16359486d49d5f,1.0,1.0,1.0,0.0
7,Commit,fastify_fastify-multipart,2021-12-05 22:57:16,0e449a7346a52ad5c8a59166a52b34bfcbcd9f10,1.0,1.0,1.0,0.0
8,Commit,fastify_fastify-multipart,2021-11-01 16:10:11,3702ae73e5ae2962b8dc4d11402039246a514d83,1.0,1.0,1.0,0.0
9,Commit,fastify_fastify-multipart,2021-10-07 10:26:09,9e85ab1fb97345951b4d08a2d7065bc2320f1774,1.0,1.0,1.0,0.0
10,Commit,fastify_fastify-multipart,2021-09-27 10:52:16,ff823d54803e977dc55c370ff08ef3048a868e67,1.0,1.0,1.0,0.0
11,Commit,fastify_fastify-multipart,2021-09-14 12:23:24,f63f72eb682525da37134d77ee8cd99bcd01be80,1.0,1.0,1.0,0.0
12,Commit,fastify_fastify-multipart,2021-06-29 14:19:11,7682c4471d35bbf60c490b7e176689799b3a4f29,1.0,1.0,1.0,0.0
13,Commit,fastify_fastify-multipart,2021-05-19 07:58:29,a844e3d839a197f9d143aa077c96ce93b8e6384b,1.0,1.0,1.0,0.0
14,Commit,fastify_fastify-multipart,2021-04-21 10:24:41,66a3370a522c4001e4fa34b2fc096d2d4c68ab58,1.0,1.0,1.0,0.0
15,Commit,fastify_fastify-multipart,2021-04-20 01:18:31,16bc129b7220e36eb101b61d9a8c5341a4005555,1.0,1.0,1.0,0.0
16,Commit,fastify_fastify-multipart,2021-03-15 10:44:52,772fdf901b980efd116ce3dc8c3b6651fd2a6099,1.0,1.0,1.0,0.0
17,Commit,fastify_fastify-multipart,2021-03-15 10:31:23,68021b53f9c929797cbbfe91ad587bf65dde0dae,2.0,6.0,2.0,0.0
18,Commit,fastify_fastify-multipart,2021-03-12 11:12:52,5c014c5702224720a7e09c7db3e311da660d118d,1.0,1.0,1.0,0.0
19,Commit,fastify_fastify-multipart,2021-03-11 14:39:57,227131ac8ee5769cd43d63834941d66118038604,1.0,1.0,1.0,0.0
20,Commit,fastify_fastify-multipart,2021-02-05 12:28:30,1100cee420e8243d5ecd1363e8e11b4df8a05f6f,1.0,1.0,1.0,0.0
21,Commit,fastify_fastify-multipart,2020-11-28 10:53:27,e60b301439b1d2ba1e5beb47420c434f84b193c6,1.0,1.0,1.0,0.0
22,Commit,fastify_fastify-multipart,2020-11-24 05:56:41,ce04a8914059fce7ba4b90568e4a8ef49976aeeb,72.0,0.0,2.0,0.0
23,Commit,fastify_fastify-multipart,2020-10-29 23:41:20,381043e2d14735bcd86b7c4bbe1fabfe62503b33,1.0,1.0,1.0,0.0
24,Commit,fastify_fastify-multipart,2020-10-28 14:24:03,92f28b23568226a8104ecaeba9eb1881ebe4a3d1,1.0,1.0,1.0,0.0
25,Commit,fastify_fastify-multipart,2020-10-23 07:51:00,98ea0c7751f0b2c76c7c4510d3b54160d18f9fc1,1.0,1.0,1.0,0.0
26,Commit,fastify_fastify-multipart,2020-10-23 07:50:44,587eef628845a81d0bb178a0079a06d684e97337,1.0,1.0,1.0,0.0
27,Commit,fastify_fastify-multipart,2020-10-21 10:44:23,e180e6d5e26f79aff77ab8a54a9465054cad8b20,1.0,1.0,1.0,0.0
28,Commit,fastify_fastify-multipart,2020-10-16 20:18:28,97ec1ac489ab42f24e2c5ba51c6cfc6f1d839350,1.0,1.0,1.0,0.0
29,Commit,fastify_fastify-multipart,2020-10-14 14:58:14,0ae69aaf6c72223ffb1ffd0ccf69c37435338bb3,6.0,6.0,3.0,0.0
30,Commit,fastify_fastify-multipart,2020-10-14 14:55:53,e3c8939ad9ff26623358a2f370c871a46444ee79,1.0,1.0,1.0,0.0
31,Commit,fastify_fastify-multipart,2020-09-05 10:06:52,dabfa350325f633c6b8fe15e379596331b846d65,1.0,1.0,1.0,0.0
32,Commit,fastify_fastify-multipart,2020-09-03 18:17:48,b729316374ef06053c970d36398055db324101db,1.0,1.0,1.0,0.0
33,Commit,fastify_fastify-multipart,2020-08-31 19:37:45,c9b794ede34a52b54ff4e1e576cf150dfdca31c3,1.0,1.0,1.0,0.0
34,Commit,fastify_fastify-multipart,2020-08-28 15:47:54,a8f833727d467ac9c0d3be7b0ce63df4c3a6f244,1.0,1.0,1.0,0.0
