,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,fredrik-johansson_mpmath,2022-11-07 10:27:20,1258e33e1618a6c537947775a03a7746362c4cee,13.0,13.0,4.0,0.0
1,Commit,fredrik-johansson_mpmath,2022-11-07 09:43:28,b7c15d668cc987c863d6c6e261694f36f24730a9,7.0,136.0,3.0,0.0
2,Commit,fredrik-johansson_mpmath,2022-11-07 09:34:24,1b476ea2309934d82fd9a73e29c535541f8ec107,11.0,53.0,2.0,0.0
3,Commit,fredrik-johansson_mpmath,2022-08-22 19:17:28,f7c51fb21daea6f6925519baf44f30681e76ffba,74.0,68.0,1.0,0.0
4,Commit,fredrik-johansson_mpmath,2022-08-22 00:30:21,7cd161aef03e5aafddf4b7f9c473d09b83263b4e,190.0,33.0,7.0,0.0
5,Commit,fredrik-johansson_mpmath,2022-08-18 22:53:33,d0135b941f1dbc05d362df81508fc1d86b55466c,203.0,0.0,2.0,0.0
6,Commit,fredrik-johansson_mpmath,2022-08-18 22:51:37,26ed58a096c4b673df590b89a7dd77f270afb0f7,32.0,0.0,2.0,0.0
7,Commit,fredrik-johansson_mpmath,2022-04-11 22:55:03,e2eaabd0ba0e4605104a53a47314068ede9a4312,13.0,2.0,2.0,0.0
8,Commit,fredrik-johansson_mpmath,2022-02-20 19:50:45,9ce1a049cc398c73b307e89868fa69e83fe289aa,165.0,15.0,3.0,0.0
9,Commit,fredrik-johansson_mpmath,2022-02-14 10:34:07,fcc7e53362bc45fe372df4ac775e11678bd3f67d,4.0,2.0,2.0,0.0
10,Commit,fredrik-johansson_mpmath,2022-02-14 08:52:02,2bc6bd63dc3e9dcb9f5a41705b0e9e1fe56f8b2f,0.0,0.0,0.0,0.0
11,Commit,fredrik-johansson_mpmath,2022-02-14 08:51:53,f3bb6dbb76805095423eccdafef88ba77ba265dd,7.0,1.0,2.0,0.0
12,Commit,fredrik-johansson_mpmath,2021-11-07 05:15:26,e021513baa84181e13c60e90c357a4567ad2d9d6,12.0,0.0,1.0,0.0
13,Commit,fredrik-johansson_mpmath,2021-09-30 10:16:31,8d8f842d84dc2a90e135beff1929a5dfdca8b0c1,3.0,3.0,2.0,0.0
