,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,freeswitch_sofia-sip,2022-09-23 16:46:52,0d73fb78bb7fe8b38b0372b42b3caf3d2c5d8e77,6.0,6.0,2.0,0.0
1,Commit,freeswitch_sofia-sip,2022-09-22 13:31:44,e77e70d8447a1220f0a27b431149543a8a43bca5,24.0,16.0,1.0,0.0
2,Commit,freeswitch_sofia-sip,2022-09-22 09:50:05,86be06457e57edd1fb2c979ac1a861cf033781ce,8.0,4.0,1.0,0.0
3,Commit,freeswitch_sofia-sip,2022-09-21 09:49:12,c2e60cf3565ad03ed0f80cc5daca5f8a8286eb49,5.0,0.0,1.0,0.0
4,Commit,freeswitch_sofia-sip,2022-09-15 20:41:25,f6ee306084fc36f6e97b7c0cc3917e65a18707f4,12.0,6.0,5.0,0.0
5,Commit,freeswitch_sofia-sip,2022-07-05 16:05:01,ca60c3daebec6ee2723a41276d61d6a0d389d7f7,3.0,1.0,1.0,0.0
6,Commit,freeswitch_sofia-sip,2022-07-01 10:10:33,5b157b2623720dc7f1d73cd28ac67dc77ec742c6,1.0,1.0,1.0,0.0
7,Commit,freeswitch_sofia-sip,2022-07-01 09:19:56,61c11f5782ed8dc70c6e0787f5af52cad8a31e32,1.0,1.0,1.0,0.0
8,Commit,freeswitch_sofia-sip,2022-07-01 03:17:14,fc76889b461b8a885f0c46c4859ec2d4de3d34ce,2.0,2.0,2.0,0.0
9,Commit,freeswitch_sofia-sip,2022-06-30 08:59:40,39b16ce9ec1c1b997bbdbbc9103ec542aff44b05,7.0,5.0,1.0,0.0
10,Commit,freeswitch_sofia-sip,2022-06-29 13:39:36,038373bea45d52fc42227e295761a583439a65f1,17.0,9.0,6.0,0.0
11,Commit,freeswitch_sofia-sip,2022-06-28 10:44:42,a815495805dfac2344c2e1fc9b360e365d36da33,15.0,17.0,12.0,0.0
12,Commit,freeswitch_sofia-sip,2022-06-27 14:02:49,d8e11b8748f3b6c42bec59d8a21c95d09903a809,8.0,7.0,1.0,0.0
13,Commit,freeswitch_sofia-sip,2022-06-27 11:36:40,9d254312f2c4b73e3fa804fc90718610b6106ca8,1.0,1.0,1.0,0.0
14,Commit,freeswitch_sofia-sip,2022-06-27 10:55:40,fd7cb64b1e996089785a75be6f639f462e122623,2.0,2.0,1.0,0.0
15,Commit,freeswitch_sofia-sip,2022-06-25 11:49:33,a7b7e6c71b33646878722586e7c115d9da8868cd,1.0,1.0,1.0,0.0
16,Commit,freeswitch_sofia-sip,2022-06-25 03:56:17,7bd83610340f9bcfbf3537c0fdb6088a9d7e0907,5.0,6.0,1.0,0.0
17,Commit,freeswitch_sofia-sip,2022-06-24 14:02:57,b86bca1f313aad9a6d083d0e49cf1efe440e4a76,1.0,1.0,1.0,0.0
18,Commit,freeswitch_sofia-sip,2022-06-24 08:33:11,812dc1d94e671231a22cb863a29622f7d39b0dcb,0.0,0.0,0.0,0.0
19,Commit,freeswitch_sofia-sip,2022-06-24 08:26:47,dd981248470ba657dacd22f5fad058e0c4b5b1f4,2.0,2.0,1.0,0.0
20,Commit,freeswitch_sofia-sip,2022-06-24 03:21:22,3a5cccd9ddfb7817112e2c41dc174cbb00a5d880,1.0,1.0,1.0,0.0
21,Commit,freeswitch_sofia-sip,2022-06-23 09:02:34,3b46d2a4d09e11ad490092aa6a76131e9a5ac75e,5.0,5.0,1.0,0.0
