,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,github_trilogy,2022-12-06 17:57:33,7256bfb008b9b9a96ce82b0495fd6b92edaf68ae,7.0,0.0,1.0,0.0
1,Commit,github_trilogy,2022-10-17 19:05:10,c9eb4e43e8c7371dbf07731fe07c4d44d95817b0,9.0,3.0,3.0,0.0
2,Commit,github_trilogy,2022-10-14 23:35:35,8870ce2a4e88d715ad754c7b411be6023f76ae80,1.0,0.0,1.0,0.0
3,Commit,github_trilogy,2022-10-14 19:59:57,22dbdf0ed807bbb3f3f77677acd49fb26b8dc30e,2.0,0.0,1.0,0.0
4,Commit,github_trilogy,2022-10-14 19:59:57,8cdff4a53371f1537332b79f01f7c7ceba73ad6c,34.0,4.0,2.0,0.0
5,Commit,github_trilogy,2022-10-14 19:59:57,d5dc72126f5fd5cbe2d57563f5e1d5728bde7427,7.0,4.0,2.0,0.0
6,Commit,github_trilogy,2022-10-14 19:49:45,70fd11dd0a7da4cd30f9da4556ef750aa314b5d5,36.0,12.0,2.0,0.0
7,Commit,github_trilogy,2022-10-05 20:20:24,5f17532838da2dfa60ccc3e5cf48b56ad957349d,27.0,0.0,3.0,0.0
8,Commit,github_trilogy,2022-09-19 17:04:42,57d9b47016e550ef0581a68eaa33b3a1df5d0cce,1.0,6.0,2.0,0.0
9,Commit,github_trilogy,2022-08-19 22:14:32,f3d49bfafb1842fa11288ae5ddad8cd4e97be2eb,11.0,18.0,6.0,0.0
10,Commit,github_trilogy,2022-08-19 22:14:32,d25e43fc27fcfd6ed8fc50dada4364c2f46a9455,2.0,0.0,1.0,0.0
11,Commit,github_trilogy,2022-08-19 22:14:32,bedb3defedf6ead82407212f62bd3985d28b4660,43.0,32.0,2.0,0.0
12,Commit,github_trilogy,2022-08-19 22:14:20,3afbcc05cb727ee9192de2e2843f7846638e4d7c,1.0,1.0,1.0,0.0
13,Commit,github_trilogy,2022-08-19 22:14:20,7c531a7340c13e712ed89fc1b6444af74606570d,1.0,0.0,1.0,0.0
14,Commit,github_trilogy,2022-08-17 20:59:06,90209287cd091fd23884de2e8570ad90f78c784f,1.0,1.0,1.0,0.0
15,Commit,github_trilogy,2022-08-17 20:58:55,1f9a44e2b43276dc1bfaf53f96cff6581e3407d1,1.0,0.0,1.0,0.0
16,Commit,github_trilogy,2022-08-17 20:56:44,f0b1c36865d0496b98975d1fb902536413a1c5d8,0.0,2.0,1.0,0.0
17,Commit,github_trilogy,2022-08-17 03:34:52,bb5789e7454a27a5a92b80dfec564bf70d9a8d50,1.0,1.0,1.0,0.0
18,Commit,github_trilogy,2022-08-17 03:33:11,ef8cee766eb617854ae2eb2fb8399743d446aaa1,5.0,14.0,3.0,0.0
19,Commit,github_trilogy,2022-08-17 02:16:33,da118206b38825a2b0b3d424821ce37e4b454551,2.0,2.0,1.0,0.0
20,Commit,github_trilogy,2022-06-30 13:52:14,73c85aa37d61121e543decfea39492c2d5d5af14,6.0,4.0,1.0,0.0
21,Commit,github_trilogy,2022-06-30 13:49:00,e55f584bd6354c6c777130d61541dbdeb081ae03,10.0,0.0,2.0,0.0
22,Commit,github_trilogy,2022-05-31 02:12:49,e3e866e8a2d1f3ea12622fa8c7a6e19940238569,2.0,2.0,2.0,0.0
23,Commit,github_trilogy,2022-05-31 01:05:41,74aca4a1b5b07fcf833d1f5106e532c5d572e1a7,4.0,2.0,1.0,0.0
24,Commit,github_trilogy,2022-01-28 18:46:55,ddbefb06e5c6bd8c15b0b02edc2a8a2a309b1a76,42.0,9.0,2.0,0.0
25,Commit,github_trilogy,2022-01-18 19:23:41,49f77092901af69ec6eece6314cb6213b906b55c,1.0,1.0,1.0,0.0
26,Commit,github_trilogy,2022-01-18 19:12:32,4eb0b1d7cb86eb803d75416cfab156d1bec67454,3.0,3.0,1.0,0.0
27,Commit,github_trilogy,2022-01-18 15:33:53,61ae763f14d5f8dba3729aebf0618b00b8862a76,5.0,0.0,2.0,0.0
28,Commit,github_trilogy,2022-01-18 10:58:43,ff19078c58a76751b62cf9d8834d4b71d9dcf8a8,90.0,0.0,2.0,0.0
29,Commit,github_trilogy,2022-01-18 10:25:09,d93f58b003bad0f3f40783e3f62c93a2f47efcdd,7.0,0.0,1.0,0.0
30,Commit,github_trilogy,2022-01-04 15:06:48,da3b25a1f8d9cf29eee049900bb8d5524575e58b,0.0,0.0,0.0,0.0
31,Commit,github_trilogy,2021-12-20 19:46:22,7b88169d7f3c9202845508a1ac8498c47260d4b9,1.0,1.0,1.0,0.0
