,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,google_exposure-notifications-internals,2020-09-29 19:13:32,aa75f5c834aacdcad2aa29d899ba882295b31d16,1373.0,46.0,21.0,0.0
1,Commit,google_exposure-notifications-internals,2020-09-24 14:45:32,7dadb83aa5c4b02ed4ae98cd8cf13f89b96962d2,64.0,62.0,39.0,0.0
2,Commit,google_exposure-notifications-internals,2020-09-09 14:11:08,da29e8f8ec2a3e970e1a435d5e40013b1a0e6172,246.0,44.0,10.0,0.0
3,Commit,google_exposure-notifications-internals,2020-08-25 20:58:28,413b561f59cd4a63b571cac83821959e6e022ce8,7882.0,115.0,53.0,0.0
4,Commit,google_exposure-notifications-internals,2020-07-31 18:19:54,20233c8c959d6a62c7c0d15845ca72f5bec54e0d,2.0,2.0,1.0,0.0
5,Commit,google_exposure-notifications-internals,2020-07-31 16:55:21,55fbcfee9f3ffead8e3d87212ab4808995ff552f,586.0,0.0,1.0,0.0
6,Commit,google_exposure-notifications-internals,2020-07-27 19:48:16,16a8f571127cf73281835b15368d689336158f43,9504.0,0.0,112.0,0.0
0,forks,google_exposure-notifications-internals,2020-07-22 02:43:21+00:00,,,,,
1,forks,google_exposure-notifications-internals,2020-07-22 16:21:45+00:00,,,,,
2,forks,google_exposure-notifications-internals,2020-07-24 17:24:50+00:00,,,,,
3,forks,google_exposure-notifications-internals,2020-07-24 17:24:57+00:00,,,,,
4,forks,google_exposure-notifications-internals,2020-07-30 21:06:05+00:00,,,,,
5,forks,google_exposure-notifications-internals,2020-07-31 06:09:46+00:00,,,,,
6,forks,google_exposure-notifications-internals,2020-07-31 18:15:23+00:00,,,,,
7,forks,google_exposure-notifications-internals,2020-07-31 23:22:46+00:00,,,,,
8,forks,google_exposure-notifications-internals,2020-08-01 10:40:55+00:00,,,,,
9,forks,google_exposure-notifications-internals,2020-08-07 12:21:30+00:00,,,,,
10,forks,google_exposure-notifications-internals,2020-08-07 12:21:58+00:00,,,,,
11,forks,google_exposure-notifications-internals,2020-08-07 15:37:38+00:00,,,,,
12,forks,google_exposure-notifications-internals,2020-08-29 12:15:47+00:00,,,,,
13,forks,google_exposure-notifications-internals,2020-09-08 15:33:28+00:00,,,,,
14,forks,google_exposure-notifications-internals,2020-09-16 03:45:14+00:00,,,,,
15,forks,google_exposure-notifications-internals,2020-09-17 15:49:40+00:00,,,,,
16,forks,google_exposure-notifications-internals,2020-10-07 10:20:32+00:00,,,,,
17,forks,google_exposure-notifications-internals,2020-10-08 05:15:36+00:00,,,,,
