,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,gregkh_usbview,2022-01-22 15:14:18,8f911eb0440fd93eda85ab5a99764a34dcf91fc4,5.0,43.0,7.0,0.0
1,Commit,gregkh_usbview,2022-01-22 11:28:38,47dd1049ee8dae16f23ce8cd008f38c00bc884d5,8.0,2.0,2.0,0.0
2,Commit,gregkh_usbview,2022-01-22 11:23:42,e2e83a6520fa908e9c445ab6e6304081d28fa3de,214.0,0.0,1.0,0.0
3,Commit,gregkh_usbview,2022-01-22 11:22:33,4d3b5c634f139984cd3e55850692d99a6552564f,10.0,1.0,5.0,0.0
4,Commit,gregkh_usbview,2022-01-22 11:18:18,e350d34d8c4a8e6e7905ed5d564211331f3501bd,0.0,182.0,1.0,0.0
5,Commit,gregkh_usbview,2022-01-22 11:15:55,33dce249405e9e238b5a7d18fe63290c68f1242e,7.0,0.0,2.0,0.0
6,Commit,gregkh_usbview,2022-01-22 11:15:30,f5eb5dcbc6cbf3600743b1fc9be98d040f7fe718,0.0,21.0,1.0,0.0
7,Commit,gregkh_usbview,2022-01-22 11:12:49,d21974552328d20c496874d06fa2a0e05055b428,136.0,0.0,8.0,0.0
8,Commit,gregkh_usbview,2022-01-22 11:01:55,d5837c5a5109135daefc30f384ff00f6983f683d,1.0,1.0,1.0,0.0
9,Commit,gregkh_usbview,2022-01-22 11:01:11,5b0e3b98d6402a1c7fa6f9b1b39614a1270c20fe,2.0,2.0,1.0,0.0
10,Commit,gregkh_usbview,2022-01-22 11:00:18,91edcb4ba2b946d13406307ab8cc3b3e0e98356f,0.0,826.0,2.0,0.0
11,Commit,gregkh_usbview,2022-01-22 10:59:33,19263bb80eefa836b88bded0f5546065de117c34,7.0,7.0,3.0,0.0
12,Commit,gregkh_usbview,2022-01-22 10:58:10,fe39c3fd162d447f62fafaee19892f2190bcb0ac,9.0,9.0,3.0,0.0
13,Commit,gregkh_usbview,2022-01-22 10:56:41,09fe1e777da88438558b3607897b84017e3d18c1,10.0,10.0,3.0,0.0
14,Commit,gregkh_usbview,2022-01-22 10:54:45,8bf24a80b01e296f0c679b55e2f28d67ce241091,5.0,5.0,2.0,0.0
15,Commit,gregkh_usbview,2022-01-22 10:53:39,a83b8d553f359856a8351613d3834cb3d51f0354,17.0,16.0,3.0,0.0
