,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,hashicorp_go-getter,2022-10-26 16:21:17,47ecbb0e0aae24d0304b71bea95a0f89153e0d2f,6.0,0.0,2.0,0.0
1,Commit,hashicorp_go-getter,2022-10-26 15:11:31,cc303a6d4db6742329c40a98ae7ef5cc93414067,0.0,12.0,1.0,0.0
2,Commit,hashicorp_go-getter,2022-10-25 16:35:37,bad826d9c545eb209425c991226c487b0093641d,3.0,0.0,1.0,0.0
3,Commit,hashicorp_go-getter,2022-10-25 16:14:07,d5725c7b5ac038d288bf50487aaf33d5121bbd47,214.0,53.0,2.0,0.0
4,Commit,hashicorp_go-getter,2022-10-12 20:35:12,ec8a5bf33a7d0874d7b4fdc5006858aaf84c94a3,2.0,0.0,1.0,0.0
5,Commit,hashicorp_go-getter,2022-10-10 21:34:44,202f0455c864dc9cbacaf1fd8ac04fc952c491d1,21.0,12.0,2.0,0.0
6,Commit,hashicorp_go-getter,2022-10-03 20:10:46,a1abc4ba899753acbf946f8209b41d34898703f3,4.0,4.0,1.0,0.0
7,Commit,hashicorp_go-getter,2022-09-28 23:12:22,936fda0d2794bdabee2263415f650ab924e91de4,2.0,2.0,1.0,0.0
8,Commit,hashicorp_go-getter,2022-09-27 22:03:47,0f1552ae3694b8118a97e4d1e51795e109c13f7f,5.0,3.0,1.0,0.0
9,Commit,hashicorp_go-getter,2022-09-27 14:59:02,d305097eb8901ba73041f9b4efcc8eae90f15dcd,2.0,0.0,1.0,0.0
10,Commit,hashicorp_go-getter,2022-09-27 14:35:08,9063526d564284a451313acd8eddf6d9e9e49258,5.0,13.0,1.0,0.0
11,Commit,hashicorp_go-getter,2022-09-27 12:37:10,e7c9a3a8af8e0521279633be6309016d04ab7f83,6.0,6.0,1.0,0.0
12,Commit,hashicorp_go-getter,2022-09-26 21:18:54,98db99c48b07bc8f2083d957d26b0cecc2c39209,4.0,4.0,1.0,0.0
13,Commit,hashicorp_go-getter,2022-09-26 20:37:26,b2792737f54db835dbf29e8c64e4d1f574473e21,0.0,4.0,1.0,0.0
14,Commit,hashicorp_go-getter,2022-09-26 19:57:23,b6335dc443a96bc914243d1a2fcc5c735bfa01c5,2.0,0.0,1.0,0.0
15,Commit,hashicorp_go-getter,2022-09-26 19:48:33,d57df6e73c95e08086922369dae3bb6685287314,573.0,24.0,2.0,0.0
16,Commit,hashicorp_go-getter,2022-09-26 19:38:58,3e428c4bd0466bc225cd4f1dc96c7531b97221dc,29.0,54.0,3.0,0.0
17,Commit,hashicorp_go-getter,2022-09-26 18:14:02,c596b422ad6b398069e66604aa3ac6592d322d6d,9.0,9.0,1.0,0.0
18,Commit,hashicorp_go-getter,2022-09-26 18:09:38,61e02f140e30baf0bb373c707566a338b26bc6a7,2.0,0.0,1.0,0.0
19,Commit,hashicorp_go-getter,2022-09-26 18:05:29,7b76199e342fa408ea7d3599c10d032221ca681c,599.0,582.0,4.0,0.0
20,Commit,hashicorp_go-getter,2022-09-21 00:25:10,4cd1421bd8abab75c54cc336624744072823ff8d,4.0,0.0,1.0,0.0
21,Commit,hashicorp_go-getter,2022-09-20 21:58:40,3079b2af4dbf6c5a6ecb2aa4fabb56bf27db497a,585.0,584.0,3.0,0.0
22,Commit,hashicorp_go-getter,2022-09-20 21:34:04,592a7c8383ab3489cbe9244d782742db2f1df591,132.0,0.0,1.0,0.0
23,Commit,hashicorp_go-getter,2022-09-20 19:58:52,48342dd8901c6e64330fb73108e5a35095528908,0.0,176.0,1.0,0.0
24,Commit,hashicorp_go-getter,2022-06-08 17:51:31,cd6aaf87dc01f92805d845f0b19a29715c57c6a3,24.0,15.0,1.0,0.0
25,Commit,hashicorp_go-getter,2022-06-07 16:11:22,28c40bea1eec5d1c2fb3dac3c1338433c261675f,71.0,1.0,1.0,0.0
26,Commit,hashicorp_go-getter,2022-06-07 16:02:51,35a9e31fa22b1bda5e4109765fb884b6c5f7c4e4,53.0,33.0,1.0,0.0
27,Commit,hashicorp_go-getter,2022-05-24 18:46:21,d4c5010a78f62a50d5d8823c677a6b3e0ae5d2ff,85.0,0.0,1.0,0.0
28,Commit,hashicorp_go-getter,2022-05-19 13:45:00,226a8c5a528270111ff5fda2d38a7b6f486bb302,3.0,0.0,2.0,0.0
29,Commit,hashicorp_go-getter,2022-01-03 22:31:58,ca385154913163577cf87db70fe6ec445f6fe270,3.0,0.0,1.0,0.0
30,Commit,hashicorp_go-getter,2022-01-03 10:30:47,17af21e717d343bb11eb0e875fa1b88ae7dd7361,2.0,1.0,1.0,0.0
31,Commit,hashicorp_go-getter,2022-01-03 10:22:04,36b68b2f68a3ed10ee7ecbb0cb9f6b1dc5da49cc,31.0,3.0,3.0,1.0
32,Commit,hashicorp_go-getter,2021-12-22 22:18:17,23702d0c00e2ee7ad769ac9956c0f2d22b6cd983,139.0,3.0,2.0,0.0
