,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,irmen_pyro3,2016-10-29 14:27:31,5bd531088d9a11ec83556a0429f18df6cb5cd437,21.0,28.0,1.0,0.0
1,Commit,irmen_pyro3,2013-07-27 07:32:39,2566eeafdcbcadbfd7257796fcffc65d0a733e41,35.0,0.0,1.0,0.0
2,Commit,irmen_pyro3,2013-07-03 18:15:33,2188613a7b33a86af336f21a81083d64f1945b3f,1.0,1.0,1.0,0.0
3,Commit,irmen_pyro3,2013-07-03 18:14:26,db85e4eebda46e82826b4fc24b05bc33bfbfeac6,3.0,8.0,1.0,0.0
4,Commit,irmen_pyro3,2013-04-21 13:46:08,f2e54457cc1751381190ac3068bfe3f1a8a757dd,2.0,3.0,1.0,0.0
5,Commit,irmen_pyro3,2013-04-21 13:41:52,b45e8bceafa8785bfa5e2d92bcbcb0e7092db545,9.0,10.0,4.0,0.0
6,Commit,irmen_pyro3,2013-04-21 13:30:22,3369419891df64ff65c27b8a0b2e39350fbd1954,4.0,6.0,2.0,0.0
7,Commit,irmen_pyro3,2012-04-08 22:57:34,f2b5f335451076dee107ca70ccf9857a1eb9d8c0,1.0,1.0,1.0,0.0
8,Commit,irmen_pyro3,2012-04-08 22:49:20,d52ed3526537f60aaf55a227a74e7827c018da8f,2.0,2.0,1.0,0.0
9,Commit,irmen_pyro3,2012-04-08 22:47:41,3804cfe5560425e8fab6d7b40097104624c028ca,1.0,1.0,1.0,0.0
10,Commit,irmen_pyro3,2012-04-08 22:45:18,c1d9db2f75486618181eceb2ec6f1802a5412c44,9.0,3.0,2.0,0.0
11,Commit,irmen_pyro3,2011-11-06 18:56:34,72929972f0fb96071eacfd2d756ee48bd80584f6,46.0,6.0,4.0,0.0
12,Commit,irmen_pyro3,2011-09-02 13:08:45,51dc961dd651648ee0fe604321731cb5a8e2a847,1.0,1.0,1.0,0.0
13,Commit,irmen_pyro3,2011-09-02 13:06:00,d50210cb33ffbd10cc4d4862ab223621c4d83964,1.0,1.0,1.0,0.0
14,Commit,irmen_pyro3,2011-09-02 13:03:26,f54e5b2a98775e11deccf45a61a6d048bec32302,20.0,3.0,2.0,0.0
15,Commit,irmen_pyro3,2011-09-01 13:38:04,5cc1c93ed7a146e3d0d2c4ac92b802ad8e58c360,3.0,0.0,1.0,0.0
16,Commit,irmen_pyro3,2011-09-01 13:32:40,554e095a62c4412c91f981e72fd34a936ac2bf1e,7.0,1.0,1.0,1.0
17,Commit,irmen_pyro3,2011-09-01 13:24:49,1df908f8e8bd3eaf0fd2f1b80d38405f6a10328d,0.0,0.0,8.0,0.0
18,Commit,irmen_pyro3,2011-06-30 19:43:31,d8056173cf5db44e1ee8514a47e5e4bb0e5a1f51,1.0,1.0,1.0,0.0
19,Commit,irmen_pyro3,2011-06-30 19:41:05,30b7d472ab1f2ed4fafcbcf89ddb171a31713cfb,1.0,1.0,1.0,0.0
20,Commit,irmen_pyro3,2011-06-18 20:40:26,169bebb66442851f1aac72c038a49679debbf717,17.0,1.0,3.0,0.0
21,Commit,irmen_pyro3,2011-06-18 20:16:55,f1252be32150b0c820f2ab97ed3a5db52fdd7597,161.0,178.0,16.0,0.0
22,Commit,irmen_pyro3,2011-06-12 17:02:59,4a96d17942fb3b76108fc4645eb7bd92f16aedd2,7.0,1.0,1.0,0.0
23,Commit,irmen_pyro3,2011-06-12 16:59:27,eed9a811996da44d32a34c98b7d76ba6cd150266,1.0,1.0,1.0,0.0
24,Commit,irmen_pyro3,2011-06-10 20:17:03,dfe04a2cc15a26ab555c0f0e3622c777adbb91f3,14.0,2.0,3.0,0.0
25,Commit,irmen_pyro3,2011-06-10 20:07:37,28e0838b7c2b5332424c380598df2b84c2f8968c,1.0,1.0,1.0,0.0
26,Commit,irmen_pyro3,2011-06-10 20:07:05,63192a157ad5dbd2735fb27e22b00f85bfacf11a,18.0,9.0,3.0,0.0
27,Commit,irmen_pyro3,2011-05-29 23:49:07,f572e8ff8a30947f5ad70ad848b271598e5707c2,5.0,5.0,3.0,0.0
28,Commit,irmen_pyro3,2011-05-25 20:27:34,bfed2b9ca353e0217c6c4aaa9c8b5eb255267797,9.0,3.0,3.0,0.0
29,Commit,irmen_pyro3,2011-05-22 22:57:30,1531369929fa3c6955a1a597c5830a9d6ba7d946,52.0,21.0,5.0,0.0
30,Commit,irmen_pyro3,2011-05-22 22:47:44,e6bdf724aa15da8841b02c80496d9099e887cfb4,11.0,1.0,1.0,0.0
