,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,irrdnet_irrd,2022-12-06 13:54:06,4319f197e5c0ac35affa41678d0b775e982fb961,296.0,44.0,9.0,0.0
1,Commit,irrdnet_irrd,2022-12-06 13:54:06,c097ac361675b14ad6a757889f19f3b680addb39,2.0,1.0,1.0,0.0
2,Commit,irrdnet_irrd,2022-10-11 20:30:05,55d3574123ea96baa7f4bdc673120cf6e4855671,1.0,1.0,1.0,0.0
3,Commit,irrdnet_irrd,2022-07-13 07:58:54,2de0541efd0d4575b5a52a2448a8239162273121,4.0,4.0,2.0,0.0
4,Commit,irrdnet_irrd,2022-07-01 10:10:37,50b2b57d4803b79c409a225ee05bfb9cdba1dd3c,3.0,3.0,1.0,0.0
5,Commit,irrdnet_irrd,2022-07-01 10:10:37,9a1d61dad636d7fd168f39e253206d528cfe73f1,0.0,4.0,2.0,0.0
6,Commit,irrdnet_irrd,2022-07-01 10:10:37,66a1b2ec89d50d1e7e59af0672fb89353429dc82,22.0,21.0,2.0,0.0
7,Commit,irrdnet_irrd,2022-07-01 10:10:37,99bdff7fe040c23d062b1b9863659fe64af7c1ad,36.0,36.0,2.0,0.0
8,Commit,irrdnet_irrd,2022-06-24 08:50:51,1cb0a163105d5e9d28c6458459a73e3c0392bba9,1.0,1.0,1.0,0.0
9,Commit,irrdnet_irrd,2022-06-23 18:43:59,31257b3b86385569013ba0d544b781fe9fe5b12e,23.0,0.0,1.0,0.0
10,Commit,irrdnet_irrd,2022-06-23 18:43:46,9ee7fefa675687dca673e192abb6ea49a612317f,9.0,1.0,1.0,0.0
11,Commit,irrdnet_irrd,2022-04-14 13:09:29,fabe6c538ff01a0ea190548dbf53a88d7891da67,1.0,1.0,1.0,0.0
12,Commit,irrdnet_irrd,2022-04-04 12:11:20,8293de7523b747180f1bf9bf715ee35252832cca,3.0,17.0,1.0,0.0
13,Commit,irrdnet_irrd,2022-04-04 12:04:43,2076cdba197c001a3ae7c9b5edd024150afda8b2,4.0,4.0,1.0,0.0
14,Commit,irrdnet_irrd,2022-04-04 11:49:00,3ce203fb71cdd349ca3c7dbb177fae4363963ce1,92.0,2.0,5.0,0.0
15,Commit,irrdnet_irrd,2022-03-31 13:08:55,74c80b7d8bc41439ddb14e491ca19db25a21d15a,0.0,3.0,1.0,0.0
