,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,jasig_dotnet-cas-client,2019-04-17 03:57:58,2677b8d182af40d490644e08d194ce811f3e3795,0.0,0.0,0.0,0.0
1,Commit,jasig_dotnet-cas-client,2019-04-17 03:57:42,a7181ec9130ae29d950f69c7ffae3f36e5a83317,0.0,2.0,2.0,0.0
2,Commit,jasig_dotnet-cas-client,2019-04-17 02:26:14,ebc2532e856a1e1cf25d5dc6b449c91a8648c9e0,0.0,0.0,0.0,0.0
3,Commit,jasig_dotnet-cas-client,2019-04-17 02:25:58,4df4cb5600df9f7adf3b0fbb2ddd7a645ba8402c,14.0,0.0,1.0,0.0
4,Commit,jasig_dotnet-cas-client,2019-04-16 03:03:17,6da7ba4b8ff7a2b3be184b6d0841fd9ce49a07da,0.0,0.0,0.0,0.0
5,Commit,jasig_dotnet-cas-client,2019-04-16 03:00:24,704a2bad769e272956bc4f8e8022a77e4b911ceb,2.0,1.0,1.0,0.0
6,Commit,jasig_dotnet-cas-client,2019-04-16 02:58:58,b29caac28545a8cc03e3fdf6470caafec4c3dc54,50.0,0.0,1.0,0.0
7,Commit,jasig_dotnet-cas-client,2019-04-07 15:23:18,f8b5b428dd41125f84455665162bb72a04543e13,0.0,0.0,0.0,0.0
8,Commit,jasig_dotnet-cas-client,2019-04-07 15:22:50,7c447d9d4141ebe8ab5b5cff539b75dc66b5da5b,1.0,1.0,1.0,0.0
9,Commit,jasig_dotnet-cas-client,2019-04-07 15:21:36,0a7cf1b523cc4b3af9c2bd83a2b454b5a9dd5d3d,4.0,0.0,1.0,0.0
10,Commit,jasig_dotnet-cas-client,2019-04-06 20:12:35,57742d4521c590a2f8c92b1af8c23c8721cf6c23,0.0,0.0,0.0,0.0
11,Commit,jasig_dotnet-cas-client,2019-04-06 20:12:35,86973b7473f03cfccf28f57ffb884210c7a6fe9e,0.0,0.0,0.0,0.0
12,Commit,jasig_dotnet-cas-client,2019-04-06 20:08:29,a4225f8da1f3fc607ed33f434dafe6f2c634af9c,9.0,0.0,1.0,0.0
13,Commit,jasig_dotnet-cas-client,2019-04-01 03:43:07,32781ff23ad43f125a5007303996488bf0db90a7,0.0,0.0,0.0,0.0
14,Commit,jasig_dotnet-cas-client,2019-04-01 03:41:43,7d20b091e5832ef68ef7ad00934eeddc3f751d9a,58.0,53.0,2.0,0.0
15,Commit,jasig_dotnet-cas-client,2019-03-31 03:55:15,cd3f0052bdb5d5083453c52aaf880d4b5f93b4b6,51.0,6.0,7.0,0.0
16,Commit,jasig_dotnet-cas-client,2019-03-31 03:47:21,8a3fb63f325ca0ed71291bf1bee23554a2f46a5f,4.0,4.0,2.0,0.0
17,Commit,jasig_dotnet-cas-client,2019-03-31 03:45:07,ec629203a46230f2987bd5b4ec464bc3b70a2fec,1.0,1.0,1.0,0.0
18,Commit,jasig_dotnet-cas-client,2019-03-31 03:39:55,9f1966650084150eab0023fba8c80951073029b2,3.0,3.0,2.0,0.0
19,Commit,jasig_dotnet-cas-client,2018-03-08 13:21:37,581c3825a322c96da1d356f43ee69b2aff56a24a,0.0,3.0,1.0,0.0
20,Commit,jasig_dotnet-cas-client,2018-03-08 13:14:27,c65c5afd1605805610a2ab699a6bdfcd07bc0c30,4.0,11.0,1.0,0.0
21,Commit,jasig_dotnet-cas-client,2017-10-18 19:40:39,52a2240ee123f7274998a420097843fe4621fbbe,0.0,0.0,0.0,0.0
22,Commit,jasig_dotnet-cas-client,2017-10-18 19:39:45,f39ed2458e7cd931614cec072489842df0333ef0,0.0,0.0,0.0,0.0
23,Commit,jasig_dotnet-cas-client,2017-10-18 19:28:19,17cdc459833580c4bd63f8457cef5383ca53421a,0.0,1.0,1.0,0.0
24,Commit,jasig_dotnet-cas-client,2017-10-18 19:06:23,76d26833e9e1d772833382ce9fb36df70f1aadb1,11.0,8.0,4.0,0.0
25,Commit,jasig_dotnet-cas-client,2017-10-17 19:18:30,5ccf103c805bfac6191e6b3e621920302387e6a3,3.0,2.0,1.0,0.0
26,Commit,jasig_dotnet-cas-client,2017-10-17 19:15:07,1b67167789b0e7c2fb8f7a55dc6100cfaf507952,2.0,2.0,1.0,0.0
27,Commit,jasig_dotnet-cas-client,2017-10-17 04:21:06,0eba1e49ce68583a6c2d6635d1c122032395848b,1.0,235.0,1.0,0.0
28,Commit,jasig_dotnet-cas-client,2017-10-17 02:47:09,10e6bea0eda1291c5ed254407e5fded7ff23c179,0.0,0.0,0.0,0.0
29,Commit,jasig_dotnet-cas-client,2017-10-16 22:07:03,fb897dbd932120cce7eabbd4f2613804cbd4d87a,8.0,2.0,1.0,0.0
30,Commit,jasig_dotnet-cas-client,2017-10-11 04:36:00,972152c73e26dba41cb391191f3fde1c0c8df697,3.0,8.0,2.0,0.0
31,Commit,jasig_dotnet-cas-client,2017-08-11 14:45:42,bc0e0b506c124eb98f38dfa7d615cfc224680766,0.0,0.0,0.0,0.0
32,Commit,jasig_dotnet-cas-client,2017-08-11 07:25:54,3cfd80418820be13505330ec1582e78589b4bad9,1.0,1.0,1.0,0.0
33,Commit,jasig_dotnet-cas-client,2017-08-11 06:30:53,f2dc12734760dfcbf655e7a72a62a5b6913edc88,21.0,15.0,3.0,0.0
34,Commit,jasig_dotnet-cas-client,2017-08-10 20:29:30,5809cfe12c40611a93a474c77fd70fb6289c5dbb,0.0,0.0,0.0,0.0
35,Commit,jasig_dotnet-cas-client,2017-08-10 20:29:28,84967a4bc9b6dcd0308146fc63e25085e5347024,0.0,0.0,0.0,0.0
36,Commit,jasig_dotnet-cas-client,2017-08-10 20:29:00,5af76b2d5fe55363c0d5b1c9047ad136aa8a4f45,16.0,7.0,2.0,0.0
37,Commit,jasig_dotnet-cas-client,2017-08-10 19:05:10,54ed324f2fcc6e87df6be5383071d6995045cbfb,3.0,1.0,2.0,0.0
38,Commit,jasig_dotnet-cas-client,2017-07-22 04:19:26,2d933acd717368290d2a33effbe13208550d9494,1.0,1.0,1.0,0.0
39,Commit,jasig_dotnet-cas-client,2017-07-22 04:13:38,8f2623e570ffcf31ff7b64dc70fea48a0e6459e0,45.0,31.0,1.0,0.0
40,Commit,jasig_dotnet-cas-client,2017-07-22 01:18:37,85271224770068c7f728edf4318a5fb492804dca,7.0,0.0,1.0,0.0
41,Commit,jasig_dotnet-cas-client,2017-07-21 21:02:48,258b8ced00d2093f3cf61d28bb6f9238e612691a,3.0,2.0,1.0,0.0
42,Commit,jasig_dotnet-cas-client,2017-07-21 20:53:19,57671def8a2eee8305e3d22722586c0a51b74f99,48.0,11.0,1.0,0.0
