,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,jirutka_asciidoctor-include-ext,2022-04-02 13:17:56,cd6707c8c5010f5104c271b125f7d6ff700a9491,1.0,0.0,1.0,0.0
1,Commit,jirutka_asciidoctor-include-ext,2022-03-29 23:35:26,e5ab21fba4462be842efb87a3b99b9124445b0b7,1.0,1.0,1.0,0.0
2,Commit,jirutka_asciidoctor-include-ext,2022-03-29 23:32:34,7913ca74e8669a0c0eae4799a06d03d97704ff43,3.0,0.0,1.0,0.0
3,Commit,jirutka_asciidoctor-include-ext,2022-03-29 22:52:06,cbaccf3de533cbca224bf61d0b74e4b84d41d8ee,10.0,4.0,1.0,1.0
4,Commit,jirutka_asciidoctor-include-ext,2022-03-29 22:50:25,c7ea001a597c7033575342c51483dab7b87ae155,28.0,9.0,2.0,1.0
5,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:44:10,7227a60978cfd4bf5fecc8705a4fc83f536c0d3b,1.0,1.0,1.0,0.0
6,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,6f9e816da1e69005d827398a687a423ec5ff8f22,2.0,2.0,2.0,0.0
7,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,307cc0666da6a6326505a1c805cac46b52441322,0.0,1.0,1.0,0.0
8,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,8644ce3f736fb891611b5d229c816661ce513909,10.0,13.0,2.0,0.0
9,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,5f7112ff0d12c53e03eef1b954edc947ca200b67,1.0,1.0,1.0,0.0
10,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,7da1c04597b5cd3b9ca4279f721e66140b61a71e,1.0,1.0,1.0,0.0
11,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,0891d32f419a561e6d8e3109ee4fee6c5193bbb3,1.0,11.0,2.0,0.0
12,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,83a9595a740bc8287d4d64aaaafb0bb37b4d541e,0.0,1.0,1.0,0.0
13,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,63d607b0b09ecdae2cf10d9aee028407b05b2cda,1.0,1.0,1.0,0.0
14,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:41,4a92a312100706d831f509b94d51dd54970023a6,1.0,1.0,1.0,0.0
15,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:43:40,53b4eba1e2780a2d744570ec04bb3b34940ee469,16.0,14.0,1.0,0.0
16,Commit,jirutka_asciidoctor-include-ext,2022-03-29 20:41:13,1fc6902142cd85716d8be244bc313901dbfd5d4f,65.0,70.0,3.0,0.0
17,Commit,jirutka_asciidoctor-include-ext,2019-04-14 00:14:17,f4a5ebed49df050fb9ea8f4c946983b63d479382,1.0,1.0,1.0,0.0
18,Commit,jirutka_asciidoctor-include-ext,2019-04-12 23:42:37,606e2b01ba8baa11a5645e96d582f2e00df5e9c3,0.0,2.0,1.0,0.0
19,Commit,jirutka_asciidoctor-include-ext,2019-04-12 22:19:06,74b9ff8776a08a73b96b02b4b1ee514c0baf11b1,4.0,1.0,1.0,0.0
20,Commit,jirutka_asciidoctor-include-ext,2019-04-12 22:17:31,d348eb3e77e4dc2524283d257f4ba637d8918fd2,1.0,1.0,1.0,0.0
21,Commit,jirutka_asciidoctor-include-ext,2018-11-11 20:30:14,507dbd624e00889f59519576ef090dd9a1375a9e,7.0,1.0,1.0,0.0
22,Commit,jirutka_asciidoctor-include-ext,2018-11-11 20:29:39,bb39f363847e0282570c74e6377aedea6f5c14cf,4.0,4.0,1.0,0.0
23,Commit,jirutka_asciidoctor-include-ext,2018-05-09 15:13:37,0e89c2a72bc3b84056a6daaaf8fe8d2090da7086,1.0,1.0,1.0,0.0
24,Commit,jirutka_asciidoctor-include-ext,2018-05-09 14:22:45,ba79b7147ffd23f53aa97cdb9384ebf4363e758d,25.0,2.0,3.0,0.0
25,Commit,jirutka_asciidoctor-include-ext,2018-05-03 23:02:42,23d14ed14aa8258d856644b0f2002cfed0e91103,1.0,1.0,1.0,0.0
26,Commit,jirutka_asciidoctor-include-ext,2018-05-03 22:46:07,d78efc0cb8c0053e1849ecd747f8c3fa48d461db,7.0,8.0,1.0,0.0
27,Commit,jirutka_asciidoctor-include-ext,2018-05-03 22:45:27,4bbe39a3e5161fdc87f39ee9330d8f15a0e14b9c,4.0,1.0,1.0,0.0
28,Commit,jirutka_asciidoctor-include-ext,2018-05-03 22:45:27,c0294f609633ca3be50618ba84526a1e0affccf2,3.0,8.0,3.0,0.0
29,Commit,jirutka_asciidoctor-include-ext,2018-03-21 14:20:06,45ad1b86c0edc71f152950500c5d48c2d7df35b4,4.0,1.0,1.0,0.0
30,Commit,jirutka_asciidoctor-include-ext,2018-01-23 23:10:55,44fcd9f083ed87b6aa29cb8d65801f3786b50e5e,53.0,13.0,3.0,0.0
31,Commit,jirutka_asciidoctor-include-ext,2017-12-13 19:34:59,4162dceb41c39952cd11e8d6952df98e10ad512e,1.0,1.0,1.0,0.0
32,Commit,jirutka_asciidoctor-include-ext,2017-12-13 19:30:59,ef8903e3f985f5de4db5f5c07b5244a267291508,2.0,2.0,1.0,0.0
33,Commit,jirutka_asciidoctor-include-ext,2017-12-12 15:58:45,00f17c00c4752cf5ce3ea79ce0849ddd040d1ebe,1.0,1.0,1.0,0.0
34,Commit,jirutka_asciidoctor-include-ext,2017-12-12 15:58:30,c8affc944d49d7617176b05f61ef61710525cfd0,8.0,1.0,1.0,0.0
35,Commit,jirutka_asciidoctor-include-ext,2017-12-12 15:56:31,b23d16d3bc2f06f269196785f5589e473ed31b42,29.0,3.0,1.0,0.0
36,Commit,jirutka_asciidoctor-include-ext,2017-12-11 22:05:29,cfb31f0242d3990acb50ab4ea332c3a3076e497b,21.0,3.0,2.0,0.0
37,Commit,jirutka_asciidoctor-include-ext,2017-12-11 21:56:11,f2bda61fe32e5349b6779a3ecdbc480edf2b7879,6.0,8.0,1.0,0.0
38,Commit,jirutka_asciidoctor-include-ext,2017-12-11 19:32:03,3d7f417e5d9ba8f1f7ea7138b45ef287d45fe01a,13.0,4.0,2.0,0.0
39,Commit,jirutka_asciidoctor-include-ext,2017-12-11 19:22:29,de0091b8b2931f658a1e62cc7c21293f13ee794f,1.0,1.0,1.0,0.0
40,Commit,jirutka_asciidoctor-include-ext,2017-12-10 21:04:02,505bc30bca3ed482056e98a4be8bc17b3c555452,208.0,1.0,4.0,0.0
41,Commit,jirutka_asciidoctor-include-ext,2017-12-10 21:04:01,68b551d8e6690689245421130921e1ade5d32e47,129.0,8.0,3.0,0.0
42,Commit,jirutka_asciidoctor-include-ext,2017-12-10 20:56:09,8dbec2c8a675b8e528953ead0b5e35a872bf0116,284.0,0.0,9.0,0.0
