,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,jupyterhub_jupyter-server-proxy,2022-11-05 02:18:23,278a74a4b70e58c81879ab135fe5e437b5d8e98b,2.0,2.0,1.0,0.0
1,Commit,jupyterhub_jupyter-server-proxy,2022-11-05 02:15:48,b5782e2fa829776b70bc3a401879137703e497cc,1.0,3.0,2.0,0.0
2,Commit,jupyterhub_jupyter-server-proxy,2022-11-05 02:11:27,ccb8fac3a8827b9742abf45ed8cfdb062c9d3334,1.0,2.0,1.0,0.0
3,Commit,jupyterhub_jupyter-server-proxy,2022-11-05 02:06:37,ff8a9b64ddcc2eefcc0a6defa892931b1cd9a95a,2.0,0.0,1.0,0.0
4,Commit,jupyterhub_jupyter-server-proxy,2022-11-05 02:00:36,daedce2b615aaf2f7d7f1ee8eefb8cf31f5db2ae,2483.0,2043.0,8.0,0.0
5,Commit,jupyterhub_jupyter-server-proxy,2022-11-04 23:47:34,468b590df867ebb0573d634c05281838d4809078,70.0,61.0,2.0,0.0
6,Commit,jupyterhub_jupyter-server-proxy,2022-11-04 12:40:26,e6ec041dda7c88991b7ec6ebb44a4ae1e7e44163,11.0,3.0,3.0,0.0
7,Commit,jupyterhub_jupyter-server-proxy,2022-11-04 12:40:26,a2be330ed12606e49d6beabedf34d541da1e0c65,11.0,9.0,1.0,0.0
8,Commit,jupyterhub_jupyter-server-proxy,2022-11-04 12:40:26,41ac753dc063b9af6966659f52440bc482c2dc45,60.0,56.0,2.0,0.0
9,Commit,jupyterhub_jupyter-server-proxy,2022-11-04 12:14:02,693c9613ac9c07ea3d998ac54e78454d832c5c17,14.0,17.0,18.0,0.0
10,Commit,jupyterhub_jupyter-server-proxy,2022-11-03 09:36:06,9ce60b25d9752413df173f4a577b1081d146e86e,0.0,7.0,1.0,0.0
11,Commit,jupyterhub_jupyter-server-proxy,2022-11-03 09:36:06,0b152c85bf622bd0999fafab8b294183c7e8a5ab,16.0,0.0,1.0,0.0
12,Commit,jupyterhub_jupyter-server-proxy,2022-11-03 09:36:02,2998e945e70cbf38ed8b7cb92c7be83b350eea16,48.0,43.0,4.0,0.0
13,Commit,jupyterhub_jupyter-server-proxy,2022-11-02 02:27:49,b5e36160de282c87f8537f0bb1fd69485ddd6651,4.0,3.0,2.0,0.0
14,Commit,jupyterhub_jupyter-server-proxy,2022-11-02 02:19:43,43ee556b72614f9263a38592d883226476e8049b,3.0,0.0,1.0,0.0
