,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,kareadita_kavita,2022-12-11 16:06:08,20441f5ec38d86f7058399da0e5816aab4c3c9c5,1.0,1.0,1.0,0.0
1,Commit,kareadita_kavita,2022-12-11 15:04:23,ee5ea708d94d6d118fd18e4825d900f6569b7e8c,1.0,1.0,1.0,0.0
2,Commit,kareadita_kavita,2022-12-11 13:14:40,0961cac65a18ebf8db7f74f16477263eb662b1dc,1.0,1.0,1.0,0.0
3,Commit,kareadita_kavita,2022-12-10 17:16:32,fcd9f8f118083f2bb880f46de40adb484f6f57d2,1.0,1.0,1.0,0.0
4,Commit,kareadita_kavita,2022-12-10 14:09:54,fbd9b36e3598a241c7d5052a77e2d016ae08fca9,1.0,1.0,1.0,0.0
5,Commit,kareadita_kavita,2022-12-07 14:13:59,d2f5651cfa0c872f5297bda03841d5d4915a0d8a,1.0,1.0,1.0,0.0
6,Commit,kareadita_kavita,2022-11-23 17:23:59,4724dc5a76fdb31cc88ab0e5f18613ccb8dcd8c4,1.0,1.0,1.0,0.0
7,Commit,kareadita_kavita,2022-11-20 21:43:01,e2470cba88009f7eceb8fe273e2ffdc372c83cbd,1.0,1.0,1.0,0.0
8,Commit,kareadita_kavita,2022-11-18 15:51:22,86fb2a8c94466877ab21404e4d85352528787504,1.0,1.0,1.0,0.0
9,Commit,kareadita_kavita,2022-11-17 22:06:04,48b15e564deb569f7137a7eb5d307dde5294e3a3,1.0,1.0,1.0,0.0
10,Commit,kareadita_kavita,2022-11-15 14:59:26,c6d24808efd3675257703d19211078820a0365c2,1.0,1.0,1.0,0.0
11,Commit,kareadita_kavita,2022-11-14 14:58:13,d5a7c31c7d81134c608649bc2be94d7c73ff4f71,1.0,1.0,1.0,0.0
12,Commit,kareadita_kavita,2022-11-08 22:35:50,f907486c74592104dc9511cf5bf8ecbedfbe4ccb,2.0,2.0,1.0,0.0
13,Commit,kareadita_kavita,2022-11-08 21:57:10,e0f6344a2b8e51b4350e42c57dc90c9d2786a403,1.0,1.0,1.0,0.0
14,Commit,kareadita_kavita,2022-11-05 14:08:54,04b92b591c21650929548d19d74b386858621513,1.0,1.0,1.0,0.0
15,Commit,kareadita_kavita,2022-11-03 01:25:46,6dd79d8c6aa2b0ddbccc09be2a70dbfe8dd8c49e,1.0,1.0,1.0,0.0
16,Commit,kareadita_kavita,2022-11-02 02:15:54,dab42041d55d1949fae2876f0dabf4577bd64c2b,1.0,1.0,1.0,0.0
17,Commit,kareadita_kavita,2022-10-31 13:21:44,ccca2402e0e4d588cdf62f763ced17a6366f45b5,1.0,1.0,1.0,0.0
18,Commit,kareadita_kavita,2022-10-28 14:00:51,cac8577925446c864e7660e7d51b1b5b4b26233c,1.0,1.0,1.0,0.0
19,Commit,kareadita_kavita,2022-10-22 16:10:48,40431f94101750809c0db03007ef186a494b600f,2.0,2.0,1.0,0.0
20,Commit,kareadita_kavita,2022-10-22 15:00:46,bd9da956668f4b0209cb3c4fff072adde1d90651,1.0,1.0,1.0,0.0
21,Commit,kareadita_kavita,2022-10-22 00:35:13,5f0df03e1d626a69a67aab7be51b1c2af5a22d61,1.0,1.0,1.0,0.0
22,Commit,kareadita_kavita,2022-10-21 23:09:09,8afa7d48685555e18ca13e23b051ed8d3009ee32,1.0,1.0,1.0,0.0
23,Commit,kareadita_kavita,2022-10-20 23:53:59,038addf88c22af65d63a2675aeaf06f062adbcd1,1.0,1.0,1.0,0.0
24,Commit,kareadita_kavita,2022-10-20 01:04:18,b396217e7d17f4a7464dd86429dbbecd929df58c,1.0,1.0,1.0,0.0
25,Commit,kareadita_kavita,2022-10-19 00:07:00,ef662d32356f9fb3bd460dcbec571c6e89e261c5,1.0,1.0,1.0,0.0
26,Commit,kareadita_kavita,2022-10-17 22:47:14,03bd2e91032bce2d45ee6840ec77f1bc2517cc04,1.0,1.0,1.0,0.0
27,Commit,kareadita_kavita,2022-10-17 13:26:36,78762a562669136694103724768f5105c17c08bf,1.0,1.0,1.0,0.0
28,Commit,kareadita_kavita,2022-10-11 00:38:04,8e79c3b839a7d57d08b756f277c68fe6fe446479,1.0,1.0,1.0,0.0
29,Commit,kareadita_kavita,2022-10-10 18:13:25,b6f6b0ed9993b412c21f52a2433fa78adcc1315b,1.0,1.0,1.0,0.0
30,Commit,kareadita_kavita,2022-10-09 16:37:22,0ad1638ec03269e88ff8e9277cbea08b4baa3a35,1.0,1.0,1.0,0.0
31,Commit,kareadita_kavita,2022-10-06 02:45:30,5a75a204db177edb8333a40c5e9ff502d616b28d,1.0,1.0,1.0,0.0
32,Commit,kareadita_kavita,2022-10-05 00:55:41,78b043af742f6160a657e3963133a1c6ac26be51,1.0,1.0,1.0,0.0
33,Commit,kareadita_kavita,2022-10-01 13:35:05,097ec32842a5a5ccf3f673d4b4aad67f20266e3f,1.0,1.0,1.0,0.0
34,Commit,kareadita_kavita,2022-09-26 17:53:41,3792ac3421b2085ff61ce44c14b6e8c95ea5a935,1.0,1.0,1.0,0.0
35,Commit,kareadita_kavita,2022-09-24 20:55:00,ee7d109170ec99ba0019b74499e7f544e00098d4,1.0,1.0,1.0,0.0
36,Commit,kareadita_kavita,2022-09-24 01:17:16,1415687752865060e49370f27bf316f78a7fc60b,1.0,1.0,1.0,0.0
37,Commit,kareadita_kavita,2022-09-23 22:53:44,56622ce800406bb2b859d2a29f21ed003444aa70,1.0,1.0,1.0,0.0
38,Commit,kareadita_kavita,2022-09-23 14:50:45,ab0f13ef7430db5dd56afab3fa84b134ad56a913,1.0,1.0,1.0,0.0
39,Commit,kareadita_kavita,2022-09-22 23:05:48,dec6802f886904622bbd22776fdfab1e36d63e0d,1.0,1.0,1.0,0.0
40,Commit,kareadita_kavita,2022-09-22 21:57:04,d482aa2a1152a4f50d38688d33b1b4445015d8e2,1.0,1.0,1.0,0.0
41,Commit,kareadita_kavita,2022-09-20 23:28:30,aafbce377b5405de3455a19ca0072381bf36721c,1.0,1.0,1.0,0.0
42,Commit,kareadita_kavita,2022-09-20 17:01:42,356d2c8015405c8f36dcd2ce68c57b66f1a9bab6,1.0,1.0,1.0,0.0
