,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,kylebrowning_apnswift,2022-09-27 22:57:53,f29de3d185e93455af5db60b613e30a30f7fb639,0.0,0.0,1.0,0.0
1,Commit,kylebrowning_apnswift,2020-08-27 15:44:06,e22042b66d031c7c99e467b03a99cb6337aca582,15.0,1.0,2.0,0.0
2,Commit,kylebrowning_apnswift,2020-08-27 15:42:54,0e899a87d4a6f35b8ce8763631fd3a36c8dbdc5f,70.0,16.0,7.0,0.0
3,Commit,kylebrowning_apnswift,2020-08-27 15:33:38,aebf627f1847eb85afc58158d51596ae1f0e8b5f,128.0,118.0,8.0,0.0
4,Commit,kylebrowning_apnswift,2020-01-06 04:31:12,aae4dbf29d975d85ef527a44068f106bdffb82f9,250.0,24.0,2.0,0.0
5,Commit,kylebrowning_apnswift,2019-12-09 19:51:48,b5ca1c9279a1748c84c05e83581cc2d739f28380,269.0,72.0,5.0,0.0
6,Commit,kylebrowning_apnswift,2019-12-05 16:14:47,fa54364cae82bfe655c0cea95fa379e41a19cc1a,3.0,4.0,1.0,0.0
7,Commit,kylebrowning_apnswift,2019-09-21 19:16:49,863056aed1ad490bf1379e141215641f84b4ae12,1.0,60.0,4.0,0.0
8,Commit,kylebrowning_apnswift,2019-09-21 19:16:49,463ad1cf6cf663f2c44aa96a89ef8fe567054517,77.0,13.0,5.0,0.0
9,Commit,kylebrowning_apnswift,2019-07-27 15:42:27,e4fc0d79c2bf525e26e3f44217518fe1fe85ea50,2.0,2.0,1.0,0.0
10,Commit,kylebrowning_apnswift,2019-07-27 15:38:24,30538eb785de9e7cf98ddf36e8d95c36060183b8,70.0,18.0,4.0,0.0
11,Commit,kylebrowning_apnswift,2019-07-13 16:11:00,5dd3383d94bba8f659ad292288b472f33a95af24,95.0,65.0,4.0,0.0
12,Commit,kylebrowning_apnswift,2019-07-06 16:49:42,2dfbd80b1411bb620b934fc8d27c9a5e1ff0ee13,4.0,4.0,1.0,0.0
13,Commit,kylebrowning_apnswift,2019-07-06 16:49:42,5ed4d12b528ee54356a1e24da2b46989a8183f5e,119.0,119.0,22.0,0.0
14,Commit,kylebrowning_apnswift,2019-06-05 20:16:59,8fdf27442179740f5336362d649c66398806de80,5.0,3.0,1.0,0.0
15,Commit,kylebrowning_apnswift,2019-05-29 15:15:31,2cd3cfd3376c40cb17b55f6f53da8bae2cbe72ab,22.0,9.0,3.0,0.0
16,Commit,kylebrowning_apnswift,2019-05-22 22:30:22,792a2188f75f172d49a7c7685ecd49d514f1bba1,20.0,14.0,4.0,0.0
