,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,latchset_tang,2021-10-04 12:15:22,80725fda5dd2f98b201af06bb66ee96b1ec8863a,38.0,5.0,6.0,0.0
1,Commit,latchset_tang,2021-09-28 17:47:58,81cb45502a3db12cd92de216b1fc7cadeb41458d,84.0,0.0,7.0,0.0
2,Commit,latchset_tang,2021-09-28 14:36:50,515704c723e25a6abfe0e3ad39708e0107904a35,7.0,2.0,1.0,0.0
3,Commit,latchset_tang,2021-06-21 11:39:05,8affe3580c97280a8da31514d47c4ac4981992ec,4.0,1.0,1.0,0.0
4,Commit,latchset_tang,2021-05-20 13:51:52,262d98fdbbd7109a27b0c06f9a0951defe2717be,1.0,1.0,1.0,0.0
5,Commit,latchset_tang,2021-05-20 13:51:52,3d770c6028943364a37b52a3acf2dbffc22b15cd,50.0,13.0,5.0,0.0
6,Commit,latchset_tang,2021-05-03 14:50:00,fd69796fdb4a3beb5a2c55938374dab6f14df638,86.0,0.0,2.0,0.0
7,Commit,latchset_tang,2021-05-03 14:49:44,5d3098fafa508591648147554ad416435513e86a,9.0,3.0,2.0,0.0
8,Commit,latchset_tang,2021-05-03 13:01:53,69b47ce9a3be7868fece4427bd8aac31500b7d4d,94.0,199.0,7.0,0.0
9,Commit,latchset_tang,2021-04-30 15:08:57,afb60555a7164cce904607efabf622dc0cb5b735,29.0,11.0,2.0,0.0
10,Commit,latchset_tang,2021-04-30 15:08:57,5482313d9d9414cf31c8cc28d1a41a9c121009a2,22.0,6.0,4.0,0.0
11,Commit,latchset_tang,2020-12-09 21:43:58,75106616bb7a4255d2303e4b31205cb2ad1d8bfa,0.0,68.0,2.0,0.0
12,Commit,latchset_tang,2020-12-09 21:43:33,23d4e9f75eee1f6b68ae4e2c4c0368114bc84653,1.0,1.0,1.0,0.0
13,Commit,latchset_tang,2020-12-09 21:43:13,321c5cd482f58434b7f2b91c2a884c3c16ea211f,1.0,0.0,1.0,0.0
14,Commit,latchset_tang,2020-12-03 11:10:12,a4850512195cd7667238747023d77907c59ff674,150.0,0.0,4.0,0.0
15,Commit,latchset_tang,2020-12-01 14:26:24,711945460398ea7875f74b10da833697679e45ba,28.0,170.0,13.0,0.0
16,Commit,latchset_tang,2020-12-01 14:26:24,c71df1dd0c4583bcd5ca24243761cdd7e5b9b0c5,413.0,9.0,11.0,0.0
17,Commit,latchset_tang,2020-12-01 14:26:24,609050586e4863329d2db9b7cb73da5c09eeea2b,500.0,0.0,2.0,0.0
18,Commit,latchset_tang,2020-09-14 12:54:21,2ef4acf9d4f2113c6b1789b64a7357af667a3efe,4.0,4.0,2.0,0.0
19,Commit,latchset_tang,2020-01-30 18:23:02,77785125fb567e3f066bdfd29ab9a2a9fa21aeef,3.0,6.0,2.0,0.0
20,Commit,latchset_tang,2020-01-20 15:13:00,590de271fa0d680ce9a31319bb208db3f5172417,1.0,0.0,1.0,0.0
21,Commit,latchset_tang,2020-01-20 11:28:21,fed902018e218410cff5231cfae47b8f8e72bda3,186.0,163.0,10.0,0.0
22,Commit,latchset_tang,2019-01-09 12:52:04,00fc856ef0ca58f5edc0778255e7a3534022644e,1.0,1.0,1.0,0.0
23,Commit,latchset_tang,2018-08-10 17:45:58,4e9a06eebae1294d91d9aa84f649f86a4772c0b2,1.0,1.0,1.0,0.0
24,Commit,latchset_tang,2018-08-10 17:21:13,dfe171ea7681726721d6b1c756d78ab870adc406,1.0,7.0,1.0,0.0
25,Commit,latchset_tang,2018-08-10 17:01:23,e723fd58d4af25cb67c3361e497b03b85f26b2d1,1.0,667.0,6.0,0.0
26,Commit,latchset_tang,2018-08-09 19:36:46,8eeac73210d0ef2a01e72ee813d413ad336b175c,36.0,410.0,5.0,0.0
27,Commit,latchset_tang,2018-08-09 19:36:46,1c94676558cc99b9ab7ed05fbc4c86cdc0c8cd5d,427.0,237.0,6.0,0.0
28,Commit,latchset_tang,2018-07-30 15:48:59,f8ff685d5c3abc75ad65da3d011f91dc5fd21a42,17.0,4.0,2.0,0.0
29,Commit,latchset_tang,2018-07-30 15:45:31,1db6fc175a761c744bcc9a414cd36c775fa97254,9.0,0.0,1.0,0.0
30,Commit,latchset_tang,2018-07-30 15:45:09,1b45bb967c8578800ca5bd41b5d47cc236edce24,8.0,6.0,1.0,0.0
