,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,libsdl-org_sdl_ttf,2022-12-02 21:21:55,955b298e4d75c0b1bfba360d50af54c17d792449,1.0,16.0,1.0,0.0
1,Commit,libsdl-org_sdl_ttf,2022-11-07 18:15:56,ff952bc8ddc072ebea64cda6c8f27d49097d8eae,486.0,35.0,5.0,0.0
2,Commit,libsdl-org_sdl_ttf,2022-11-06 20:51:04,633302395fd54e79e5154af695a13d24910cbae5,35.0,486.0,5.0,0.0
3,Commit,libsdl-org_sdl_ttf,2022-10-28 15:41:19,22c6cb792fb0a152b80042b5961f679368b12734,1.0,0.0,1.0,0.0
4,Commit,libsdl-org_sdl_ttf,2022-10-20 11:55:00,fb8767cc692dcba6a3dbc020e71b74bf7bb993c5,7.0,6.0,1.0,0.0
5,Commit,libsdl-org_sdl_ttf,2022-09-29 21:33:17,2a28a44ca07cc8e647175e40af59b3b089c48b3f,1.0,1.0,1.0,0.0
6,Commit,libsdl-org_sdl_ttf,2022-09-27 23:19:19,aba1521c0f3e964f592d78af58b0bf3ef7a132ae,2.0,1.0,1.0,0.0
7,Commit,libsdl-org_sdl_ttf,2022-09-19 19:20:28,b56ec43d26b17410ddbdf212414cf2acde055066,36.0,6.0,1.0,0.0
8,Commit,libsdl-org_sdl_ttf,2022-09-17 20:18:53,644b45b3d531b077669b3a413287f68784ef18f0,24.0,26.0,1.0,0.0
9,Commit,libsdl-org_sdl_ttf,2022-09-06 01:41:30,ca3dd0e77fbede82b95fdb7135214327bc3b6608,38.0,35.0,5.0,0.0
10,Commit,libsdl-org_sdl_ttf,2022-07-26 18:43:54,c690859faf3c2d083ca835793cbb38f90a2e9d88,4.0,4.0,1.0,0.0
11,Commit,libsdl-org_sdl_ttf,2022-07-26 18:43:03,8e710a39382d695573aae6c5db7647035bb59595,1.0,1.0,1.0,0.0
12,Commit,libsdl-org_sdl_ttf,2022-07-24 23:50:56,987693f3832b4cf36d6777210e9df06fadf61109,527.0,158.0,10.0,0.0
13,Commit,libsdl-org_sdl_ttf,2022-07-23 15:28:28,760844903a196c315e0f421cefbfb7c3748c76af,5.0,2.0,1.0,0.0
14,Commit,libsdl-org_sdl_ttf,2022-07-23 15:28:10,e54a66409834f9033137e3aca2ab9b196fd8feb6,0.0,7.0,1.0,0.0
15,Commit,libsdl-org_sdl_ttf,2022-07-23 15:27:52,bf83aa906adc9938f468e9f52b85e614d1f24696,4.0,2.0,1.0,0.0
16,Commit,libsdl-org_sdl_ttf,2022-07-23 15:27:21,68726c83ca955b654c001bce7e3de326232a63ae,1.0,1.0,1.0,0.0
17,Commit,libsdl-org_sdl_ttf,2022-07-23 15:26:56,d0e2d21590403d0eaf149f637e9b1f54f8ef2615,8.0,2.0,1.0,0.0
18,Commit,libsdl-org_sdl_ttf,2022-07-22 12:57:12,b288cf7fc5472c7c9ccadbcbc68dcf67437af8e9,1.0,1.0,1.0,0.0
19,Commit,libsdl-org_sdl_ttf,2022-07-22 12:56:18,f6fa3097a3ba3e8db7f084a64453c257bd0c177b,0.0,4.0,1.0,0.0
20,Commit,libsdl-org_sdl_ttf,2022-07-22 12:47:12,935b2fde2e170972be522162eaf1434e98d6605a,1.0,1.0,1.0,0.0
21,Commit,libsdl-org_sdl_ttf,2022-07-22 12:46:41,c5478b14d639afc405f03c5bbdddbde58b4981bb,3.0,2.0,1.0,0.0
22,Commit,libsdl-org_sdl_ttf,2022-07-08 16:50:11,b36f876a61d450d12042ac26d7e689ef1c472413,108.0,8.0,2.0,0.0
23,Commit,libsdl-org_sdl_ttf,2022-07-07 18:51:56,bfe3cae3cd796037c08ba36f104ae053272a5d17,11.0,11.0,1.0,0.0
24,Commit,libsdl-org_sdl_ttf,2022-07-07 18:44:38,fc8ff6cbdc332ba5ad150d0fedfc7be94c448339,16.0,16.0,8.0,0.0
25,Commit,libsdl-org_sdl_ttf,2022-07-07 18:40:41,13152c6f9b075fcf994962e246ac00db543e3d87,2.0,0.0,1.0,0.0
26,Commit,libsdl-org_sdl_ttf,2022-07-07 12:46:38,f5e4828ffc9d3a84f00011fede4446aecb4a685f,1.0,1.0,1.0,0.0
27,Commit,libsdl-org_sdl_ttf,2022-07-06 15:15:20,0ec695ffde84c189c4bff2a79d6555c633436722,8.0,108.0,2.0,0.0
28,Commit,libsdl-org_sdl_ttf,2022-07-06 15:00:19,485916c8da3b01a9e5aa2a66c00d97ba73033207,1.0,3.0,1.0,0.0
29,Commit,libsdl-org_sdl_ttf,2022-07-06 15:00:19,9cf59647acda671e41f148c90b3a00bc46719c05,1.0,1.0,1.0,0.0
30,Commit,libsdl-org_sdl_ttf,2022-07-06 14:49:30,b31ee728430e71f1f6e927f89284af9fd58bd1d9,140.0,40.0,10.0,0.0
31,Commit,libsdl-org_sdl_ttf,2022-07-06 08:20:24,fa9adea410b76ac48e038eaa19badd14139793eb,67.0,63.0,1.0,0.0
32,Commit,libsdl-org_sdl_ttf,2022-07-01 22:50:02,ef1575c0f4213bbe633afe6554d815fc9192af4d,7.0,15.0,1.0,0.0
33,Commit,libsdl-org_sdl_ttf,2022-06-29 02:15:10,841a895141e46b72f9304d3a7f1dc0f7f70e6144,10.0,10.0,1.0,0.0
34,Commit,libsdl-org_sdl_ttf,2022-06-29 01:50:44,7e71d0586c2c179750cded0537a272242b5b9d3c,18.0,17.0,10.0,0.0
35,Commit,libsdl-org_sdl_ttf,2022-06-24 17:01:24,06f1158066a5556f074fe020e407e6efcc9ff8e1,19.0,19.0,1.0,0.0
36,Commit,libsdl-org_sdl_ttf,2022-06-20 14:20:46,455d885c33dd26a21486bc2a2ede51aca4541679,7.0,17.0,1.0,0.0
