,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,lionello_secp256k1-js,2022-09-24 04:21:10,821158f075c212239c5397043189f3c4b4a0f924,1.0,1.0,1.0,0.0
1,Commit,lionello_secp256k1-js,2022-09-24 04:10:30,200ec679888d5ad85b1a9b38b18640e788f43760,2.0,2.0,2.0,0.0
2,Commit,lionello_secp256k1-js,2022-09-24 04:07:59,5191cfccecbf8837eed4f559b6182f76fd540080,9.0,9.0,3.0,0.0
3,Commit,lionello_secp256k1-js,2022-09-23 23:35:54,302800f0370b42e360a33774bb808274ac729c2e,58.0,6.0,4.0,1.0
4,Commit,lionello_secp256k1-js,2022-09-23 23:34:14,27bc5c17204db0052de706cfdd78825749b45cbb,3.0,3.0,1.0,0.0
5,Commit,lionello_secp256k1-js,2022-09-23 23:30:30,0db8b985c9f7792f521d704b4db1f8bdadfa5052,531.0,77.0,2.0,0.0
6,Commit,lionello_secp256k1-js,2022-09-23 23:29:06,387982d47f3e1de9d75d18dfbbc3c5eace18f5af,1.0,0.0,1.0,0.0
7,Commit,lionello_secp256k1-js,2022-09-23 23:28:35,439b67c59e930825b4aa04ca3fd2f56852fe8ab6,6.0,2.0,2.0,0.0
8,Commit,lionello_secp256k1-js,2022-09-23 23:27:23,80e2b9c63247e6b31db7316f147d8489bec2241a,3.0,3.0,1.0,0.0
9,Commit,lionello_secp256k1-js,2019-06-18 02:09:17,a76379d733fb1eb2a28371a6fcb03f1f939b7ec1,94.0,74.0,3.0,0.0
10,Commit,lionello_secp256k1-js,2018-12-12 02:51:24,e0f1fe6be7d2cc5f8e11fc9c0ea1eba08d4de373,1.0,0.0,1.0,0.0
11,Commit,lionello_secp256k1-js,2018-12-12 02:43:09,45de286a573f8494977c8182bf59f7b81c81cc3e,10.0,0.0,1.0,0.0
12,Commit,lionello_secp256k1-js,2018-09-19 08:57:25,6459ccc7f52f8917cdb1ebb13b70547e76ec88cb,0.0,1.0,1.0,0.0
13,Commit,lionello_secp256k1-js,2018-09-19 08:53:21,1001dc5474aee3fb589679649ecdc7f9aa29ba75,1.0,1.0,1.0,0.0
14,Commit,lionello_secp256k1-js,2018-08-10 04:52:50,c101f907ede73cc94e935a11b36cbe53352dba90,4.0,7.0,1.0,0.0
15,Commit,lionello_secp256k1-js,2018-08-10 04:01:40,28412457ddb4150b5cb5fcc2a8905dee4397060e,1.0,1.0,1.0,0.0
16,Commit,lionello_secp256k1-js,2018-08-10 04:00:23,9762a82d1225826a30b3d1181d9020a38cdac8d2,1.0,1.0,1.0,0.0
17,Commit,lionello_secp256k1-js,2018-08-10 04:00:11,a47fd8238f01e1ca993b2f613a52381c42889ea5,2.0,0.0,1.0,0.0
18,Commit,lionello_secp256k1-js,2018-08-10 03:56:13,62358ab2b69ebe59fc081bc4e88d12af4b182215,38.0,0.0,1.0,0.0
19,Commit,lionello_secp256k1-js,2018-08-10 01:00:10,b604b855acc2058a9ff08e13fce2e55f69797749,16.0,0.0,1.0,0.0
20,Commit,lionello_secp256k1-js,2018-08-10 00:59:58,b3596a0587a71048fdded98556f143b57d2024e0,1.0,1.0,1.0,0.0
21,Commit,lionello_secp256k1-js,2018-08-10 00:43:58,3b40fae267bc9f8c0e18b1afb0e2b71dc15e7a60,7.0,0.0,1.0,0.0
22,Commit,lionello_secp256k1-js,2018-08-10 00:34:39,13374e22e641c89dc5a43761646797540f3699cf,864.0,0.0,5.0,0.0
