,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,liyansong2018_elfspirit,2022-11-30 13:41:07,5a98309a2d05b017ad8031e0d7dcb73b1ca25e55,1.0,1.0,1.0,0.0
1,Commit,liyansong2018_elfspirit,2022-11-28 12:00:25,6853757df191556a72f812797c922763233a5f1e,13.0,1.0,1.0,0.0
2,Commit,liyansong2018_elfspirit,2022-11-28 11:41:49,33b440af225e0ca3e1097bcb2fe0733520a84571,9.0,3.0,1.0,0.0
3,Commit,liyansong2018_elfspirit,2022-11-28 11:04:26,1b14141b0e311a28a1bfed846404d89e0221878c,48.0,6.0,4.0,0.0
4,Commit,liyansong2018_elfspirit,2022-09-27 09:35:24,e3fc1ad02500685794ab62f5afd0aa3ce6f604eb,8.0,2.0,3.0,0.0
5,Commit,liyansong2018_elfspirit,2022-09-27 09:14:33,91315cb6ff568074b1ec79be3024f92451f2cb0c,22.0,10.0,1.0,0.0
6,Commit,liyansong2018_elfspirit,2022-09-27 08:58:32,5fca083cdc27f9403463cd884b32a2b7a41fe45a,22.0,10.0,1.0,0.0
7,Commit,liyansong2018_elfspirit,2022-09-24 12:27:29,7d8a58fd7c2a487610b3f5cf05235eec5ca49c1d,0.0,19.0,1.0,0.0
8,Commit,liyansong2018_elfspirit,2022-09-24 12:24:07,d5d83991b0dca8b8bc01266d492433a950aebc6b,14.0,8.0,5.0,0.0
9,Commit,liyansong2018_elfspirit,2022-09-24 12:14:16,c9d15c944cad628bda60aa5a754b122ede75f88c,54.0,18.0,7.0,0.0
10,Commit,liyansong2018_elfspirit,2022-09-24 09:54:09,505cfc47a6c6314f0f8dca0557bf7413475a67eb,273.0,28.0,9.0,0.0
11,Commit,liyansong2018_elfspirit,2022-09-23 12:32:30,ff53f92f0c8d91013d020b567f4e4c43e1299c53,3.0,2.0,1.0,0.0
12,Commit,liyansong2018_elfspirit,2022-09-23 12:06:54,a0e0d90bb7833e5b6515192f3a84b9aa066e8b2e,12.0,5.0,1.0,0.0
13,Commit,liyansong2018_elfspirit,2022-09-17 09:43:07,b8ea64422f3bd3b63cb3a4cc8f6650888c7f5377,6.0,1.0,2.0,0.0
14,Commit,liyansong2018_elfspirit,2022-09-17 09:33:00,4eb921a51bf09879ef7cc0dba5ee2eabb769909c,86.0,3.0,2.0,0.0
15,Commit,liyansong2018_elfspirit,2022-09-17 09:14:41,0254b691f73b71cd307d25cec50faba46d50da51,30.0,59.0,2.0,0.0
16,Commit,liyansong2018_elfspirit,2022-09-17 09:07:35,1627ac3991040e6e7dff8d72c38b09f91d6bd3c5,35.0,7.0,4.0,0.0
17,Commit,liyansong2018_elfspirit,2022-09-17 08:38:23,2747c5a30ceaba9b5dcd625f0b9ff003baaf8c8c,198.0,5.0,5.0,0.0
18,Commit,liyansong2018_elfspirit,2022-09-17 06:34:53,119d1c4640f7b305b048abf41562c16320756818,2.0,2.0,1.0,0.0
19,Commit,liyansong2018_elfspirit,2022-03-25 12:53:56,7fd1fa6647fc9d331302a729c2e08864e970da49,15.0,4.0,3.0,0.0
20,Commit,liyansong2018_elfspirit,2022-03-25 12:39:48,54d23e310d7e0689d6fb7811fb1873683214b2b2,7.0,3.0,1.0,0.0
21,Commit,liyansong2018_elfspirit,2022-03-25 12:29:11,4bff157bbbcf8ebf494eeea14be155775f077025,17.0,4.0,2.0,0.0
22,Commit,liyansong2018_elfspirit,2022-03-25 09:57:47,567dd7658ac42004e0d41ac0abb0e54ad0b85955,14.0,8.0,2.0,0.0
23,Commit,liyansong2018_elfspirit,2022-02-17 04:46:56,8bb53c8a252b894d1b37cb629456e1e0e4e2d456,29.0,0.0,1.0,0.0
24,Commit,liyansong2018_elfspirit,2022-02-17 04:46:23,bd9d23f0c94f2d8df4af4d6db1b4d7e92a7caae1,1.0,1.0,1.0,0.0
25,Commit,liyansong2018_elfspirit,2022-02-17 04:44:01,2853d2dd854421954a1e93bb6cddc244fe5257d5,22.0,16.0,3.0,0.0
26,Commit,liyansong2018_elfspirit,2022-02-16 10:05:35,8f1f9013ad5dc0207cf327745dfe077fc0e1cdaa,6.0,2.0,1.0,0.0
27,Commit,liyansong2018_elfspirit,2022-02-16 09:46:36,098c7e1fc2cbe398f780f0e876550191ecfcffe3,8.0,13.0,1.0,0.0
28,Commit,liyansong2018_elfspirit,2022-02-16 09:40:29,2a23f8d1b1110c87856454417110a52089f76c09,28.0,6.0,1.0,0.0
29,Commit,liyansong2018_elfspirit,2022-02-16 09:36:45,bbc31aaa126370301a6fcdb79fad485f9978087a,30.0,2.0,1.0,0.0
30,Commit,liyansong2018_elfspirit,2022-02-16 09:26:50,f01e82e1f427ff7157643371c695b09756345c2a,18.0,1.0,1.0,0.0
31,Commit,liyansong2018_elfspirit,2022-02-16 06:47:50,044a43446ab63277edee53f63061c78dcf18671b,1.0,1.0,1.0,0.0
32,Commit,liyansong2018_elfspirit,2022-02-15 09:36:18,2b2d10339931d31baf02d593f352fafdc288a170,3.0,1.0,1.0,0.0
33,Commit,liyansong2018_elfspirit,2022-02-15 09:27:02,5acf6a95ea27da8e2df048345eb8c830c9f12f94,805.0,762.0,3.0,0.0
34,Commit,liyansong2018_elfspirit,2022-02-15 08:30:45,24a1b5ccf6970a26f3f3416f9b55c1077313798e,2.0,2.0,2.0,0.0
35,Commit,liyansong2018_elfspirit,2022-02-15 08:15:16,40e925dc1e95ccb84e720df9a2a911b90c8b7a5c,608.0,545.0,3.0,0.0
36,Commit,liyansong2018_elfspirit,2022-02-11 10:08:36,5652fea4a9aeb56a19c6e078bb397e15e3dbbf07,2.0,0.0,1.0,0.0
37,Commit,liyansong2018_elfspirit,2022-02-11 07:44:44,a119975d1249629e10997a93768a05ed5adf3f9d,9.0,1.0,3.0,0.0
38,Commit,liyansong2018_elfspirit,2022-01-29 03:28:54,4daccb890c887e2fb88bbdcb76badad376539e7d,1.0,1.0,1.0,0.0
39,Commit,liyansong2018_elfspirit,2022-01-23 13:17:42,c5b0f5a9a24f2451bbeda4751d67633bc375e608,19.0,0.0,1.0,1.0
40,Commit,liyansong2018_elfspirit,2022-01-22 09:20:47,bc68101afb69569f4c2e4d3be30d4802f3102562,29.0,1.0,2.0,0.0
41,Commit,liyansong2018_elfspirit,2021-11-16 14:59:54,f686418eaceba83625f495692ad3dc4462c642c9,23.0,6.0,1.0,0.0
42,Commit,liyansong2018_elfspirit,2021-11-12 15:21:14,ebbe64bf12f177c00a0fefef5fa86a3e51c2febc,5.0,2.0,1.0,0.0
43,Commit,liyansong2018_elfspirit,2021-11-10 15:28:34,059cf60f9b15f49904c4f76dbbfb4840cc0d2a82,68.0,19.0,1.0,0.0
44,Commit,liyansong2018_elfspirit,2021-11-09 14:58:06,89528db68e7e67d20e8a2698965104f1d32eec66,20.0,26.0,1.0,0.0
45,Commit,liyansong2018_elfspirit,2021-11-09 14:51:09,4873b6fc9db3f937105713faba60e5876ce188e6,29.0,1.0,2.0,0.0
46,Commit,liyansong2018_elfspirit,2021-11-08 14:59:47,6cf30fc949c9a9f9e611328c55ca5e6094232348,7.0,6.0,1.0,0.0
47,Commit,liyansong2018_elfspirit,2021-11-07 14:48:38,55d5d0b3d645f93522f931cfbce8de69602e1ba8,1.0,1.0,1.0,0.0
48,Commit,liyansong2018_elfspirit,2021-11-07 14:44:42,a1e93f6fa52042a82c6887207dd4cee866934c0b,45.0,18.0,3.0,0.0
49,Commit,liyansong2018_elfspirit,2021-11-07 13:52:04,dd9d9b37797488120047d431ee766293bbc1e141,100.0,0.0,1.0,0.0
50,Commit,liyansong2018_elfspirit,2021-11-07 13:48:03,68c540df97c049a90b0646e7295066e2e0d18540,6657.0,0.0,17.0,0.0
