,type,name,created_at,Hash,Add,Del,Files,Vuln
8126,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-03-01 14:23:53 UTC,,,,,
19955,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-04-07 14:14:00 UTC,,,,,
28039,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-03-07 14:11:13 UTC,,,,,
53531,PullRequestEvent,lukashinsch_spring-boot-actuator-logview,2015-05-18 20:09:24 UTC,,,,,
119569,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-03-01 13:40:12 UTC,,,,,
120877,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-02-25 21:15:08 UTC,,,,,
131495,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-27 22:38:59 UTC,,,,,
163085,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-27 23:01:25 UTC,,,,,
164264,CreateEvent,lukashinsch_spring-boot-actuator-logview,2015-03-01 11:26:06 UTC,,,,,
192363,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-03-07 08:25:55 UTC,,,,,
224824,IssueCommentEvent,lukashinsch_spring-boot-actuator-logview,2015-03-29 15:13:00 UTC,,,,,
254481,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-03-01 13:58:53 UTC,,,,,
267557,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-03-28 14:44:59 UTC,,,,,
301507,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-26 17:04:29 UTC,,,,,
398121,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-05-23 16:15:39 UTC,,,,,
408654,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-25 22:08:36 UTC,,,,,
414644,IssueCommentEvent,lukashinsch_spring-boot-actuator-logview,2015-03-27 21:23:04 UTC,,,,,
422613,IssueCommentEvent,lukashinsch_spring-boot-actuator-logview,2015-02-28 20:08:03 UTC,,,,,
440235,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-03-01 13:54:16 UTC,,,,,
445516,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-05-24 09:03:20 UTC,,,,,
500633,DeleteEvent,lukashinsch_spring-boot-actuator-logview,2015-03-28 15:08:20 UTC,,,,,
511224,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-25 21:09:19 UTC,,,,,
511234,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-28 20:58:24 UTC,,,,,
524926,IssueCommentEvent,lukashinsch_spring-boot-actuator-logview,2015-03-29 15:36:39 UTC,,,,,
532041,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-02-25 21:10:24 UTC,,,,,
535984,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-02-26 21:00:19 UTC,,,,,
602062,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-05-25 16:36:41 UTC,,,,,
607956,IssueCommentEvent,lukashinsch_spring-boot-actuator-logview,2015-03-28 15:07:47 UTC,,,,,
631344,ReleaseEvent,lukashinsch_spring-boot-actuator-logview,2015-02-28 22:40:03 UTC,,,,,
646686,DeleteEvent,lukashinsch_spring-boot-actuator-logview,2015-02-28 22:39:26 UTC,,,,,
647374,IssueCommentEvent,lukashinsch_spring-boot-actuator-logview,2015-03-28 14:51:17 UTC,,,,,
681300,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-02-28 22:00:46 UTC,,,,,
690604,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-02-28 22:41:18 UTC,,,,,
761743,IssuesEvent,lukashinsch_spring-boot-actuator-logview,2015-03-27 21:19:33 UTC,,,,,
776173,PushEvent,lukashinsch_spring-boot-actuator-logview,2015-04-07 19:50:15 UTC,,,,,
