,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,mganss_htmlsanitizer,2022-11-07 18:28:29,7dda42358e7ca16ea499a251f28e1cfd9de09c9a,13.0,1.0,2.0,0.0
1,Commit,mganss_htmlsanitizer,2022-10-12 16:24:41,4347747242ca80bb7c310e7973863eec4bbe44da,2.0,2.0,1.0,0.0
2,Commit,mganss_htmlsanitizer,2022-09-09 09:16:49,aa55c48155939260b456cf14f71c42f808212b58,1.0,1.0,1.0,0.0
3,Commit,mganss_htmlsanitizer,2022-08-31 17:24:18,22cbb58032fec8a0b5ae8196018abc65c1e42ecd,0.0,0.0,0.0,0.0
4,Commit,mganss_htmlsanitizer,2022-08-31 17:24:08,dc7c7a48c5bcddddf08b737b53265583c98e6ead,1.0,1.0,1.0,0.0
5,Commit,mganss_htmlsanitizer,2022-08-24 09:31:32,a5c7e22eec94f00d5efaff17ce31bf5a9f0583cc,1.0,1.0,1.0,0.0
6,Commit,mganss_htmlsanitizer,2022-08-24 09:24:30,8682181da38b24042b459fc36da27174682ccf8e,452.0,3.0,2.0,0.0
7,Commit,mganss_htmlsanitizer,2022-08-09 10:09:07,107ac1d323045128278b5901022048e576b9552b,2.0,1.0,1.0,0.0
8,Commit,mganss_htmlsanitizer,2022-08-09 10:08:18,7ca80bf8a770dd15baa41ab80b9b22d43ff85db0,2.0,1.0,1.0,0.0
9,Commit,mganss_htmlsanitizer,2022-08-09 10:02:39,90e3686ae922549ff1842282b2b87e4dc3245a61,24.0,12.0,2.0,0.0
10,Commit,mganss_htmlsanitizer,2022-07-25 13:32:06,152f43404928d4e5faf18cfc4691f16add31f7b6,12.0,12.0,12.0,0.0
11,Commit,mganss_htmlsanitizer,2022-07-22 17:25:14,fbf5cced908001b847242a1a8caf48146f6d1ae4,14.0,14.0,2.0,0.0
12,Commit,mganss_htmlsanitizer,2022-07-21 11:30:50,fd98d3fa65b313c832328b4c7eca4234b7bfd42a,16.0,13.0,3.0,0.0
13,Commit,mganss_htmlsanitizer,2022-07-21 11:14:17,5c4d1a3a5af5f394078c7f57a09f9672c3121917,2.0,2.0,2.0,0.0
14,Commit,mganss_htmlsanitizer,2022-07-16 16:10:30,1d5ec7939a36c4a6a89089f103121e5c3577a989,43.0,52.0,3.0,0.0
15,Commit,mganss_htmlsanitizer,2022-07-16 12:24:27,12b29d6f4b905e6931cdd8884904af0d56425168,13.0,19.0,2.0,0.0
16,Commit,mganss_htmlsanitizer,2022-07-15 15:34:12,e56c36877a2090921b833808e9df468f6c0c2ee6,118.0,63.0,2.0,0.0
17,Commit,mganss_htmlsanitizer,2022-07-12 15:51:50,242add55c43894cbaa8e75d8c8c7b8920d95aa11,374.0,351.0,2.0,0.0
18,Commit,mganss_htmlsanitizer,2022-07-11 20:42:25,b21e34a9c3f37b7f1af56aba5cab8fe73a015bd0,9.0,9.0,2.0,0.0
19,Commit,mganss_htmlsanitizer,2022-06-01 09:04:57,fd1a2bc571fd0cca260f36f6a8b0b9189ceaa107,3.0,3.0,2.0,0.0
20,Commit,mganss_htmlsanitizer,2022-05-05 15:06:12,00b0526cabfdd4e43ad3249068d198a62106cc1f,0.0,0.0,0.0,0.0
21,Commit,mganss_htmlsanitizer,2022-05-05 15:06:01,8295f2496016243860c4c8eff8e71e5d2d79538b,3.0,3.0,1.0,0.0
22,Commit,mganss_htmlsanitizer,2022-05-05 14:52:44,872e0c29a7703896c8de03ea51c4ae5cb6ee3e46,1.0,1.0,1.0,0.0
23,Commit,mganss_htmlsanitizer,2022-05-05 14:50:14,462173de30093c028f2038af58436e9ebfd0ec74,1.0,1.0,1.0,0.0
24,Commit,mganss_htmlsanitizer,2022-05-05 11:53:20,72089af4a9a1e5ec51eae4ab80931378ad3de146,2.0,2.0,1.0,0.0
25,Commit,mganss_htmlsanitizer,2022-02-24 12:29:54,e467ebe7bbd3d081a7e3101d338c0b117b704a4b,0.0,0.0,0.0,0.0
26,Commit,mganss_htmlsanitizer,2022-02-24 12:29:46,fb361560f5b615eb0a88e951273054e6d78cca13,24.0,2.0,2.0,0.0
27,Commit,mganss_htmlsanitizer,2022-01-25 16:03:31,ea681df15ba8690bccb55743dee2f8ea16f1552d,1.0,1.0,1.0,0.0
28,Commit,mganss_htmlsanitizer,2022-01-25 15:57:53,c16b0432a5c0fac4677036a15092c3de28b0b832,63.0,3.0,3.0,0.0
29,Commit,mganss_htmlsanitizer,2022-01-06 11:31:02,627aeb487a47468fff65a503dc05b60fd912e863,14.0,2.0,2.0,0.0
30,Commit,mganss_htmlsanitizer,2021-12-01 15:03:10,fd1220fe1b90bc2805dc2597f3d56c51eccf7aaa,1.0,1.0,1.0,0.0
31,Commit,mganss_htmlsanitizer,2021-11-29 17:10:00,50c96e7a91d04477e875ebf314e34ddc837344ce,25.0,0.0,2.0,0.0
32,Commit,mganss_htmlsanitizer,2021-11-29 16:51:36,5e3b9f56d8b01e30e5c7b11c9ea3da5b80c1d4ca,2.0,2.0,2.0,0.0
33,Commit,mganss_htmlsanitizer,2021-11-29 16:49:50,7e93c2814e914d79702635b49d71bfab9cc0ab9a,4.0,2.0,2.0,0.0
34,Commit,mganss_htmlsanitizer,2021-11-22 16:28:56,d58003961a741aefa6488ffc40098a41c5a1efa6,107.0,1.0,1.0,0.0
35,Commit,mganss_htmlsanitizer,2021-11-09 10:36:50,30bc82d305b72b8e2c9cb48edf6ee2676f592137,2.0,2.0,1.0,0.0
36,Commit,mganss_htmlsanitizer,2021-11-04 17:54:14,55ff71d3cce8dfd9c8e6b7d62682673732c910a5,25.0,6.0,2.0,0.0
37,Commit,mganss_htmlsanitizer,2021-08-06 14:19:36,e6ae54ada8a77359a9c3cbc9d029d622e44e8f04,1.0,2.0,1.0,0.0
38,Commit,mganss_htmlsanitizer,2021-08-06 14:09:33,ba12753d0e2f8bde83482b870581a6ed024d7d3c,5.0,0.0,1.0,0.0
39,Commit,mganss_htmlsanitizer,2021-08-06 14:03:11,8331d3ee5c3e6d393cbea939ff16bf53ff3c27a3,1.0,1.0,1.0,0.0
40,Commit,mganss_htmlsanitizer,2021-06-14 10:05:01,0e5e356280ebc3ecd2da9e788fbc6ab96aa2be33,6.0,10.0,4.0,0.0
41,Commit,mganss_htmlsanitizer,2021-06-11 15:21:40,5994589848bdc843b536e6db44363119c1f1a69e,17.0,6.0,2.0,0.0
42,Commit,mganss_htmlsanitizer,2021-05-04 10:08:43,1cb537a82df3601130a5d24fed204b81e099db08,2.0,0.0,1.0,0.0
43,Commit,mganss_htmlsanitizer,2021-04-23 16:23:01,ebd153fd73c1a5b7297391dc36dbfd6d7e427910,0.0,0.0,0.0,0.0
44,Commit,mganss_htmlsanitizer,2021-04-23 16:22:32,e3505d5f53751fc05c223e568b75ec27c8481820,1.0,1.0,1.0,0.0
45,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,4743ddfc2414c75c2a954cab2422e498ae0fce08,11.0,10.0,3.0,0.0
46,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,0b655ba9fea1644fdc768229754e7b7068337661,2.0,2.0,2.0,0.0
47,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,cd49f386ae587695dae6f9c6efe809a69731ef0b,12.0,12.0,2.0,0.0
48,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,8298c110e8ce0f26755861d2b257a176daf08396,24.0,1.0,2.0,0.0
49,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,d108418f0becfb5c4d89f3a4ffb71791af58a224,9.0,8.0,2.0,0.0
50,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,75092d19281da65487d5adf44d5dd3ea78fa2b71,1.0,1.0,1.0,0.0
51,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,a4866e65ca6f482b374ab4bbdf08d763f0f88a8c,1.0,1.0,1.0,0.0
52,Commit,mganss_htmlsanitizer,2021-04-23 15:26:53,0a1c9f1d84a61e7d9ac4f910571383f1638b2003,176.0,86.0,5.0,0.0
53,Commit,mganss_htmlsanitizer,2021-04-23 15:21:03,91ea0ca1a44b8d2cefb0ad3a692c17895226fd14,11.0,10.0,3.0,0.0
54,Commit,mganss_htmlsanitizer,2021-04-23 15:08:36,7d8e44e754aff25de5461533a880ea120849565c,14546.0,0.0,7.0,0.0
55,Commit,mganss_htmlsanitizer,2021-04-23 14:56:34,61cef0ed80eb1f1fab81451891843622e7f95ee8,2.0,2.0,2.0,0.0
56,Commit,mganss_htmlsanitizer,2021-04-23 14:49:21,7261670dcf1ae7715ccd93b1fb14700486eb589e,12.0,12.0,2.0,0.0
57,Commit,mganss_htmlsanitizer,2021-04-23 14:47:16,e1600d8b0158b427bb8e2c4a181e671c1de98c24,0.0,0.0,0.0,0.0
58,Commit,mganss_htmlsanitizer,2021-04-23 14:47:05,f44957533da447e5571349df8c7e55e7d5fbd19f,24.0,1.0,2.0,0.0
59,Commit,mganss_htmlsanitizer,2021-04-23 10:21:11,5ea5b4b3120144efb57eaae20d112f46faafe723,9.0,8.0,2.0,0.0
60,Commit,mganss_htmlsanitizer,2021-04-23 10:17:19,db57a60ff042b18c74dbd76e96b071b72db1e07a,0.0,0.0,0.0,0.0
61,Commit,mganss_htmlsanitizer,2021-04-23 10:17:09,5709cd0ce43ac164a4020c6203488f1ef55ee509,176.0,86.0,5.0,0.0
62,Commit,mganss_htmlsanitizer,2021-04-22 15:40:43,61572df63e890172b56f9ef651469ebc24ce501c,8.0,6.0,1.0,0.0
63,Commit,mganss_htmlsanitizer,2021-04-06 15:46:42,4a464988767ba0d58e6fa19a5ddc44094b3e992b,4.0,15.0,2.0,0.0
64,Commit,mganss_htmlsanitizer,2021-01-15 12:11:48,2eae69e9b78947fd2b20e1354a37c8a899a1fffc,0.0,0.0,0.0,0.0
65,Commit,mganss_htmlsanitizer,2021-01-15 12:11:37,db7c2d5dce79c14b46717abb5f25d933fe73a8df,7.0,1.0,1.0,0.0
66,Commit,mganss_htmlsanitizer,2020-12-23 11:42:48,a3a7602a44d4155d51ec0fbbedc2a49e9c7e2eb8,14.0,1.0,2.0,1.0
67,Commit,mganss_htmlsanitizer,2020-12-02 12:00:46,210ccef837125f89162588211e4c81b41b0c3434,3.0,3.0,1.0,0.0
68,Commit,mganss_htmlsanitizer,2020-12-02 11:57:38,db2df21eb3c2bc2b46585c0ab3974e3d7ac70371,1.0,3.0,1.0,0.0
69,Commit,mganss_htmlsanitizer,2020-11-09 10:34:20,0ebe6d646604e71909edc43facdba81edade2245,3.0,2.0,1.0,0.0
70,Commit,mganss_htmlsanitizer,2020-10-20 11:33:40,441c5418679eb0bcf4696fc82a6fefa18da09593,0.0,0.0,0.0,0.0
71,Commit,mganss_htmlsanitizer,2020-10-20 11:33:27,bffa44a9b3e4e36afe35484fb06952352ad2e502,2.0,0.0,1.0,0.0
72,Commit,mganss_htmlsanitizer,2020-09-29 11:42:11,59372b0497425db042b35123db4c52761d66fb3e,0.0,1.0,1.0,0.0
73,Commit,mganss_htmlsanitizer,2020-08-03 17:11:22,c281b1065eb188a533d7bbf68bcd1a46031a33c0,2.0,1.0,2.0,0.0
74,Commit,mganss_htmlsanitizer,2020-08-03 17:03:53,fd4ff7cd03ea152e3c3ab2d15d906aa282eb78e9,12.0,12.0,3.0,0.0
75,Commit,mganss_htmlsanitizer,2020-08-03 16:51:51,e70ba6cff56eb8590d66212b265b56d5f6303879,0.0,0.0,0.0,0.0
76,Commit,mganss_htmlsanitizer,2020-08-03 16:07:15,2ad943b2399aff3ff6985b9d623328755c9148e6,2.0,2.0,2.0,0.0
77,Commit,mganss_htmlsanitizer,2020-08-03 11:12:27,82ee2832848759cce83c751b52dd4518a48cbb23,2.0,4.0,2.0,0.0
78,Commit,mganss_htmlsanitizer,2020-08-03 11:11:09,f97617023907db23feed0a0f365e9d5808a7d180,39.0,1.0,2.0,0.0
79,Commit,mganss_htmlsanitizer,2020-07-31 17:06:42,22d161228bd22fd787904c415c82af0cd60de918,0.0,22.0,1.0,0.0
80,Commit,mganss_htmlsanitizer,2020-07-31 17:04:39,41db7776c48fd1547bb0c5cc8af5319cceaedbc0,29.0,13.0,3.0,0.0
81,Commit,mganss_htmlsanitizer,2020-07-31 15:54:29,70ea1230231e3e159675cd45363fb814fd247bbc,14.0,5.0,2.0,0.0
82,Commit,mganss_htmlsanitizer,2020-07-31 13:57:12,5ce91dec347ee48932206eef90c0d8fb83e1d9bc,25.0,0.0,2.0,0.0
83,Commit,mganss_htmlsanitizer,2020-07-28 15:04:57,32012e0f52f7558fdd34967af8fb83e3ca4a3d08,33.0,0.0,1.0,0.0
84,Commit,mganss_htmlsanitizer,2020-06-12 14:25:06,8302a0a10e9ed1394cb7a77fb42ee2035a60cb7a,3.0,3.0,2.0,0.0
85,Commit,mganss_htmlsanitizer,2020-04-01 13:49:45,d7d4105a41017264ba7f7e1685197497b8f5d2b4,5.0,5.0,1.0,0.0
86,Commit,mganss_htmlsanitizer,2020-04-01 13:43:18,162855bf8b75652859c0a4aac3fd06387ce0650e,6.0,59.0,3.0,0.0
87,Commit,mganss_htmlsanitizer,2020-02-28 16:01:21,e709a525f3f356ee1d8e0bab138403d1e41795ad,1.0,1.0,1.0,0.0
88,Commit,mganss_htmlsanitizer,2020-02-28 15:50:59,146d5e4f606f5f591726698e6f45d136a428d529,19.0,30.0,3.0,0.0
89,Commit,mganss_htmlsanitizer,2020-01-24 12:40:13,4afaf4bd571497d163b66d59e574359f98ada9ec,8.0,2.0,2.0,0.0
90,Commit,mganss_htmlsanitizer,2020-01-24 11:41:21,088a429ff4187bbae94bd4ea84d2d5250807d7af,1.0,1.0,1.0,0.0
91,Commit,mganss_htmlsanitizer,2020-01-24 11:37:32,60e35106c19425ad50da77f0ac23201743b6e45b,3.0,3.0,2.0,0.0
92,Commit,mganss_htmlsanitizer,2019-10-03 05:32:44,5d10d3b07ecaf07ae1f937a3216c26231603c95c,25.0,6.0,2.0,0.0
93,Commit,mganss_htmlsanitizer,2019-07-22 15:04:44,e114c6f4e1f8ebd0c11e6f88430e7c96355323f1,132.0,25.0,1.0,0.0
94,Commit,mganss_htmlsanitizer,2019-06-26 14:01:59,6273ebb899350d808f153bf0af1103a7399a0c85,1.0,3.0,1.0,0.0
95,Commit,mganss_htmlsanitizer,2019-06-26 11:20:16,8be095675b904864d4b7c323c3ff893e7739a0ca,0.0,0.0,0.0,0.0
96,Commit,mganss_htmlsanitizer,2019-06-02 13:37:10,ada47cb1608ee567586ae00d53c9e08a9debc6e3,1.0,3.0,1.0,0.0
97,Commit,mganss_htmlsanitizer,2019-06-02 13:34:02,a27b0d80a7c6128fd3f3b6d52c5e65aebf0af8ba,0.0,0.0,0.0,0.0
98,Commit,mganss_htmlsanitizer,2019-06-02 12:36:53,a258535f13ebed189a4a74788e966ea73ddbe582,18.0,5.0,2.0,0.0
99,Commit,mganss_htmlsanitizer,2019-05-15 12:22:01,7fc84579c36071e76478dad7b7904e0a877f8ebf,1.0,1.0,1.0,0.0
100,Commit,mganss_htmlsanitizer,2019-05-15 12:13:57,a20cf1ad837276d3d30dae1e7bb85833a9d1862a,15.0,12.0,4.0,0.0
101,Commit,mganss_htmlsanitizer,2019-05-15 11:54:39,945f2ae2a1e97ce825f9880cde38de31214801c6,43.0,52.0,3.0,0.0
102,Commit,mganss_htmlsanitizer,2019-04-12 11:50:06,07835ee2d6cf35bc1f74ba125b3c138158d47bcf,14.0,0.0,1.0,0.0
103,Commit,mganss_htmlsanitizer,2019-04-02 14:24:34,fc47c5ed2c27d50d052359c8ea94045452a1375c,0.0,1.0,1.0,0.0
104,Commit,mganss_htmlsanitizer,2019-04-01 14:33:41,7afb328c4a08ebc849aec5135cebc80119800c93,3.0,2.0,1.0,0.0
105,Commit,mganss_htmlsanitizer,2019-03-31 18:17:01,e003e9fa9ec1335b6fe8986b1430a9e9e2d3baf9,11.0,32.0,3.0,0.0
106,Commit,mganss_htmlsanitizer,2019-03-31 17:55:57,0a9c2df4b97f6fc2e38ef946d5ee972b298f54e8,1.0,2.0,1.0,0.0
107,Commit,mganss_htmlsanitizer,2019-02-16 11:59:29,08993d4437df83b22b01ed54158b1e50c0b49c06,1.0,1.0,1.0,0.0
108,Commit,mganss_htmlsanitizer,2019-01-27 17:45:34,04ba3cf1894b916f0fb00ae1fd8e7a852eb6331b,0.0,0.0,0.0,0.0
109,Commit,mganss_htmlsanitizer,2019-01-27 16:02:38,11b271631e781d14a62e703738e37361ee9185dc,64.0,14.0,3.0,0.0
110,Commit,mganss_htmlsanitizer,2019-01-18 13:17:23,fa391118a70d2b1df6ed537fd2063e8b27a057e5,0.0,0.0,0.0,0.0
111,Commit,mganss_htmlsanitizer,2019-01-18 13:13:49,dfd5e9d237912d7c50bf8146df086d0c68936214,58.0,7.0,3.0,0.0
112,Commit,mganss_htmlsanitizer,2019-01-17 11:58:53,a81a866a9b4ee0b9d4ddb5f3d43f977546051b23,0.0,0.0,0.0,0.0
113,Commit,mganss_htmlsanitizer,2019-01-17 11:52:36,cabae353e8f816d970e339b025485e18e7125cdd,8.0,3.0,2.0,0.0
114,Commit,mganss_htmlsanitizer,2019-01-07 12:00:45,b3684d47eafdcae1661d6bda583c291b565d5ce3,0.0,0.0,0.0,0.0
115,Commit,mganss_htmlsanitizer,2018-11-26 11:43:49,f4eeace29f246dac5e5d6b7d6cfa458f7cdc9ac0,0.0,0.0,0.0,0.0
