,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,miraheze_datadump,2022-12-07 00:23:41,e7d15a1ee47ae100fa1db1dec68121aec67477e2,3.0,31.0,1.0,0.0
1,Commit,miraheze_datadump,2022-12-01 12:09:56,0f7c91110222bafab8a1e1743472ad06a126d07f,16.0,1.0,1.0,0.0
2,Commit,miraheze_datadump,2022-11-28 12:08:45,d4e1cbb4cbbab9f30ffbc797f0d74c1db66ff15d,6.0,1.0,1.0,0.0
3,Commit,miraheze_datadump,2022-11-21 12:08:38,256af867e3b02a95bf940e152b0db69d94312897,7.0,4.0,1.0,0.0
4,Commit,miraheze_datadump,2022-10-24 11:09:43,df839d036d15f5bf701d2ce07811a64516edd21e,5.0,1.0,1.0,0.0
5,Commit,miraheze_datadump,2022-10-17 11:09:04,bb2d01afe59815b3a45ca97edd20e33d62edd400,49.0,1.0,2.0,0.0
6,Commit,miraheze_datadump,2022-10-13 15:54:37,1332880d002c9fde7b80b073d0c143d5d7a94a25,3.0,3.0,1.0,0.0
7,Commit,miraheze_datadump,2022-10-12 21:10:26,d44e7456430f34061c52458adb0504d95089ec69,1.0,1.0,1.0,0.0
8,Commit,miraheze_datadump,2022-10-10 11:09:22,30d1e397b458a5c7560b0f8aaea71e6fbed58eb7,4.0,3.0,1.0,0.0
9,Commit,miraheze_datadump,2022-10-03 19:43:14,190ac2ea0a2da4608746a35b151811f1ed49c950,1.0,1.0,1.0,0.0
10,Commit,miraheze_datadump,2022-10-03 19:40:45,4b87e6ab0f2839be258118dc207d40b29a18ea9a,3.0,3.0,1.0,0.0
11,Commit,miraheze_datadump,2022-10-01 06:01:50,3d11117650a4df11eda8483f08cbd0a24d5209d1,3.0,3.0,1.0,0.0
12,Commit,miraheze_datadump,2022-09-26 17:30:52,4b93a6dbbf78023a58c6e729de8ca960b6deac6f,2.0,2.0,1.0,0.0
13,Commit,miraheze_datadump,2022-09-26 16:53:18,233be6e1e1479a1a2323832440c9d6187830e187,26.0,12.0,1.0,0.0
14,Commit,miraheze_datadump,2022-09-05 11:09:34,65c2b827a13f5c612e1f948bc4f1d74541db05f6,24.0,0.0,1.0,0.0
15,Commit,miraheze_datadump,2022-08-29 11:10:00,45c3e9d087b2ffc8ed4992ef646afca27cf3ea99,5.0,4.0,1.0,0.0
16,Commit,miraheze_datadump,2022-08-22 19:47:17,c5892d4b246f595191825ff68e81c0aa038bdc0d,3.0,3.0,1.0,0.0
17,Commit,miraheze_datadump,2022-08-11 20:57:40,d48312df460ac4b48d97f7f791364a75a5c0ec2b,3.0,3.0,1.0,0.0
18,Commit,miraheze_datadump,2022-08-07 23:12:00,4e63b150830fddaa5057ead7ff5e908c99f58f39,3.0,3.0,1.0,0.0
19,Commit,miraheze_datadump,2022-07-21 11:10:43,9595615b59d27ef3ec9504d041ce2889aa2406d1,61.0,4.0,2.0,0.0
20,Commit,miraheze_datadump,2022-07-17 16:15:45,32a3651646ad02b92f79146cc4344193276e61fe,3.0,3.0,1.0,0.0
21,Commit,miraheze_datadump,2022-07-07 11:10:33,58eedfa37b2f915573ccd5ef778abf9d01bfe3a3,27.0,1.0,2.0,0.0
22,Commit,miraheze_datadump,2022-06-27 19:53:55,e8bf0d3bb1a12dff937dfb7ffafdfc14323e2cdc,1.0,1.0,1.0,0.0
23,Commit,miraheze_datadump,2022-06-27 11:12:21,5b91474349a1f0e001bce97faa42134e3b900e3d,31.0,1.0,1.0,0.0
24,Commit,miraheze_datadump,2022-06-19 15:47:01,0c39251fe3ae86002615ebcb5f9fbbd316218503,1.0,1.0,1.0,0.0
25,Commit,miraheze_datadump,2022-06-09 20:08:20,d880fb9e166035fda8ac9bf0ce9dd0012fe35b15,8.0,0.0,1.0,0.0
26,Commit,miraheze_datadump,2022-06-07 19:40:40,dbaadff472c6dc2cc8b162b1409c2401dabe9ad4,6.0,41.0,1.0,0.0
27,Commit,miraheze_datadump,2022-06-03 19:37:24,4f11c37b89fe927ba7901beaf77cec99e9aa1384,2.0,2.0,1.0,0.0
28,Commit,miraheze_datadump,2022-06-01 02:30:25,b50590360c16d4d55c4aea630ed19bce616383f1,3.0,3.0,1.0,0.0
29,Commit,miraheze_datadump,2022-05-23 11:10:31,3b481a28f0ae600534b52261696ecfec575da693,8.0,5.0,2.0,0.0
30,Commit,miraheze_datadump,2022-05-19 11:21:08,f47c9e415ab13b5f8d20f89738352a41776b7306,9.0,1.0,1.0,0.0
31,Commit,miraheze_datadump,2022-04-02 18:37:05,4b61f0e5be98c2dc75fa35487abf2a3f968f3f64,2.0,2.0,1.0,0.0
32,Commit,miraheze_datadump,2022-03-25 18:38:29,22880cc40481297ac90e4b29537eb45245388b70,2.0,2.0,1.0,0.0
33,Commit,miraheze_datadump,2022-03-21 19:37:37,c11b01e1da4e6867ff75820b3f82356b563c4ba7,3.0,3.0,1.0,0.0
34,Commit,miraheze_datadump,2022-03-20 01:05:20,69e577361b68853959418cd2cf6bcc84d0b4ff32,2.0,0.0,1.0,0.0
35,Commit,miraheze_datadump,2022-03-17 12:09:32,5d35720479ebae70e3cee77651ad8098873aa6df,39.0,0.0,1.0,0.0
36,Commit,miraheze_datadump,2022-03-16 06:07:38,b7a6648759f1a25c6a6398ff201dd868917b518c,35.0,0.0,1.0,0.0
37,Commit,miraheze_datadump,2022-03-10 12:09:34,b9d7aaa998da4750628d6f3bc364b4112998a984,5.0,4.0,1.0,0.0
38,Commit,miraheze_datadump,2022-03-02 17:55:04,7494ade6912c0e778c3b66bed5ae4a9bea1d475b,1.0,1.0,1.0,0.0
39,Commit,miraheze_datadump,2022-03-02 17:25:59,65fb45b6fe7ff2b03a32e2cbc5a582effaabff56,1.0,1.0,1.0,0.0
40,Commit,miraheze_datadump,2022-02-24 12:09:21,88351b6aa6bbd0431f9dc87ea0575ae8e0fd5579,2.0,0.0,2.0,0.0
41,Commit,miraheze_datadump,2022-02-21 12:08:46,f8098be372a41642f8337c2c0b5622d3344bb11f,33.0,3.0,1.0,0.0
42,Commit,miraheze_datadump,2022-02-17 12:08:29,eb04e22eff966c6c3c64a1a622d9ed11bee6e450,2.0,0.0,1.0,0.0
43,Commit,miraheze_datadump,2022-02-10 12:08:41,a2450a0cc0c5b4acb2290e844657b6f744a06f51,3.0,3.0,1.0,0.0
44,Commit,miraheze_datadump,2022-02-07 12:07:50,1bb398d86888bab71fbdf618bab6842f905fdca7,21.0,2.0,1.0,0.0
45,Commit,miraheze_datadump,2021-12-30 12:06:51,f47a800c4be41f152baf258a669c0dcd4271e129,10.0,4.0,1.0,0.0
46,Commit,miraheze_datadump,2021-12-23 12:07:20,bcb4503a6c3c23eb0ad6dc16325c6a4587051599,2.0,1.0,1.0,0.0
47,Commit,miraheze_datadump,2021-12-20 12:08:32,ed580a9bbeb73103bd815f5ced7ba5fcadc16601,3.0,2.0,1.0,0.0
48,Commit,miraheze_datadump,2021-12-02 12:08:32,b5bb0554fd80ecbd75fd2836381739aacdb797e8,9.0,2.0,2.0,0.0
49,Commit,miraheze_datadump,2021-11-29 12:06:55,d0d1b97105d5e287890b42f72b2d30b0b2d4b528,13.0,2.0,2.0,0.0
50,Commit,miraheze_datadump,2021-11-25 12:09:18,5230ffefc351579d8c0cdd23c1d6473b9ec18f1f,76.0,27.0,9.0,0.0
51,Commit,miraheze_datadump,2021-10-21 11:07:37,47e8db400ee948658fb45fb9e4a3adbcdde049e4,1.0,1.0,1.0,0.0
52,Commit,miraheze_datadump,2021-10-18 03:03:22,cca35ebe167c76d5afec4e812efac732ea89b3b0,1.0,1.0,1.0,0.0
53,Commit,miraheze_datadump,2021-10-14 11:08:39,971284c57748a5c4b0a0fae1f80e3c60575258cc,2.0,2.0,1.0,0.0
54,Commit,miraheze_datadump,2021-10-07 11:07:39,45180cd1d37917da73484d1d0f8def2765634fff,2.0,0.0,1.0,0.0
