,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,mjwwit_node-xmlhttprequest,2022-10-12 08:09:59,ab9042139f67303046ce47e8ed336de0f4cd2617,95.0,8.0,4.0,0.0
1,Commit,mjwwit_node-xmlhttprequest,2021-06-17 10:07:39,cbd48f1f63c2842d502d19323bb988c3ca8214da,5.0,1.0,2.0,0.0
2,Commit,mjwwit_node-xmlhttprequest,2021-05-27 09:29:31,fbe7c079df24d4d12118f399226076bd8eb97af9,2.0,2.0,1.0,0.0
3,Commit,mjwwit_node-xmlhttprequest,2021-05-21 20:31:00,fd05315b41a07b77bfd0fc032a2e74159edd2c1b,6.0,0.0,1.0,0.0
4,Commit,mjwwit_node-xmlhttprequest,2021-05-17 10:03:16,711bd4aa0cd31104f76a10fa67bdb69e6954f1aa,1.0,1.0,1.0,0.0
5,Commit,mjwwit_node-xmlhttprequest,2021-05-04 10:03:02,ee1e81fc67729c7c0eba5537ed7fe1e30a6b3291,2.0,2.0,2.0,0.0
6,Commit,mjwwit_node-xmlhttprequest,2021-04-21 07:36:17,6a0a91d832419430adf13d64c4b70690228634d7,2.0,2.0,1.0,0.0
7,Commit,mjwwit_node-xmlhttprequest,2021-04-19 10:21:05,bf53329b61ca6afc5d28f6b8d2dc2e3ca740a9b2,3.0,3.0,2.0,1.0
8,Commit,mjwwit_node-xmlhttprequest,2019-07-31 17:28:30,ae38832a0f1347c5e96dda665402509a3458e302,1.0,1.0,1.0,0.0
9,Commit,mjwwit_node-xmlhttprequest,2019-07-31 17:27:05,534b58606d4eec01d626be5b0617db40e72fc6cf,1.0,1.0,1.0,0.0
10,Commit,mjwwit_node-xmlhttprequest,2019-07-31 17:24:26,a9d93fb6895952bd0ddab09bb294a45502b2dcf5,14.0,14.0,9.0,0.0
11,Commit,mjwwit_node-xmlhttprequest,2019-07-17 16:09:46,b9fedb035e7a3850d31391a6b6cdcf6d0f340d15,1.0,1.0,1.0,0.0
12,Commit,mjwwit_node-xmlhttprequest,2019-07-17 15:34:10,9d32e4fe704677201ec36aeb63f98140cfe323eb,44.0,28.0,1.0,0.0
13,Commit,mjwwit_node-xmlhttprequest,2018-01-11 06:41:50,d0290fab4b9674f007408d2d420096f343818f25,1.0,1.0,1.0,0.0
14,Commit,mjwwit_node-xmlhttprequest,2018-01-05 18:12:48,cefa6fa6ad698ed05b30c47794eceb5cfea97ca8,3.0,4.0,1.0,0.0
15,Commit,mjwwit_node-xmlhttprequest,2017-09-26 14:51:22,b0fa1e0ddb900e28cf6cfbf8f6ade2babc4a12f9,1.0,1.0,1.0,0.0
16,Commit,mjwwit_node-xmlhttprequest,2017-09-26 14:47:28,d3533f76da7eb8b84f90b3bcbc42fefe5bc0139f,0.0,0.0,0.0,0.0
17,Commit,mjwwit_node-xmlhttprequest,2017-09-26 13:29:22,ebc0076aa6169a3d229d888d70dc6818abcd89d5,13.0,9.0,2.0,0.0
18,Commit,mjwwit_node-xmlhttprequest,2016-09-20 12:18:22,d35e16183e162f3c67b29191ab20e4c81db68742,1.0,1.0,1.0,0.0
19,Commit,mjwwit_node-xmlhttprequest,2016-09-20 12:14:49,f5a70146b6a1af741cf6c6ada0dfd307127f6265,0.0,0.0,0.0,0.0
20,Commit,mjwwit_node-xmlhttprequest,2016-09-20 11:14:24,83655a5263e2989f150881ec01e777b7be0c00ce,3.0,1.0,1.0,0.0
