,type,name,created_at,Hash,Add,Del,Files,Vuln
0,forks,turistforeningen_node-im-metadata,2015-06-12 18:31:07+00:00,,,,,
1,forks,turistforeningen_node-im-metadata,2016-04-13 06:02:47+00:00,,,,,
2,forks,turistforeningen_node-im-metadata,2016-11-10 20:01:27+00:00,,,,,
3,forks,turistforeningen_node-im-metadata,2017-02-12 23:19:08+00:00,,,,,
4,forks,turistforeningen_node-im-metadata,2018-03-26 05:54:25+00:00,,,,,
5,forks,turistforeningen_node-im-metadata,2020-03-27 17:15:09+00:00,,,,,
6,forks,turistforeningen_node-im-metadata,2020-03-28 09:23:09+00:00,,,,,
0,issues,turistforeningen_node-im-metadata,2015-06-25 15:44:47+00:00,,,,,
1,issues,turistforeningen_node-im-metadata,2020-03-27 17:25:10+00:00,,,,,
0,pullRequests,turistforeningen_node-im-metadata,2015-10-17 15:23:57+00:00,,,,,
1,pullRequests,turistforeningen_node-im-metadata,2016-08-23 18:23:58+00:00,,,,,
2,pullRequests,turistforeningen_node-im-metadata,2016-09-27 09:08:50+00:00,,,,,
3,pullRequests,turistforeningen_node-im-metadata,2016-10-10 08:59:50+00:00,,,,,
4,pullRequests,turistforeningen_node-im-metadata,2016-10-11 06:53:11+00:00,,,,,
5,pullRequests,turistforeningen_node-im-metadata,2016-11-10 20:08:36+00:00,,,,,
6,pullRequests,turistforeningen_node-im-metadata,2016-12-22 19:48:06+00:00,,,,,
7,pullRequests,turistforeningen_node-im-metadata,2018-03-26 23:40:57+00:00,,,,,
8,pullRequests,turistforeningen_node-im-metadata,2020-02-03 10:41:26+00:00,,,,,
0,releases,turistforeningen_node-im-metadata,2015-04-22 21:59:12+00:00,,,,,
1,releases,turistforeningen_node-im-metadata,2015-04-22 20:29:52+00:00,,,,,
2,releases,turistforeningen_node-im-metadata,2015-04-22 21:35:44+00:00,,,,,
3,releases,turistforeningen_node-im-metadata,2015-04-22 20:22:49+00:00,,,,,
4,releases,turistforeningen_node-im-metadata,2015-04-26 20:31:42+00:00,,,,,
5,releases,turistforeningen_node-im-metadata,2015-06-05 15:16:49+00:00,,,,,
0,stargazers,turistforeningen_node-im-metadata,2015-04-22 21:55:49+00:00,,,,,
1,stargazers,turistforeningen_node-im-metadata,2015-11-16 18:24:09+00:00,,,,,
2,stargazers,turistforeningen_node-im-metadata,2017-01-13 19:24:22+00:00,,,,,
